EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1575664867.956771,356595.275,61641,40,GX,1,100,29.785
1575664867.997396,356629.500,61641,40,GX,1,100,8.484
1575664868.038022,356663.725,61641,40,GX,1,100,-10.010
1575664868.078647,356697.950,61641,40,GX,1,100,-18.250
1575664868.119272,356732.175,61641,40,GX,1,100,-11.780
1575664868.159898,356766.400,61641,40,GX,1,100,-10.834
1575664868.200523,356800.625,61641,40,GX,1,100,-4.456
1575664868.241149,356834.850,61641,40,GX,1,100,-4.120
1575664868.281774,356869.075,61641,40,GX,1,100,-22.919
1575664868.322400,356903.300,61641,40,GX,1,100,-8.850
1575664868.363025,356937.525,61641,40,GX,1,100,-10.895
1575664868.403651,356971.750,61641,40,GX,1,100,-17.639
1575664868.444276,357005.975,61641,40,GX,1,100,7.690
1575664868.484901,357040.200,61641,40,GX,1,100,4.822
1575664868.525527,357074.425,61641,40,GX,1,100,3.479
1575664868.566152,357108.650,61641,40,GX,1,100,9.888
1575664868.606777,357142.875,61641,40,GX,1,100,11.566
1575664868.647403,357177.100,61641,40,GX,1,100,14.374
1575664868.688028,357211.325,61641,40,GX,1,100,18.677
1575664868.728654,357245.550,61641,40,GX,1,100,13.519
1575664868.769279,357279.775,61641,40,GX,1,100,6.622
1575664868.809905,357314.000,61641,40,GX,1,100,24.841
1575664868.856068,357352.891,61661,64,GX,1,100,9.247
1575664868.902232,357391.781,61661,64,GX,1,100,-6.531
1575664868.948395,357430.672,61661,64,GX,1,100,-22.125
1575664868.994559,357469.563,61661,64,GX,1,100,-32.043
1575664869.040723,357508.453,61661,64,GX,1,100,3.143
1575664869.086886,357547.344,61661,64,GX,1,100,-2.350
1575664869.133050,357586.234,61661,64,GX,1,100,-14.313
1575664869.179213,357625.125,61661,64,GX,1,100,2.594
1575664869.225377,357664.016,61661,64,GX,1,100,15.991
1575664869.271540,357702.906,61661,64,GX,1,100,2.502
1575664869.317704,357741.797,61661,64,GX,1,100,-17.944
1575664869.363868,357780.688,61661,64,GX,1,100,-3.937
1575664869.410031,357819.578,61661,64,GX,1,100,-3.571
1575664869.456195,357858.469,61661,64,GX,1,100,1.953
1575664869.502358,357897.359,61661,64,GX,1,100,-2.960
1575664869.548522,357936.250,61661,64,GX,1,100,-2.167
1575664869.594685,357975.141,61661,64,GX,1,100,-3.021
1575664869.640849,358014.031,61661,64,GX,1,100,2.655
