EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1575665229.375289,23503.000,3600,12,AY,1,100,0.788
1575665229.375289,23503.000,3600,12,AY,1,100,0.802
1575665229.375289,23503.000,3600,12,AY,1,100,0.793
1575665229.375289,23503.000,3600,12,AY,1,100,0.797
1575665229.375289,23503.000,3600,12,AY,1,100,0.793
1575665229.375289,23503.000,3600,12,AY,1,100,0.797
1575665229.375289,23503.000,3600,12,AY,1,100,0.795
1575665229.375289,23503.000,3600,12,AY,1,100,0.810
1575665229.375289,23503.000,3600,12,AY,1,100,0.805
1575665229.375289,23503.000,3600,12,AY,1,100,0.792
1575665229.375289,23503.000,3600,12,AY,1,100,0.794
1575665229.375289,23503.000,3600,12,AY,1,100,0.790
1575665229.417332,23538.333,3619,3,AY,1,100,0.798
1575665229.459376,23573.667,3619,3,AY,1,100,0.806
1575665229.501419,23609.000,3619,3,AY,1,100,0.805
1575665229.539893,23641.333,3638,3,AY,1,100,0.811
1575665229.578367,23673.667,3638,3,AY,1,100,0.796
1575665229.616840,23706.000,3638,3,AY,1,100,0.793
1575665229.657694,23740.333,3655,3,AY,1,100,0.812
1575665229.698547,23774.667,3655,3,AY,1,100,0.796
1575665229.739401,23809.000,3655,3,AY,1,100,0.791
1575665229.781048,23844.000,3673,3,AY,1,100,0.806
1575665229.822694,23879.000,3673,3,AY,1,100,0.792
1575665229.864341,23914.000,3673,3,AY,1,100,0.793
1575665229.905393,23948.500,3690,2,AY,1,100,0.795
1575665229.946445,23983.000,3690,2,AY,1,100,0.809
1575665229.985712,24016.000,3708,4,AY,1,100,0.806
1575665230.024978,24049.000,3708,4,AY,1,100,0.799
1575665230.064245,24082.000,3708,4,AY,1,100,0.789
1575665230.103512,24115.000,3708,4,AY,1,100,0.789
1575665230.141589,24147.000,3726,3,AY,1,100,0.819
1575665230.179666,24179.000,3726,3,AY,1,100,0.791
1575665230.217743,24211.000,3726,3,AY,1,100,0.799
1575665230.260183,24246.667,3744,3,AY,1,100,0.791
1575665230.302624,24282.333,3744,3,AY,1,100,0.800
1575665230.345063,24318.000,3744,3,AY,1,100,0.818
1575665230.386115,24352.500,3762,2,AY,1,100,0.802
1575665230.427167,24387.000,3762,2,AY,1,100,0.801
1575665230.468417,24421.667,3780,3,AY,1,100,0.806
1575665230.509667,24456.333,3780,3,AY,1,100,0.801
1575665230.550917,24491.000,3780,3,AY,1,100,0.796
1575665230.591771,24525.333,3798,3,AY,1,100,0.809
1575665230.632624,24559.667,3798,3,AY,1,100,0.821
1575665230.673478,24594.000,3798,3,AY,1,100,0.787
1575665230.710662,24625.250,3816,4,AY,1,100,0.823
1575665230.747847,24656.500,3816,4,AY,1,100,0.799
1575665230.785032,24687.750,3816,4,AY,1,100,0.783
1575665230.822216,24719.000,3816,4,AY,1,100,0.805
1575665230.862277,24752.667,3835,3,AY,1,100,0.803
1575665230.902337,24786.333,3835,3,AY,1,100,0.811
1575665230.942397,24820.000,3835,3,AY,1,100,0.782
1575665230.983250,24854.333,3852,3,AY,1,100,0.809
1575665231.024104,24888.667,3852,3,AY,1,100,0.802
1575665231.064957,24923.000,3852,3,AY,1,100,0.801
1575665231.111959,24962.500,3868,2,AY,1,100,0.813
1575665231.158960,25002.000,3868,2,AY,1,100,0.799
1575665231.200210,25036.667,3886,3,AY,1,100,0.802
1575665231.241460,25071.333,3886,3,AY,1,100,0.790
1575665231.282710,25106.000,3886,3,AY,1,100,0.807
1575665231.320391,25137.667,3904,3,AY,1,100,0.789
1575665231.358071,25169.333,3904,3,AY,1,100,0.800
1575665231.395751,25201.000,3904,3,AY,1,100,0.801
1575665231.435019,25234.000,3922,3,AY,1,100,0.798
1575665231.474285,25267.000,3922,3,AY,1,100,0.811
1575665231.513552,25300.000,3922,3,AY,1,100,0.788
1575665231.553216,25333.333,3940,3,AY,1,100,0.790
1575665231.592880,25366.667,3940,3,AY,1,100,0.803
1575665231.632543,25400.000,3940,3,AY,1,100,0.815
1575665231.673793,25434.667,3958,3,AY,1,100,0.794
1575665231.715043,25469.333,3958,3,AY,1,100,0.825
1575665231.756294,25504.000,3958,3,AY,1,100,0.807
1575665231.797940,25539.000,3976,3,AY,1,100,0.821
1575665231.839587,25574.000,3976,3,AY,1,100,0.794
1575665231.881234,25609.000,3976,3,AY,1,100,0.798
1575665231.923277,25644.333,3995,3,AY,1,100,0.797
1575665231.965320,25679.667,3995,3,AY,1,100,0.786
1575665232.007364,25715.000,3995,3,AY,1,100,0.808
1575665232.045044,25746.667,4013,3,AY,1,100,0.783
1575665232.082725,25778.333,4013,3,AY,1,100,0.802
1575665232.120405,25810.000,4013,3,AY,1,100,0.792
1575665232.160862,25844.000,4030,3,AY,1,100,0.794
1575665232.201319,25878.000,4030,3,AY,1,100,0.780
1575665232.241776,25912.000,4030,3,AY,1,100,0.818
1575665232.282629,25946.333,4048,3,AY,1,100,0.794
1575665232.323483,25980.667,4048,3,AY,1,100,0.768
1575665232.364336,26015.000,4048,3,AY,1,100,0.812
1575665232.405190,26049.333,4064,3,AY,1,100,0.790
1575665232.446043,26083.667,4064,3,AY,1,100,0.799
