EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1575665229.375289,23503.000,3599,12,AX,1,100,-0.591
1575665229.375289,23503.000,3599,12,AX,1,100,-0.591
1575665229.375289,23503.000,3599,12,AX,1,100,-0.595
1575665229.375289,23503.000,3599,12,AX,1,100,-0.589
1575665229.375289,23503.000,3599,12,AX,1,100,-0.590
1575665229.375289,23503.000,3599,12,AX,1,100,-0.595
1575665229.375289,23503.000,3599,12,AX,1,100,-0.592
1575665229.375289,23503.000,3599,12,AX,1,100,-0.588
1575665229.375289,23503.000,3599,12,AX,1,100,-0.592
1575665229.375289,23503.000,3599,12,AX,1,100,-0.593
1575665229.375289,23503.000,3599,12,AX,1,100,-0.595
1575665229.375289,23503.000,3599,12,AX,1,100,-0.597
1575665229.417332,23538.333,3618,3,AX,1,100,-0.590
1575665229.459376,23573.667,3618,3,AX,1,100,-0.587
1575665229.501419,23609.000,3618,3,AX,1,100,-0.591
1575665229.539893,23641.333,3637,3,AX,1,100,-0.588
1575665229.578367,23673.667,3637,3,AX,1,100,-0.590
1575665229.616840,23706.000,3637,3,AX,1,100,-0.596
1575665229.657694,23740.333,3654,3,AX,1,100,-0.588
1575665229.698547,23774.667,3654,3,AX,1,100,-0.592
1575665229.739401,23809.000,3654,3,AX,1,100,-0.596
1575665229.781048,23844.000,3672,3,AX,1,100,-0.582
1575665229.822694,23879.000,3672,3,AX,1,100,-0.591
1575665229.864341,23914.000,3672,3,AX,1,100,-0.596
1575665229.905393,23948.500,3689,2,AX,1,100,-0.592
1575665229.946445,23983.000,3689,2,AX,1,100,-0.591
1575665229.985712,24016.000,3707,4,AX,1,100,-0.592
1575665230.024978,24049.000,3707,4,AX,1,100,-0.584
1575665230.064245,24082.000,3707,4,AX,1,100,-0.590
1575665230.103512,24115.000,3707,4,AX,1,100,-0.589
1575665230.141589,24147.000,3725,3,AX,1,100,-0.584
1575665230.179666,24179.000,3725,3,AX,1,100,-0.596
1575665230.217743,24211.000,3725,3,AX,1,100,-0.593
1575665230.261770,24248.000,3743,2,AX,1,100,-0.587
1575665230.305797,24285.000,3743,2,AX,1,100,-0.587
1575665230.346253,24319.000,3761,3,AX,1,100,-0.585
1575665230.386710,24353.000,3761,3,AX,1,100,-0.590
1575665230.427167,24387.000,3761,3,AX,1,100,-0.589
1575665230.468417,24421.667,3779,3,AX,1,100,-0.583
1575665230.509667,24456.333,3779,3,AX,1,100,-0.589
1575665230.550917,24491.000,3779,3,AX,1,100,-0.587
1575665230.591771,24525.333,3797,3,AX,1,100,-0.591
1575665230.632624,24559.667,3797,3,AX,1,100,-0.582
1575665230.673478,24594.000,3797,3,AX,1,100,-0.591
1575665230.710662,24625.250,3815,4,AX,1,100,-0.586
1575665230.747847,24656.500,3815,4,AX,1,100,-0.586
1575665230.785032,24687.750,3815,4,AX,1,100,-0.594
1575665230.822216,24719.000,3815,4,AX,1,100,-0.589
1575665230.862277,24752.667,3834,3,AX,1,100,-0.583
1575665230.902337,24786.333,3834,3,AX,1,100,-0.586
1575665230.942397,24820.000,3834,3,AX,1,100,-0.591
1575665230.983250,24854.333,3851,3,AX,1,100,-0.590
1575665231.024104,24888.667,3851,3,AX,1,100,-0.590
1575665231.064957,24923.000,3851,3,AX,1,100,-0.587
1575665231.111959,24962.500,3867,2,AX,1,100,-0.588
1575665231.158960,25002.000,3867,2,AX,1,100,-0.587
1575665231.200210,25036.667,3885,3,AX,1,100,-0.592
1575665231.241460,25071.333,3885,3,AX,1,100,-0.593
1575665231.282710,25106.000,3885,3,AX,1,100,-0.596
1575665231.320391,25137.667,3903,3,AX,1,100,-0.586
1575665231.358071,25169.333,3903,3,AX,1,100,-0.588
1575665231.395751,25201.000,3903,3,AX,1,100,-0.584
1575665231.435019,25234.000,3921,3,AX,1,100,-0.591
1575665231.474285,25267.000,3921,3,AX,1,100,-0.590
1575665231.513552,25300.000,3921,3,AX,1,100,-0.593
1575665231.553216,25333.333,3939,3,AX,1,100,-0.593
1575665231.592880,25366.667,3939,3,AX,1,100,-0.592
1575665231.632543,25400.000,3939,3,AX,1,100,-0.592
1575665231.673793,25434.667,3957,3,AX,1,100,-0.591
1575665231.715043,25469.333,3957,3,AX,1,100,-0.586
1575665231.756294,25504.000,3957,3,AX,1,100,-0.587
1575665231.797940,25539.000,3975,3,AX,1,100,-0.594
1575665231.839587,25574.000,3975,3,AX,1,100,-0.590
1575665231.881234,25609.000,3975,3,AX,1,100,-0.593
1575665231.923277,25644.333,3994,3,AX,1,100,-0.595
1575665231.965320,25679.667,3994,3,AX,1,100,-0.594
1575665232.007364,25715.000,3994,3,AX,1,100,-0.590
1575665232.045044,25746.667,4012,3,AX,1,100,-0.588
1575665232.082725,25778.333,4012,3,AX,1,100,-0.591
1575665232.120405,25810.000,4012,3,AX,1,100,-0.589
1575665232.160862,25844.000,4029,3,AX,1,100,-0.591
1575665232.201319,25878.000,4029,3,AX,1,100,-0.589
1575665232.241776,25912.000,4029,3,AX,1,100,-0.596
1575665232.282629,25946.333,4047,3,AX,1,100,-0.589
1575665232.323483,25980.667,4047,3,AX,1,100,-0.584
1575665232.364336,26015.000,4047,3,AX,1,100,-0.587
1575665232.405190,26049.333,4063,3,AX,1,100,-0.591
1575665232.446043,26083.667,4063,3,AX,1,100,-0.592
1575665232.486897,26118.000,4063,3,AX,1,100,-0.596
1575665232.526163,26151.000,4081,3,AX,1,100,-0.593
1575665232.565430,26184.000,4081,3,AX,1,100,-0.595
1575665232.604697,26217.000,4081,3,AX,1,100,-0.588
1575665232.642378,26248.667,4099,3,AX,1,100,-0.586
1575665232.680058,26280.333,4099,3,AX,1,100,-0.591
1575665232.717738,26312.000,4099,3,AX,1,100,-0.594
1575665232.761765,26349.000,4117,3,AX,1,100,-0.594
1575665232.805792,26386.000,4117,3,AX,1,100,-0.589
1575665232.849818,26423.000,4117,3,AX,1,100,-0.590
1575665232.891465,26458.000,4136,3,AX,1,100,-0.576
1575665232.933112,26493.000,4136,3,AX,1,100,-0.604
1575665232.974758,26528.000,4136,3,AX,1,100,-0.597
1575665233.016008,26562.667,4154,3,AX,1,100,-0.601
1575665233.057259,26597.333,4154,3,AX,1,100,-0.605
1575665233.098509,26632.000,4154,3,AX,1,100,-0.639
1575665233.137379,26664.667,4172,3,AX,1,100,-0.644
1575665233.176249,26697.333,4172,3,AX,1,100,-0.723
1575665233.215120,26730.000,4172,3,AX,1,100,-0.783
1575665233.252800,26761.667,4190,3,AX,1,100,-0.807
1575665233.290480,26793.333,4190,3,AX,1,100,-0.832
1575665233.328161,26825.000,4190,3,AX,1,100,-0.836
1575665233.368221,26858.667,4207,3,AX,1,100,-0.756
1575665233.408281,26892.333,4207,3,AX,1,100,-0.788
1575665233.448341,26926.000,4207,3,AX,1,100,-0.796
1575665233.489988,26961.000,4225,3,AX,1,100,-0.781
1575665233.531635,26996.000,4225,3,AX,1,100,-0.849
1575665233.573282,27031.000,4225,3,AX,1,100,-0.820
1575665233.618102,27068.667,4241,3,AX,1,100,-0.733
1575665233.662921,27106.333,4241,3,AX,1,100,-0.534
1575665233.707741,27144.000,4241,3,AX,1,100,-0.327
1575665233.746612,27176.667,4259,3,AX,1,100,-0.727
1575665233.785482,27209.333,4259,3,AX,1,100,-1.355
1575665233.824352,27242.000,4259,3,AX,1,100,-0.438
1575665233.862826,27274.333,4278,3,AX,1,100,-1.001
1575665233.901299,27306.667,4278,3,AX,1,100,-0.867
1575665233.939773,27339.000,4278,3,AX,1,100,-0.773
1575665233.978643,27371.667,4296,3,AX,1,100,-0.849
1575665234.017514,27404.333,4296,3,AX,1,100,-0.939
1575665234.056384,27437.000,4296,3,AX,1,100,-0.890
1575665234.097634,27471.667,4314,3,AX,1,100,-0.851
1575665234.138884,27506.333,4314,3,AX,1,100,-0.864
1575665234.180134,27541.000,4314,3,AX,1,100,-0.828
1575665234.221385,27575.667,4332,3,AX,1,100,-0.852
1575665234.262635,27610.333,4332,3,AX,1,100,-0.833
1575665234.303885,27645.000,4332,3,AX,1,100,-0.894
1575665234.343945,27678.667,4350,3,AX,1,100,-0.876
1575665234.384005,27712.333,4350,3,AX,1,100,-0.861
1575665234.424065,27746.000,4350,3,AX,1,100,-0.795
1575665234.465315,27780.667,4368,3,AX,1,100,-0.732
1575665234.506566,27815.333,4368,3,AX,1,100,-0.575
1575665234.547816,27850.000,4368,3,AX,1,100,-0.433
1575665234.587083,27883.000,4385,3,AX,1,100,-0.483
1575665234.626349,27916.000,4385,3,AX,1,100,-0.679
1575665234.665617,27949.000,4385,3,AX,1,100,-0.165
1575665234.706867,27983.667,4403,3,AX,1,100,-1.131
1575665234.748117,28018.333,4403,3,AX,1,100,-0.897
1575665234.789367,28053.000,4403,3,AX,1,100,-0.702
1575665234.830419,28087.500,4419,2,AX,1,100,-0.709
1575665234.871470,28122.000,4419,2,AX,1,100,-0.919
1575665234.913514,28157.333,4438,3,AX,1,100,-0.846
1575665234.955557,28192.667,4438,3,AX,1,100,-0.935
1575665234.997601,28228.000,4438,3,AX,1,100,-0.888
1575665235.035975,28260.250,4456,4,AX,1,100,-0.886
1575665235.074350,28292.500,4456,4,AX,1,100,-0.862
1575665235.112724,28324.750,4456,4,AX,1,100,-0.791
1575665235.151099,28357.000,4456,4,AX,1,100,-0.879
1575665235.189969,28389.667,4474,3,AX,1,100,-0.847
1575665235.228839,28422.333,4474,3,AX,1,100,-0.842
1575665235.267709,28455.000,4474,3,AX,1,100,-0.802
1575665235.311439,28491.750,4495,4,AX,1,100,-0.696
1575665235.355168,28528.500,4495,4,AX,1,100,-0.475
1575665235.398897,28565.250,4495,4,AX,1,100,-0.254
1575665235.442626,28602.000,4495,4,AX,1,100,1.120
1575665235.483479,28636.333,4514,3,AX,1,100,-0.352
1575665235.524333,28670.667,4514,3,AX,1,100,-1.195
1575665235.565186,28705.000,4514,3,AX,1,100,-1.319
1575665235.605247,28738.667,4531,3,AX,1,100,-0.644
1575665235.645307,28772.333,4531,3,AX,1,100,-0.600
1575665235.685367,28806.000,4531,3,AX,1,100,-0.698
1575665235.723444,28838.000,4549,3,AX,1,100,-0.812
1575665235.761521,28870.000,4549,3,AX,1,100,-0.824
1575665235.799598,28902.000,4549,3,AX,1,100,-0.870
1575665235.838072,28934.333,4568,3,AX,1,100,-0.856
1575665235.876545,28966.667,4568,3,AX,1,100,-0.787
1575665235.915019,28999.000,4568,3,AX,1,100,-0.817
1575665235.955873,29033.333,4586,3,AX,1,100,-0.789
1575665235.996726,29067.667,4586,3,AX,1,100,-0.725
1575665236.037580,29102.000,4586,3,AX,1,100,-0.719
1575665236.082003,29139.333,4604,3,AX,1,100,-0.788
1575665236.126426,29176.667,4604,3,AX,1,100,-0.776
1575665236.170849,29214.000,4604,3,AX,1,100,-0.749
1575665236.211306,29248.000,4622,3,AX,1,100,-0.776
1575665236.251763,29282.000,4622,3,AX,1,100,-0.732
1575665236.292220,29316.000,4622,3,AX,1,100,-0.786
1575665236.330297,29348.000,4640,3,AX,1,100,-0.730
1575665236.368374,29380.000,4640,3,AX,1,100,-0.745
1575665236.406451,29412.000,4640,3,AX,1,100,-0.733
1575665236.444924,29444.333,4658,3,AX,1,100,-0.745
1575665236.483398,29476.667,4658,3,AX,1,100,-0.740
1575665236.521872,29509.000,4658,3,AX,1,100,-0.723
1575665236.562329,29543.000,4675,3,AX,1,100,-0.758
1575665236.602785,29577.000,4675,3,AX,1,100,-0.770
1575665236.643242,29611.000,4675,3,AX,1,100,-0.732
1575665236.684889,29646.000,4693,3,AX,1,100,-0.707
1575665236.726536,29681.000,4693,3,AX,1,100,-0.726
1575665236.768183,29716.000,4693,3,AX,1,100,-0.712
1575665236.809829,29751.000,4709,3,AX,1,100,-0.752
1575665236.851476,29786.000,4709,3,AX,1,100,-0.744
1575665236.893123,29821.000,4709,3,AX,1,100,-0.741
1575665236.931200,29853.000,4728,3,AX,1,100,-0.725
1575665236.969277,29885.000,4728,3,AX,1,100,-0.713
1575665237.007354,29917.000,4728,3,AX,1,100,-0.699
1575665237.049794,29952.667,4746,3,AX,1,100,-0.696
1575665237.092234,29988.333,4746,3,AX,1,100,-0.772
1575665237.134674,30024.000,4746,3,AX,1,100,-0.760
