EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1575664583.356508,116833.000,19955,2,T0,1,100,22.815
1575664583.356508,116833.000,19955,2,T0,1,100,22.777
1575664583.484705,116941.000,19989,1,T0,1,100,22.836
1575664583.621211,117056.000,20007,1,T0,1,100,22.799
1575664583.760091,117173.000,20025,1,T0,1,100,22.831
1575664583.891849,117284.000,20043,1,T0,1,100,22.836
1575664584.018859,117391.000,20061,1,T0,1,100,22.852
1575664584.152992,117504.000,20080,1,T0,1,100,22.820
1575664584.291872,117621.000,20098,1,T0,1,100,22.831
1575664584.429565,117737.000,20115,1,T0,1,100,22.852
1575664584.553014,117841.000,20133,1,T0,1,100,22.815
1575664584.678837,117947.000,20168,1,T0,1,100,22.815
1575664584.818904,118065.000,20185,1,T0,1,100,22.842
1575664584.953037,118178.000,20203,1,T0,1,100,22.815
1575664585.087169,118291.000,20221,1,T0,1,100,22.826
1575664585.222488,118405.000,20240,1,T0,1,100,22.810
1575664585.351872,118514.000,20258,1,T0,1,100,22.826
1575664585.476508,118619.000,20276,1,T0,1,100,22.831
1575664585.613014,118734.000,20294,1,T0,1,100,22.842
1575664585.751894,118851.000,20311,1,T0,1,100,22.852
1575664585.887213,118965.000,20345,1,T0,1,100,22.831
1575664586.027281,119083.000,20363,1,T0,1,100,22.863
1575664586.161413,119196.000,20382,1,T0,1,100,22.842
1575664586.284862,119300.000,20400,1,T0,1,100,22.836
1575664586.418994,119413.000,20418,1,T0,1,100,22.858
1575664586.554313,119527.000,20436,1,T0,1,100,22.858
1575664586.688445,119640.000,20454,1,T0,1,100,22.890
1575664586.819016,119750.000,20471,1,T0,1,100,22.863
1575664586.947214,119858.000,20489,1,T0,1,100,22.842
1575664587.080159,119970.000,20524,1,T0,1,100,22.836
1575664587.215478,120084.000,20542,1,T0,1,100,22.874
1575664587.355545,120202.000,20560,1,T0,1,100,22.820
1575664587.480181,120307.000,20578,1,T0,1,100,22.847
1575664587.608378,120415.000,20596,1,T0,1,100,22.874
1575664587.746071,120531.000,20614,1,T0,1,100,22.858
1575664587.883765,120647.000,20632,1,T0,1,100,22.842
1575664588.017897,120760.000,20649,1,T0,1,100,22.874
1575664588.143720,120866.000,20667,1,T0,1,100,22.858
1575664588.271917,120974.000,20686,1,T0,1,100,22.885
1575664588.410797,121091.000,20720,1,T0,1,100,22.901
1575664588.550864,121209.000,20738,1,T0,1,100,22.895
1575664588.687371,121324.000,20756,1,T0,1,100,22.863
1575664588.829812,121444.000,20774,1,T0,1,100,22.885
1575664588.967505,121560.000,20792,1,T0,1,100,22.890
1575664589.096889,121669.000,20809,1,T0,1,100,22.868
1575664589.225086,121777.000,20828,1,T0,1,100,22.890
1575664589.362779,121893.000,20849,1,T0,1,100,22.890
1575664589.490976,122001.000,20869,1,T0,1,100,22.879
1575664589.629857,122118.000,20887,1,T0,1,100,22.890
1575664589.767550,122234.000,20904,1,T0,1,100,22.901
1575664589.899308,122345.000,20922,1,T0,1,100,22.911
1575664590.027505,122453.000,20956,1,T0,1,100,22.852
1575664590.158076,122563.000,20975,1,T0,1,100,22.906
1575664590.292208,122676.000,20993,1,T0,1,100,22.895
1575664590.431088,122793.000,21011,1,T0,1,100,22.885
1575664590.561660,122903.000,21029,1,T0,1,100,22.885
1575664590.687483,123009.000,21047,1,T0,1,100,22.890
1575664590.822802,123123.000,21065,1,T0,1,100,22.911
1575664590.962869,123241.000,21082,1,T0,1,100,22.927
1575664591.100562,123357.000,21117,1,T0,1,100,22.906
1575664591.225198,123462.000,21135,1,T0,1,100,22.938
1575664591.356956,123573.000,21153,1,T0,1,100,22.938
1575664591.492275,123687.000,21171,1,T0,1,100,22.927
1575664591.629969,123803.000,21189,1,T0,1,100,22.911
1575664591.764101,123916.000,21207,1,T0,1,100,22.911
1575664591.887550,124020.000,21225,1,T0,1,100,22.879
1575664592.021682,124133.000,21243,1,T0,1,100,22.933
1575664592.160562,124250.000,21262,1,T0,1,100,22.885
1575664592.294694,124363.000,21279,1,T0,1,100,22.938
1575664592.437136,124483.000,21313,1,T0,1,100,22.901
1575664592.571268,124596.000,21331,1,T0,1,100,22.944
1575664592.710148,124713.000,21349,1,T0,1,100,22.917
1575664592.843093,124825.000,21367,1,T0,1,100,22.890
1575664592.971290,124933.000,21385,1,T0,1,100,22.906
1575664593.098300,125040.000,21403,1,T0,1,100,22.949
1575664593.228872,125150.000,21422,1,T0,1,100,22.895
1575664593.364191,125264.000,21439,1,T0,1,100,22.933
1575664593.498323,125377.000,21457,1,T0,1,100,22.927
1575664593.634829,125492.000,21491,1,T0,1,100,22.965
1575664593.760652,125598.000,21509,1,T0,1,100,22.901
1575664593.888849,125706.000,21527,1,T0,1,100,22.922
1575664594.026542,125822.000,21545,1,T0,1,100,22.911
1575664594.166610,125940.000,21564,1,T0,1,100,22.906
1575664594.297181,126050.000,21582,1,T0,1,100,22.944
1575664594.423004,126156.000,21600,1,T0,1,100,22.890
1575664594.559510,126271.000,21617,1,T0,1,100,22.949
1575664594.696016,126386.000,21635,1,T0,1,100,22.917
1575664594.833709,126502.000,21669,1,T0,1,100,22.911
1575664594.960719,126609.000,21687,1,T0,1,100,22.976
1575664595.087729,126716.000,21706,1,T0,1,100,22.976
1575664595.226610,126833.000,21724,1,T0,1,100,22.933
1575664595.361929,126947.000,21745,1,T0,1,100,22.944
1575664595.496061,127060.000,21765,1,T0,1,100,22.949
1575664595.620697,127165.000,21783,1,T0,1,100,22.970
1575664595.754829,127278.000,21801,1,T0,1,100,22.938
1575664595.880652,127384.000,21819,1,T0,1,100,22.954
1575664596.020720,127502.000,21837,1,T0,1,100,22.933
1575664596.159600,127619.000,21856,1,T0,1,100,22.938
1575664596.294919,127733.000,21874,1,T0,1,100,22.949
1575664596.436173,127852.000,21891,1,T0,1,100,22.933
1575664596.573866,127968.000,21925,1,T0,1,100,22.970
1575664596.711559,128084.000,21943,1,T0,1,100,22.949
1575664596.838569,128191.000,21961,1,T0,1,100,22.960
1575664596.969141,128301.000,21979,1,T0,1,100,22.954
1575664597.102086,128413.000,21997,1,T0,1,100,22.992
1575664597.242153,128531.000,22016,1,T0,1,100,22.933
1575664597.377472,128645.000,22034,1,T0,1,100,22.938
1575664597.500921,128749.000,22051,1,T0,1,100,22.960
1575664597.633866,128861.000,22069,1,T0,1,100,22.992
1575664597.770372,128976.000,22103,1,T0,1,100,22.981
1575664597.903318,129088.000,22121,1,T0,1,100,22.976
1575664598.036263,129200.000,22139,1,T0,1,100,22.997
1575664598.164460,129308.000,22158,1,T0,1,100,22.970
1575664598.297405,129420.000,22176,1,T0,1,100,22.970
1575664598.432724,129534.000,22194,1,T0,1,100,23.008
