EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1575665229.355061,23486.000,3597,2,TH,1,100,16348
1575665229.355061,23486.000,3597,2,TH,1,100,16358
1575665229.488330,23598.000,3616,1,TH,1,100,16340
1575665229.616840,23706.000,3635,1,TH,1,100,16352
1575665229.750110,23818.000,3670,1,TH,1,100,16320
1575665229.890519,23936.000,3688,1,TH,1,100,16370
1575665230.030928,24054.000,3705,1,TH,1,100,16360
1575665230.151109,24155.000,3723,1,TH,1,100,16348
1575665230.280808,24264.000,3741,1,TH,1,100,16326
1575665230.418838,24380.000,3759,1,TH,1,100,16376
1575665230.550917,24491.000,3777,1,TH,1,100,16378
1575665230.688947,24607.000,3795,1,TH,1,100,16356
1575665230.813887,24712.000,3813,1,TH,1,100,16332
1575665230.942397,24820.000,3832,1,TH,1,100,16350
1575665231.080426,24936.000,3866,1,TH,1,100,16346
1575665231.220835,25054.000,3883,1,TH,1,100,16364
1575665231.350535,25163.000,3901,1,TH,1,100,16340
1575665231.477855,25270.000,3919,1,TH,1,100,16310
1575665231.612315,25383.000,3937,1,TH,1,100,16330
1575665231.749154,25498.000,3955,1,TH,1,100,16366
1575665231.885993,25613.000,3973,1,TH,1,100,16350
1575665232.015693,25722.000,3992,1,TH,1,100,16334
1575665232.141823,25828.000,4010,1,TH,1,100,16292
1575665232.278663,25943.000,4045,1,TH,1,100,16316
1575665232.414312,26057.000,4062,1,TH,1,100,16364
1575665232.548772,26170.000,4079,1,TH,1,100,16350
1575665232.676092,26277.000,4097,1,TH,1,100,16306
1575665232.806982,26387.000,4115,1,TH,1,100,16300
1575665232.943821,26502.000,4134,1,TH,1,100,16364
1575665233.083040,26619.000,4152,1,TH,1,100,16348
1575665233.215120,26730.000,4170,1,TH,1,100,16340
1575665233.338870,26834.000,4188,1,TH,1,100,16368
1575665233.475709,26949.000,4223,1,TH,1,100,16544
1575665233.614928,27066.000,4240,1,TH,1,100,16862
1575665233.749388,27179.000,4257,1,TH,1,100,17104
1575665233.877898,27287.000,4276,1,TH,1,100,17254
1575665234.007598,27396.000,4294,1,TH,1,100,17428
1575665234.138488,27506.000,4312,1,TH,1,100,17520
1575665234.277707,27623.000,4330,1,TH,1,100,17540
1575665234.415736,27739.000,4348,1,TH,1,100,17492
1575665234.540676,27844.000,4366,1,TH,1,100,17406
1575665234.670376,27953.000,4401,1,TH,1,100,17330
1575665234.809595,28070.000,4418,1,TH,1,100,17308
1575665234.946434,28185.000,4436,1,TH,1,100,17268
1575665235.080894,28298.000,4454,1,TH,1,100,17154
1575665235.208214,28405.000,4472,1,TH,1,100,17098
1575665235.340294,28516.000,4493,1,TH,1,100,17094
1575665235.478323,28632.000,4512,1,TH,1,100,17052
1575665235.616352,28748.000,4530,1,TH,1,100,16974
1575665235.743672,28855.000,4547,1,TH,1,100,16948
1575665235.872182,28963.000,4566,1,TH,1,100,16836
1575665236.005452,29075.000,4584,1,TH,1,100,16786
1575665236.139911,29188.000,4602,1,TH,1,100,16776
1575665236.279131,29305.000,4620,1,TH,1,100,16696
1575665236.406451,29412.000,4638,1,TH,1,100,16604
1575665236.531391,29517.000,4656,1,TH,1,100,16524
1575665236.670610,29634.000,4691,1,TH,1,100,16430
1575665236.809829,29751.000,4708,1,TH,1,100,16438
1575665236.940719,29861.000,4726,1,TH,1,100,16372
1575665237.069229,29969.000,4744,1,TH,1,100,16306
1575665237.204878,30083.000,4762,1,TH,1,100,16266
1575665237.339338,30196.000,4780,1,TH,1,100,16298
1575665237.477367,30312.000,4798,1,TH,1,100,16276
1575665237.605877,30420.000,4816,1,TH,1,100,16260
1575665237.730817,30525.000,4834,1,TH,1,100,16274
1575665237.867657,30640.000,4870,1,TH,1,100,16238
1575665238.006876,30757.000,4887,1,TH,1,100,16322
1575665238.144905,30873.000,4904,1,TH,1,100,16324
1575665238.271035,30979.000,4922,1,TH,1,100,16220
1575665238.401925,31089.000,4940,1,TH,1,100,16022
1575665238.536385,31202.000,4958,1,TH,1,100,15980
1575665238.674414,31318.000,4976,1,TH,1,100,15920
1575665238.808873,31431.000,4994,1,TH,1,100,15838
1575665238.935004,31537.000,5013,1,TH,1,100,15814
1575665239.067083,31648.000,5048,1,TH,1,100,15768
1575665239.203923,31763.000,5065,1,TH,1,100,15836
1575665239.339572,31877.000,5082,1,TH,1,100,15882
1575665239.472842,31989.000,5100,1,TH,1,100,15896
1575665239.601351,32097.000,5118,1,TH,1,100,15884
1575665239.732241,32207.000,5136,1,TH,1,100,15970
1575665239.872650,32325.000,5154,1,TH,1,100,16042
1575665240.014249,32444.000,5173,1,TH,1,100,16062
1575665240.135620,32546.000,5191,1,TH,1,100,16046
1575665240.266510,32656.000,5209,1,TH,1,100,16078
1575665240.405729,32773.000,5244,1,TH,1,100,16146
1575665240.540188,32886.000,5261,1,TH,1,100,16222
1575665240.674648,32999.000,5278,1,TH,1,100,16208
1575665240.799588,33104.000,5296,1,TH,1,100,16188
1575665240.931668,33215.000,5315,1,TH,1,100,16242
1575665241.067317,33329.000,5333,1,TH,1,100,16306
1575665241.206536,33446.000,5351,1,TH,1,100,16312
1575665241.337426,33556.000,5369,1,TH,1,100,16322
1575665241.464746,33663.000,5390,1,TH,1,100,16294
1575665241.599206,33776.000,5410,1,TH,1,100,16350
1575665241.727716,33884.000,5428,1,TH,1,100,16368
1575665241.862175,33997.000,5446,1,TH,1,100,16406
1575665242.002584,34115.000,5465,1,TH,1,100,16396
1575665242.137044,34228.000,5483,1,TH,1,100,16358
1575665242.263174,34334.000,5518,1,TH,1,100,16392
1575665242.396443,34446.000,5535,1,TH,1,100,16408
1575665242.530903,34559.000,5553,1,TH,1,100,16426
1575665242.670122,34676.000,5570,1,TH,1,100,16440
1575665242.801012,34786.000,5588,1,TH,1,100,16458
1575665242.925952,34891.000,5607,1,TH,1,100,16434
1575665243.061602,35005.000,5625,1,TH,1,100,16446
1575665243.200821,35122.000,5643,1,TH,1,100,16392
1575665243.336470,35236.000,5661,1,TH,1,100,16386
1575665243.463790,35343.000,5696,1,TH,1,100,16468
1575665243.595870,35454.000,5714,1,TH,1,100,16608
1575665243.727950,35565.000,5731,1,TH,1,100,16716
1575665243.867169,35682.000,5749,1,TH,1,100,16712
1575665244.004008,35797.000,5767,1,TH,1,100,16670
1575665244.127759,35901.000,5785,1,TH,1,100,16636
1575665244.259838,36012.000,5803,1,TH,1,100,16600
1575665244.400247,36130.000,5821,1,TH,1,100,16544
1575665244.533517,36242.000,5839,1,TH,1,100,16498
1575665244.663217,36351.000,5874,1,TH,1,100,16434
1575665244.789347,36457.000,5893,1,TH,1,100,16430
1575665244.924996,36571.000,5911,1,TH,1,100,16416
1575665245.054696,36680.000,5928,1,TH,1,100,16396
1575665245.193915,36797.000,5945,1,TH,1,100,16376
1575665245.330755,36912.000,5963,1,TH,1,100,16340
1575665245.465214,37025.000,5981,1,TH,1,100,16338
1575665245.592534,37132.000,5999,1,TH,1,100,16310
1575665245.723424,37242.000,6017,1,TH,1,100,16294
1575665245.859073,37356.000,6035,1,TH,1,100,16284
1575665246.001862,37476.000,6071,1,TH,1,100,16264
1575665246.130372,37584.000,6088,1,TH,1,100,16286
1575665246.257692,37691.000,6106,1,TH,1,100,16266
1575665246.390962,37803.000,6123,1,TH,1,100,16262
1575665246.526611,37917.000,6141,1,TH,1,100,16242
1575665246.664640,38033.000,6159,1,TH,1,100,16288
