EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1576860792.447354,587213.000,36281,9,GY,1,100,3.296
1576860792.447354,587213.000,36281,9,GY,1,100,2.289
1576860792.447354,587213.000,36281,9,GY,1,100,0.702
1576860792.447354,587213.000,36281,9,GY,1,100,-0.275
1576860792.447354,587213.000,36281,9,GY,1,100,-0.824
1576860792.447354,587213.000,36281,9,GY,1,100,-0.061
1576860792.447354,587213.000,36281,9,GY,1,100,0.366
1576860792.447354,587213.000,36281,9,GY,1,100,0.427
1576860792.447354,587213.000,36281,9,GY,1,100,-0.580
1576860792.487649,587247.000,36299,3,GY,1,100,-0.214
1576860792.527944,587281.000,36299,3,GY,1,100,-0.366
1576860792.568239,587315.000,36299,3,GY,1,100,-0.671
1576860792.605768,587346.667,36317,3,GY,1,100,0.580
1576860792.643298,587378.333,36317,3,GY,1,100,1.343
1576860792.680828,587410.000,36317,3,GY,1,100,0.580
1576860792.721123,587444.000,36335,3,GY,1,100,-0.305
1576860792.761418,587478.000,36335,3,GY,1,100,-0.549
1576860792.801713,587512.000,36335,3,GY,1,100,0.427
1576860792.840033,587544.333,36353,3,GY,1,100,0.793
1576860792.878352,587576.667,36353,3,GY,1,100,0.336
1576860792.916672,587609.000,36353,3,GY,1,100,-0.305
1576860792.954597,587641.000,36371,3,GY,1,100,-0.244
1576860792.992522,587673.000,36371,3,GY,1,100,0.305
1576860793.030446,587705.000,36371,3,GY,1,100,0.214
1576860793.071532,587739.667,36390,3,GY,1,100,0.488
1576860793.112617,587774.333,36390,3,GY,1,100,0.366
1576860793.153702,587809.000,36390,3,GY,1,100,-0.092
1576860793.194787,587843.667,36408,3,GY,1,100,0.061
1576860793.235872,587878.333,36408,3,GY,1,100,0.458
1576860793.276957,587913.000,36408,3,GY,1,100,0.061
1576860793.318832,587948.333,36425,3,GY,1,100,-0.153
1576860793.360708,587983.667,36425,3,GY,1,100,0.092
1576860793.402583,588019.000,36425,3,GY,1,100,-0.153
1576860793.443668,588053.667,36441,3,GY,1,100,0.732
1576860793.484753,588088.333,36441,3,GY,1,100,0.732
1576860793.525838,588123.000,36441,3,GY,1,100,0.641
1576860793.572651,588162.500,36459,2,GY,1,100,0.946
1576860793.619465,588202.000,36459,2,GY,1,100,0.122
1576860793.657093,588233.750,36477,4,GY,1,100,-0.397
1576860793.694721,588265.500,36477,4,GY,1,100,-0.061
1576860793.732350,588297.250,36477,4,GY,1,100,0.275
1576860793.769979,588329.000,36477,4,GY,1,100,0.519
1576860793.808693,588361.667,36495,3,GY,1,100,0.427
1576860793.847408,588394.333,36495,3,GY,1,100,0.488
1576860793.886123,588427.000,36495,3,GY,1,100,0.793
1576860793.927011,588461.500,36513,2,GY,1,100,0.305
1576860793.967898,588496.000,36513,2,GY,1,100,0.061
1576860794.008489,588530.250,36531,4,GY,1,100,-0.488
1576860794.049081,588564.500,36531,4,GY,1,100,-0.549
1576860794.089672,588598.750,36531,4,GY,1,100,0.122
1576860794.130263,588633.000,36531,4,GY,1,100,0.244
1576860794.172929,588669.000,36550,2,GY,1,100,0.183
1576860794.215594,588705.000,36550,2,GY,1,100,0.366
1576860794.256284,588739.333,36568,3,GY,1,100,-0.183
1576860794.296974,588773.667,36568,3,GY,1,100,0.122
1576860794.337664,588808.000,36568,3,GY,1,100,0.885
1576860794.375984,588840.333,36586,3,GY,1,100,0.702
1576860794.414304,588872.667,36586,3,GY,1,100,0.305
1576860794.452623,588905.000,36586,3,GY,1,100,0.153
1576860794.493709,588939.667,36603,3,GY,1,100,0.427
1576860794.534794,588974.333,36603,3,GY,1,100,-0.305
1576860794.575879,589009.000,36603,3,GY,1,100,0.336
1576860794.617359,589044.000,36621,3,GY,1,100,0.427
1576860794.658839,589079.000,36621,3,GY,1,100,0.092
1576860794.700319,589114.000,36621,3,GY,1,100,0.275
1576860794.742194,589149.333,36637,3,GY,1,100,-0.122
1576860794.784070,589184.667,36637,3,GY,1,100,0.092
1576860794.825945,589220.000,36637,3,GY,1,100,0.488
1576860794.867030,589254.667,36655,3,GY,1,100,-0.183
1576860794.908115,589289.333,36655,3,GY,1,100,0.031
1576860794.949200,589324.000,36655,3,GY,1,100,-0.275
1576860794.986335,589355.333,36673,3,GY,1,100,-0.793
1576860795.023469,589386.667,36673,3,GY,1,100,-0.214
1576860795.060604,589418.000,36673,3,GY,1,100,0.366
1576860795.100899,589452.000,36692,3,GY,1,100,0.580
1576860795.141194,589486.000,36692,3,GY,1,100,0.580
1576860795.181489,589520.000,36692,3,GY,1,100,0.397
1576860795.222574,589554.667,36710,3,GY,1,100,-0.092
1576860795.263659,589589.333,36710,3,GY,1,100,-0.824
1576860795.304744,589624.000,36710,3,GY,1,100,0.122
1576860795.345435,589658.333,36728,3,GY,1,100,0.061
1576860795.386125,589692.667,36728,3,GY,1,100,-0.092
1576860795.426815,589727.000,36728,3,GY,1,100,0.061
1576860795.469085,589762.667,36746,3,GY,1,100,0.153
1576860795.511355,589798.333,36746,3,GY,1,100,-0.031
1576860795.553626,589834.000,36746,3,GY,1,100,0.092
1576860795.591945,589866.333,36764,3,GY,1,100,0.183
1576860795.630265,589898.667,36764,3,GY,1,100,0.397
1576860795.668585,589931.000,36764,3,GY,1,100,0.702
1576860795.708880,589965.000,36781,3,GY,1,100,0.397
1576860795.749175,589999.000,36781,3,GY,1,100,-0.366
1576860795.789470,590033.000,36781,3,GY,1,100,-0.458
1576860795.828975,590066.333,36799,3,GY,1,100,0.610
1576860795.868480,590099.667,36799,3,GY,1,100,0.183
1576860795.907985,590133.000,36799,3,GY,1,100,0.092
1576860795.946699,590165.667,36817,3,GY,1,100,0.549
1576860795.985414,590198.333,36817,3,GY,1,100,0.183
1576860796.024129,590231.000,36817,3,GY,1,100,-0.244
1576860796.060869,590262.000,36834,3,GY,1,100,0.031
1576860796.097608,590293.000,36834,3,GY,1,100,-0.244
1576860796.134348,590324.000,36834,3,GY,1,100,0.397
1576860796.175433,590358.667,36852,3,GY,1,100,-0.122
1576860796.216518,590393.333,36852,3,GY,1,100,-0.671
1576860796.257603,590428.000,36852,3,GY,1,100,-0.397
1576860796.296318,590460.667,36870,3,GY,1,100,0.031
1576860796.335033,590493.333,36870,3,GY,1,100,0.183
1576860796.373748,590526.000,36870,3,GY,1,100,-0.092
1576860796.410487,590557.000,36888,4,GY,1,100,-0.183
1576860796.447227,590588.000,36888,4,GY,1,100,-0.092
1576860796.483966,590619.000,36888,4,GY,1,100,0.031
1576860796.520706,590650.000,36888,4,GY,1,100,0.275
1576860796.561396,590684.333,36906,3,GY,1,100,-0.061
1576860796.602086,590718.667,36906,3,GY,1,100,0.061
1576860796.642776,590753.000,36906,3,GY,1,100,0.580
1576860796.681886,590786.000,36924,3,GY,1,100,0.122
1576860796.720996,590819.000,36924,3,GY,1,100,-0.092
1576860796.760106,590852.000,36924,3,GY,1,100,-0.031
1576860796.801586,590887.000,36942,2,GY,1,100,-0.153
1576860796.843066,590922.000,36942,2,GY,1,100,-0.336
1576860796.884151,590956.667,36960,3,GY,1,100,0.061
1576860796.925236,590991.333,36960,3,GY,1,100,-0.061
1576860796.966321,591026.000,36960,3,GY,1,100,-0.793
1576860797.007802,591061.000,36978,3,GY,1,100,-0.580
1576860797.049282,591096.000,36978,3,GY,1,100,7.782
1576860797.090762,591131.000,36978,3,GY,1,100,18.616
1576860797.131452,591165.333,36996,3,GY,1,100,22.125
1576860797.172142,591199.667,36996,3,GY,1,100,27.954
1576860797.212832,591234.000,36996,3,GY,1,100,25.391
1576860797.253127,591268.000,37012,3,GY,1,100,12.421
1576860797.293422,591302.000,37012,3,GY,1,100,14.740
1576860797.333717,591336.000,37012,3,GY,1,100,16.785
1576860797.374802,591370.667,37030,3,GY,1,100,9.064
1576860797.415887,591405.333,37030,3,GY,1,100,-8.453
1576860797.456973,591440.000,37030,3,GY,1,100,-16.022
1576860797.493119,591470.500,37048,4,GY,1,100,-15.259
1576860797.529267,591501.000,37048,4,GY,1,100,-20.447
1576860797.565413,591531.500,37048,4,GY,1,100,-32.349
1576860797.601561,591562.000,37048,4,GY,1,100,-29.419
1576860797.640078,591594.500,37066,2,GY,1,100,-24.811
