EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1576860792.447354,587213.000,36283,9,MX,1,100,-57
1576860792.447354,587213.000,36283,9,MX,1,100,-55
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.447354,587213.000,36283,9,MX,1,100,-57
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.447354,587213.000,36283,9,MX,1,100,-56
1576860792.487649,587247.000,36301,3,MX,1,100,-56
1576860792.527944,587281.000,36301,3,MX,1,100,-56
1576860792.568239,587315.000,36301,3,MX,1,100,-55
1576860792.605768,587346.667,36319,3,MX,1,100,-55
1576860792.643298,587378.333,36319,3,MX,1,100,-56
1576860792.680828,587410.000,36319,3,MX,1,100,-56
1576860792.721123,587444.000,36337,3,MX,1,100,-56
1576860792.761418,587478.000,36337,3,MX,1,100,-57
1576860792.801713,587512.000,36337,3,MX,1,100,-56
1576860792.840033,587544.333,36355,3,MX,1,100,-55
1576860792.878352,587576.667,36355,3,MX,1,100,-57
1576860792.916672,587609.000,36355,3,MX,1,100,-57
1576860792.954597,587641.000,36373,3,MX,1,100,-56
1576860792.992522,587673.000,36373,3,MX,1,100,-56
1576860793.030446,587705.000,36373,3,MX,1,100,-57
1576860793.071532,587739.667,36392,3,MX,1,100,-56
1576860793.112617,587774.333,36392,3,MX,1,100,-57
1576860793.153702,587809.000,36392,3,MX,1,100,-56
1576860793.194787,587843.667,36410,3,MX,1,100,-57
1576860793.235872,587878.333,36410,3,MX,1,100,-57
1576860793.276957,587913.000,36410,3,MX,1,100,-56
1576860793.318832,587948.333,36427,3,MX,1,100,-56
1576860793.360708,587983.667,36427,3,MX,1,100,-56
1576860793.402583,588019.000,36427,3,MX,1,100,-56
1576860793.443668,588053.667,36443,3,MX,1,100,-57
1576860793.484753,588088.333,36443,3,MX,1,100,-55
1576860793.525838,588123.000,36443,3,MX,1,100,-57
1576860793.572651,588162.500,36461,2,MX,1,100,-54
1576860793.619465,588202.000,36461,2,MX,1,100,-56
1576860793.657093,588233.750,36479,4,MX,1,100,-56
1576860793.694721,588265.500,36479,4,MX,1,100,-56
1576860793.732350,588297.250,36479,4,MX,1,100,-57
1576860793.769979,588329.000,36479,4,MX,1,100,-56
1576860793.808693,588361.667,36497,3,MX,1,100,-55
1576860793.847408,588394.333,36497,3,MX,1,100,-56
1576860793.886123,588427.000,36497,3,MX,1,100,-56
1576860793.927603,588462.000,36515,3,MX,1,100,-56
1576860793.969083,588497.000,36515,3,MX,1,100,-56
1576860794.010563,588532.000,36515,3,MX,1,100,-56
1576860794.050463,588565.667,36533,3,MX,1,100,-55
1576860794.090363,588599.333,36533,3,MX,1,100,-55
1576860794.130263,588633.000,36533,3,MX,1,100,-54
1576860794.172929,588669.000,36552,2,MX,1,100,-56
1576860794.215594,588705.000,36552,2,MX,1,100,-55
1576860794.256284,588739.333,36570,3,MX,1,100,-57
1576860794.296974,588773.667,36570,3,MX,1,100,-56
1576860794.337664,588808.000,36570,3,MX,1,100,-57
1576860794.376774,588841.000,36588,4,MX,1,100,-57
1576860794.415884,588874.000,36588,4,MX,1,100,-55
1576860794.454994,588907.000,36588,4,MX,1,100,-56
1576860794.494104,588940.000,36588,4,MX,1,100,-57
1576860794.534991,588974.500,36605,2,MX,1,100,-56
1576860794.575879,589009.000,36605,2,MX,1,100,-57
1576860794.617359,589044.000,36623,3,MX,1,100,-56
1576860794.658839,589079.000,36623,3,MX,1,100,-56
1576860794.700319,589114.000,36623,3,MX,1,100,-56
1576860794.742194,589149.333,36639,3,MX,1,100,-55
1576860794.784070,589184.667,36639,3,MX,1,100,-56
1576860794.825945,589220.000,36639,3,MX,1,100,-55
1576860794.867030,589254.667,36657,3,MX,1,100,-57
1576860794.908115,589289.333,36657,3,MX,1,100,-56
1576860794.949200,589324.000,36657,3,MX,1,100,-56
1576860794.986335,589355.333,36675,3,MX,1,100,-55
1576860795.023469,589386.667,36675,3,MX,1,100,-56
