EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1576860793.011484,587689.000,36376,1,B%,1,100, 1
1576860794.018859,588539.000,36536,1,B%,1,100, 1
1576860795.013198,589378.000,36678,1,B%,1,100, 1
1576860796.003982,590214.000,36822,1,B%,1,100, 1
1576860796.986469,591043.000,36965,1,B%,1,100, 1
1576860797.977252,591879.000,37125,1,B%,1,100, 1
1576860798.969221,592716.000,37257,1,B%,1,100, 1
1576860799.961189,593553.000,37417,1,B%,1,100, 1
1576860800.974491,594408.000,37559,1,B%,1,100, 1
1576860801.961719,595241.000,37701,1,B%,1,100, 1
1576860802.961983,596085.000,37861,1,B%,1,100, 1
1576860803.957507,596925.000,38005,1,B%,1,100, 1
1576860804.962512,597773.000,38151,1,B%,1,100, 1
1576860805.966332,598620.000,38293,1,B%,1,100, 1
1576860806.957116,599456.000,38437,1,B%,1,100, 1
1576860807.978713,600318.000,38597,1,B%,1,100, 1
1576860808.978977,601162.000,38740,1,B%,1,100, 1
1576860809.988723,602014.000,38900,1,B%,1,100, 1
1576860810.977136,602848.000,39030,1,B%,1,100, 1
1576860811.986882,603700.000,39190,1,B%,1,100, 1
1576860812.989517,604546.000,39333,1,B%,1,100, 1
1576860813.975559,605378.000,39475,1,B%,1,100, 1
1576860814.973454,606220.000,39635,1,B%,1,100, 1
1576860815.952386,607046.000,39779,1,B%,1,100, 1
1576860816.962132,607898.000,39927,1,B%,1,100, 1
1576860817.969507,608748.000,40069,1,B%,1,100, 1
1576860818.954365,609579.000,40229,1,B%,1,100, 1
1576860819.990183,610453.000,40371,1,B%,1,100, 1
1576860820.999929,611305.000,40531,1,B%,1,100, 1
1576860822.004934,612153.000,40675,1,B%,1,100, 1
1576860822.994533,612988.000,40821,1,B%,1,100, 1
1576860824.033907,613865.000,40963,1,B%,1,100, 1
1576860825.040097,614714.000,41123,1,B%,1,100, 1
1576860826.024955,615545.000,41267,1,B%,1,100, 1
1576860827.024034,616388.000,41410,1,B%,1,100, 1
1576860828.008892,617219.000,41570,1,B%,1,100, 1
1576860829.006786,618061.000,41701,1,B%,1,100, 1
1576860830.009421,618907.000,41861,1,B%,1,100, 1
1576860830.989538,619734.000,42003,1,B%,1,100, 1
1576860831.947137,620542.000,42147,1,B%,1,100, 1
1576860832.956883,621394.000,42290,1,B%,1,100, 1
1576860833.951222,622233.000,42450,1,B%,1,100, 1
1576860834.937265,623065.000,42579,1,B%,1,100, 1
1576860835.967158,623934.000,42738,1,B%,1,100, 1
1576860836.972163,624782.000,42881,1,B%,1,100, 1
1576860837.958206,625614.000,43041,1,B%,1,100, 1
1576860838.964396,626463.000,43183,1,B%,1,100, 1
1576860840.000215,627337.000,43343,1,B%,1,100, 1
1576860840.996924,628178.000,43472,1,B%,1,100, 1
1576860841.997189,629022.000,43632,1,B%,1,100, 1
1576860843.011675,629878.000,43774,1,B%,1,100, 1
1576860844.000088,630712.000,43916,1,B%,1,100, 1
1576860845.007464,631562.000,44076,1,B%,1,100, 1
1576860846.001802,632401.000,44218,1,B%,1,100, 1
1576860846.997327,633241.000,44368,1,B%,1,100, 1
1576860847.986925,634076.000,44510,1,B%,1,100, 1
1576860848.978893,634913.000,44654,1,B%,1,100, 1
1576860849.967306,635747.000,44815,1,B%,1,100, 1
1576860850.958090,636583.000,44957,1,B%,1,100, 1
1576860851.963095,637431.000,45099,1,B%,1,100, 1
1576860852.946767,638261.000,45246,1,B%,1,100, 1
1576860853.947032,639105.000,45390,1,B%,1,100, 1
1576860854.950852,639952.000,45550,1,B%,1,100, 1
1576860855.965338,640808.000,45692,1,B%,1,100, 1
1576860856.957307,641645.000,45852,1,B%,1,100, 1
1576860857.948090,642481.000,45997,1,B%,1,100, 1
1576860858.973243,643346.000,46142,1,B%,1,100, 1
1576860859.981803,644197.000,46286,1,B%,1,100, 1
1576860860.989179,645047.000,46446,1,B%,1,100, 1
1576860861.976407,645880.000,46590,1,B%,1,100, 1
1576860863.014596,646756.000,46748,1,B%,1,100, 1
1576860864.011305,647597.000,46892,1,B%,1,100, 1
1576860865.005644,648436.000,47038,1,B%,1,100, 1
1576860866.001168,649276.000,47184,1,B%,1,100, 1
1576860867.010914,650128.000,47326,1,B%,1,100, 1
1576860868.001697,650964.000,47487,1,B%,1,100, 1
1576860868.992481,651800.000,47629,1,B%,1,100, 1
1576860869.992745,652644.000,47771,1,B%,1,100, 1
1576860870.962196,653462.000,47915,1,B%,1,100, 1
1576860871.963645,654307.000,48062,1,B%,1,100, 1
1576860872.957984,655146.000,48224,1,B%,1,100, 1
1576860873.940472,655975.000,48367,1,B%,1,100, 1
1576860874.933625,656813.000,48509,1,B%,1,100, 1
1576860875.937445,657660.000,48651,1,B%,1,100, 1
1576860876.936525,658503.000,48811,1,B%,1,100, 1
1576860877.923753,659336.000,48940,1,B%,1,100, 1
1576860878.939424,660193.000,49100,1,B%,1,100, 1
1576860879.938504,661036.000,49242,1,B%,1,100, 1
1576860880.932842,661875.000,49404,1,B%,1,100, 1
1576860881.934292,662720.000,49546,1,B%,1,100, 1
