RD,TS_received,TS_sent,AK,RoundTrip,
30049,30065,2019-11-28_08-36-14-990282,30071,16,
35157,35175,2019-11-28_08-36-21-077002,35178,18,
40265,40273,2019-11-28_08-36-27-124384,40277,8,
45373,45378,2019-11-28_08-36-33-217123,45381,5,
50481,50644,2019-11-28_08-36-39-411830,50650,163,
55589,55635,2019-11-28_08-36-45-406933,55638,46,
60697,60704,2019-11-28_08-36-51-437520,60708,7,
65805,65813,2019-11-28_08-36-57-527457,65816,8,
70913,70921,2019-11-28_08-37-03-584630,70924,8,
76021,76029,2019-11-28_08-37-09-648662,76032,8,
81129,81140,2019-11-28_08-37-15-727808,81143,11,
86237,86244,2019-11-28_08-37-21-793586,86247,7,
91345,91354,2019-11-28_08-37-27-884359,91357,9,
96453,96460,2019-11-28_08-37-33-955031,96463,7,
101561,101571,2019-11-28_08-37-40-042742,101574,10,
106669,106727,2019-11-28_08-37-46-178444,106732,58,
111777,111782,2019-11-28_08-37-52-195087,111787,5,
117767,117837,2019-11-28_08-37-59-394507,117840,70,
122911,123078,2019-11-28_08-38-05-584779,123081,167,
128019,128045,2019-11-28_08-38-11-524793,128048,26,
133127,133133,2019-11-28_08-38-17-583600,133136,6,
138235,138242,2019-11-28_08-38-23-656429,138245,7,
143343,143348,2019-11-28_08-38-29-728992,143351,5,
148451,148457,2019-11-28_08-38-35-798013,148460,6,
153559,153564,2019-11-28_08-38-41-891581,153567,5,
158667,158674,2019-11-28_08-38-47-956999,158677,7,
163775,163782,2019-11-28_08-38-54-031908,163786,7,
168883,168892,2019-11-28_08-39-00-101640,168897,9,
173991,173997,2019-11-28_08-39-06-182033,174002,6,
179099,179266,2019-11-28_08-39-12-372247,179269,167,
184207,184262,2019-11-28_08-39-18-374592,184265,55,
189315,189482,2019-11-28_08-39-24-560155,189486,167,
194423,194431,2019-11-28_08-39-30-450907,194435,8,
199531,199538,2019-11-28_08-39-36-538426,199543,7,
204639,204645,2019-11-28_08-39-42-623416,204648,6,
209747,209754,2019-11-28_08-39-48-687986,209759,7,
214855,214861,2019-11-28_08-39-54-757452,214864,6,
219963,219968,2019-11-28_08-40-00-814798,219971,5,
225071,225078,2019-11-28_08-40-06-863208,225081,7,
230179,230188,2019-11-28_08-40-12-947286,230191,9,
235287,235294,2019-11-28_08-40-19-022646,235299,7,
240395,240403,2019-11-28_08-40-25-114493,240406,8,
245503,245537,2019-11-28_08-40-31-199152,245540,34,
250611,250713,2019-11-28_08-40-37-356293,250777,102,
255719,255782,2019-11-28_08-40-43-377003,255785,63,
260827,260839,2019-11-28_08-40-49-390539,260844,12,
265935,265947,2019-11-28_08-40-55-473673,265951,12,
271043,271048,2019-11-28_08-41-01-541270,271051,5,
276151,276161,2019-11-28_08-41-07-623825,276164,10,
281259,281266,2019-11-28_08-41-13-690777,281269,7,
286367,286373,2019-11-28_08-41-19-766281,286376,6,
291475,291502,2019-11-28_08-41-25-835537,291506,27,
296583,296589,2019-11-28_08-41-31-891971,296594,6,
301691,301699,2019-11-28_08-41-37-990511,301702,8,
306799,306805,2019-11-28_08-41-44-074024,306810,6,
311907,312157,2019-11-28_08-41-50-406119,312160,250,
317015,317177,2019-11-28_08-41-56-389237,317180,162,
322123,322203,2019-11-28_08-42-02-354911,322206,80,
327231,327269,2019-11-28_08-42-08-381240,327273,38,
332339,332346,2019-11-28_08-42-14-448670,332349,7,
337447,337455,2019-11-28_08-42-20-524086,337458,8,
342555,342562,2019-11-28_08-42-26-593778,342565,7,
