EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1574944569.053217,25054.000,3869,10,AX,1,100,-0.417
1574944569.053217,25054.000,3869,10,AX,1,100,-0.418
1574944569.053217,25054.000,3869,10,AX,1,100,-0.420
1574944569.053217,25054.000,3869,10,AX,1,100,-0.423
1574944569.053217,25054.000,3869,10,AX,1,100,-0.417
1574944569.053217,25054.000,3869,10,AX,1,100,-0.419
1574944569.053217,25054.000,3869,10,AX,1,100,-0.421
1574944569.053217,25054.000,3869,10,AX,1,100,-0.420
1574944569.053217,25054.000,3869,10,AX,1,100,-0.420
1574944569.053217,25054.000,3869,10,AX,1,100,-0.419
1574944569.095428,25089.500,3887,2,AX,1,100,-0.420
1574944569.137640,25125.000,3887,2,AX,1,100,-0.419
1574944569.177671,25158.667,3903,3,AX,1,100,-0.423
1574944569.217703,25192.333,3903,3,AX,1,100,-0.418
1574944569.257735,25226.000,3903,3,AX,1,100,-0.418
1574944569.298955,25260.667,3921,3,AX,1,100,-0.413
1574944569.340176,25295.333,3921,3,AX,1,100,-0.414
1574944569.381397,25330.000,3921,3,AX,1,100,-0.416
1574944569.422617,25364.667,3939,3,AX,1,100,-0.421
1574944569.463838,25399.333,3939,3,AX,1,100,-0.420
1574944569.505059,25434.000,3939,3,AX,1,100,-0.421
1574944569.545090,25467.667,3957,3,AX,1,100,-0.417
1574944569.585122,25501.333,3957,3,AX,1,100,-0.418
1574944569.625154,25535.000,3957,3,AX,1,100,-0.414
1574944569.662807,25566.667,3975,3,AX,1,100,-0.409
1574944569.700460,25598.333,3975,3,AX,1,100,-0.414
1574944569.738114,25630.000,3975,3,AX,1,100,-0.419
1574944569.777749,25663.333,3994,3,AX,1,100,-0.420
1574944569.817384,25696.667,3994,3,AX,1,100,-0.415
1574944569.857020,25730.000,3994,3,AX,1,100,-0.417
1574944569.902204,25768.000,4012,3,AX,1,100,-0.418
1574944569.947388,25806.000,4012,3,AX,1,100,-0.411
1574944569.992572,25844.000,4012,3,AX,1,100,-0.415
1574944570.033793,25878.667,4029,3,AX,1,100,-0.415
1574944570.075014,25913.333,4029,3,AX,1,100,-0.411
1574944570.116234,25948.000,4029,3,AX,1,100,-0.414
1574944570.155473,25981.000,4047,3,AX,1,100,-0.413
1574944570.194712,26014.000,4047,3,AX,1,100,-0.410
1574944570.233951,26047.000,4047,3,AX,1,100,-0.414
1574944570.272397,26079.333,4065,3,AX,1,100,-0.409
1574944570.310843,26111.667,4065,3,AX,1,100,-0.408
