EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1574944569.029436,25034.000,3868,2,H0,1,100,93.518
1574944569.029436,25034.000,3868,2,H0,1,100,93.506
1574944569.157854,25142.000,3886,1,H0,1,100,93.522
1574944569.291028,25254.000,3920,1,H0,1,100,93.518
1574944569.426581,25368.000,3938,1,H0,1,100,93.522
1574944569.568079,25487.000,3956,1,H0,1,100,93.518
1574944569.692930,25592.000,3974,1,H0,1,100,93.510
1574944569.821348,25700.000,3993,1,H0,1,100,93.529
1574944569.960468,25817.000,4011,1,H0,1,100,93.529
1574944570.097209,25932.000,4028,1,H0,1,100,93.533
1574944570.231573,26045.000,4046,1,H0,1,100,93.525
1574944570.357613,26151.000,4064,1,H0,1,100,93.525
1574944570.487220,26260.000,4082,1,H0,1,100,93.522
1574944570.626340,26377.000,4116,1,H0,1,100,93.525
1574944570.763082,26492.000,4135,1,H0,1,100,93.525
1574944570.892689,26601.000,4153,1,H0,1,100,93.522
1574944571.019918,26708.000,4171,1,H0,1,100,93.514
1574944571.157849,26824.000,4189,1,H0,1,100,93.525
1574944571.291023,26936.000,4207,1,H0,1,100,93.529
1574944571.431332,27054.000,4224,1,H0,1,100,93.525
1574944571.560939,27163.000,4242,1,H0,1,100,93.525
1574944571.688169,27270.000,4259,1,H0,1,100,93.518
1574944571.826099,27386.000,4295,1,H0,1,100,93.518
1574944571.964030,27502.000,4313,1,H0,1,100,93.529
1574944572.094826,27612.000,4331,1,H0,1,100,93.533
1574944572.220866,27718.000,4349,1,H0,1,100,93.537
1574944572.352852,27829.000,4367,1,H0,1,100,93.518
1574944572.489593,27944.000,4385,1,H0,1,100,93.522
1574944572.623957,28057.000,4402,1,H0,1,100,93.533
1574944572.755942,28168.000,4420,1,H0,1,100,93.525
1574944572.880793,28273.000,4439,1,H0,1,100,93.525
1574944573.016346,28387.000,4473,1,H0,1,100,93.522
1574944573.155465,28504.000,4491,1,H0,1,100,93.522
1574944573.294585,28621.000,4509,1,H0,1,100,93.525
1574944573.418247,28725.000,4527,1,H0,1,100,93.529
1574944573.546665,28833.000,4545,1,H0,1,100,93.529
1574944573.681029,28946.000,4563,1,H0,1,100,93.522
1574944573.817770,29061.000,4581,1,H0,1,100,93.529
1574944573.953323,29175.000,4599,1,H0,1,100,93.537
1574944574.078174,29280.000,4617,1,H0,1,100,93.525
1574944574.210160,29391.000,4635,1,H0,1,100,93.525
1574944574.349279,29508.000,4669,1,H0,1,100,93.533
1574944574.482454,29620.000,4687,1,H0,1,100,93.522
1574944574.615628,29732.000,4705,1,H0,1,100,93.533
1574944574.745235,29841.000,4724,1,H0,1,100,93.529
1574944574.874843,29950.000,4742,1,H0,1,100,93.529
1574944575.012774,30066.000,4763,1,H0,1,100,93.514
1574944575.153082,30184.000,4783,1,H0,1,100,93.533
1574944575.279122,30290.000,4801,1,H0,1,100,93.514
1574944575.407541,30398.000,4819,1,H0,1,100,93.518
1574944575.544282,30513.000,4837,1,H0,1,100,93.514
1574944575.677457,30625.000,4855,1,H0,1,100,93.518
1574944575.815387,30741.000,4873,1,H0,1,100,93.518
1574944575.943805,30849.000,4891,1,H0,1,100,93.510
1574944576.076980,30961.000,4909,1,H0,1,100,93.514
1574944576.211344,31074.000,4943,1,H0,1,100,93.514
1574944576.351652,31192.000,4961,1,H0,1,100,93.522
1574944576.483638,31303.000,4979,1,H0,1,100,93.514
1574944576.609678,31409.000,4997,1,H0,1,100,93.514
1574944576.746419,31524.000,5016,1,H0,1,100,93.514
1574944576.884350,31640.000,5034,1,H0,1,100,93.510
1574944577.022281,31756.000,5051,1,H0,1,100,93.514
1574944577.147132,31861.000,5069,1,H0,1,100,93.514
1574944577.273172,31967.000,5087,1,H0,1,100,93.510
1574944577.413481,32085.000,5121,1,H0,1,100,93.510
1574944577.551411,32201.000,5139,1,H0,1,100,93.518
1574944577.689342,32317.000,5158,1,H0,1,100,93.510
1574944577.816571,32424.000,5176,1,H0,1,100,93.514
1574944577.947367,32534.000,5194,1,H0,1,100,93.510
1574944578.080542,32646.000,5212,1,H0,1,100,93.506
1574944578.220851,32764.000,5229,1,H0,1,100,93.510
1574944578.356403,32878.000,5247,1,H0,1,100,93.514
1574944578.480065,32982.000,5265,1,H0,1,100,93.525
1574944578.613240,33094.000,5299,1,H0,1,100,93.510
1574944578.747603,33207.000,5318,1,H0,1,100,93.510
1574944578.881967,33320.000,5336,1,H0,1,100,93.514
1574944579.013952,33431.000,5354,1,H0,1,100,93.510
1574944579.139992,33537.000,5372,1,H0,1,100,93.514
1574944579.275545,33651.000,5390,1,H0,1,100,93.518
1574944579.411097,33765.000,5407,1,H0,1,100,93.518
1574944579.551406,33883.000,5425,1,H0,1,100,93.510
1574944579.677446,33989.000,5443,1,H0,1,100,93.514
1574944579.805865,34097.000,5462,1,H0,1,100,93.514
1574944579.942606,34212.000,5496,1,H0,1,100,93.525
1574944580.080537,34328.000,5514,1,H0,1,100,93.522
1574944580.213711,34440.000,5532,1,H0,1,100,93.514
1574944580.338562,34545.000,5550,1,H0,1,100,93.514
1574944580.471737,34657.000,5568,1,H0,1,100,93.518
1574944580.610857,34774.000,5586,1,H0,1,100,93.514
1574944580.745220,34887.000,5604,1,H0,1,100,93.510
1574944580.873638,34995.000,5622,1,H0,1,100,93.510
1574944581.002056,35103.000,5640,1,H0,1,100,93.506
1574944581.136420,35216.000,5661,1,H0,1,100,93.514
1574944581.269594,35328.000,5680,1,H0,1,100,93.518
1574944581.411092,35447.000,5698,1,H0,1,100,93.518
1574944581.539510,35555.000,5716,1,H0,1,100,93.529
1574944581.666740,35662.000,5734,1,H0,1,100,93.518
1574944581.805859,35779.000,5769,1,H0,1,100,93.525
1574944581.937845,35890.000,5787,1,H0,1,100,93.518
1574944582.072208,36003.000,5805,1,H0,1,100,93.514
1574944582.212517,36121.000,5823,1,H0,1,100,93.518
1574944582.342124,36230.000,5841,1,H0,1,100,93.510
1574944582.466975,36335.000,5859,1,H0,1,100,93.522
1574944582.603717,36450.000,5876,1,H0,1,100,93.506
1574944582.740459,36565.000,5895,1,H0,1,100,93.510
1574944582.879578,36682.000,5929,1,H0,1,100,93.522
1574944583.004429,36787.000,5947,1,H0,1,100,93.514
1574944583.134037,36896.000,5965,1,H0,1,100,93.506
1574944583.271967,37012.000,5983,1,H0,1,100,93.510
1574944583.407520,37126.000,6001,1,H0,1,100,93.522
1574944583.544261,37241.000,6019,1,H0,1,100,93.510
1574944583.669113,37346.000,6037,1,H0,1,100,93.518
1574944583.805854,37461.000,6055,1,H0,1,100,93.510
1574944583.940218,37574.000,6073,1,H0,1,100,93.510
1574944584.078148,37690.000,6091,1,H0,1,100,93.522
1574944584.205378,37797.000,6125,1,H0,1,100,93.518
1574944584.331418,37903.000,6143,1,H0,1,100,93.503
1574944584.466970,38017.000,6161,1,H0,1,100,93.510
1574944584.609657,38137.000,6179,1,H0,1,100,93.503
1574944584.744021,38250.000,6198,1,H0,1,100,93.510
1574944584.881951,38366.000,6216,1,H0,1,100,93.514
1574944585.017504,38480.000,6233,1,H0,1,100,93.522
1574944585.145922,38588.000,6251,1,H0,1,100,93.506
1574944585.276718,38698.000,6269,1,H0,1,100,93.510
1574944585.417027,38816.000,6303,1,H0,1,100,93.510
1574944585.552580,38930.000,6321,1,H0,1,100,93.510
1574944585.685754,39042.000,6339,1,H0,1,100,93.510
1574944585.823685,39158.000,6358,1,H0,1,100,93.518
1574944585.950914,39265.000,6376,1,H0,1,100,93.514
1574944586.078143,39372.000,6394,1,H0,1,100,93.510
1574944586.214885,39487.000,6411,1,H0,1,100,93.506
1574944586.352816,39603.000,6429,1,H0,1,100,93.503
1574944586.483612,39713.000,6463,1,H0,1,100,93.506
1574944586.613219,39822.000,6481,1,H0,1,100,93.514
1574944586.746394,39934.000,6500,1,H0,1,100,93.506
1574944586.885513,40051.000,6518,1,H0,1,100,93.510
1574944587.023444,40167.000,6536,1,H0,1,100,93.506
1574944587.153051,40276.000,6557,1,H0,1,100,93.514
1574944587.280281,40383.000,6575,1,H0,1,100,93.514
1574944587.415833,40497.000,6595,1,H0,1,100,93.510
1574944587.556142,40615.000,6613,1,H0,1,100,93.506
1574944587.692883,40730.000,6631,1,H0,1,100,93.510
1574944587.816545,40834.000,6650,1,H0,1,100,93.506
