EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1574944569.053217,25054.000,3874,10,GZ,1,100,0.305
1574944569.053217,25054.000,3874,10,GZ,1,100,0.153
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.336
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.244
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.336
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.122
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.031
1574944569.053217,25054.000,3874,10,GZ,1,100,0.122
1574944569.053217,25054.000,3874,10,GZ,1,100,0.153
1574944569.053217,25054.000,3874,10,GZ,1,100,-0.092
1574944569.095428,25089.500,3892,2,GZ,1,100,-0.031
1574944569.137640,25125.000,3892,2,GZ,1,100,0.092
1574944569.177671,25158.667,3908,3,GZ,1,100,0.244
1574944569.217703,25192.333,3908,3,GZ,1,100,0.641
1574944569.257735,25226.000,3908,3,GZ,1,100,1.038
1574944569.298955,25260.667,3926,3,GZ,1,100,1.343
1574944569.340176,25295.333,3926,3,GZ,1,100,1.709
1574944569.381397,25330.000,3926,3,GZ,1,100,1.587
1574944569.422617,25364.667,3944,3,GZ,1,100,0.824
1574944569.463838,25399.333,3944,3,GZ,1,100,0.824
1574944569.505059,25434.000,3944,3,GZ,1,100,0.854
1574944569.545090,25467.667,3962,3,GZ,1,100,1.068
1574944569.585122,25501.333,3962,3,GZ,1,100,1.099
1574944569.625154,25535.000,3962,3,GZ,1,100,0.214
1574944569.662807,25566.667,3980,3,GZ,1,100,0.061
1574944569.700460,25598.333,3980,3,GZ,1,100,0.092
1574944569.738114,25630.000,3980,3,GZ,1,100,-0.366
1574944569.777749,25663.333,3999,3,GZ,1,100,-1.038
1574944569.817384,25696.667,3999,3,GZ,1,100,-1.099
1574944569.857020,25730.000,3999,3,GZ,1,100,-0.854
1574944569.902204,25768.000,4017,3,GZ,1,100,-0.122
1574944569.947388,25806.000,4017,3,GZ,1,100,0.244
1574944569.992572,25844.000,4017,3,GZ,1,100,0.916
1574944570.033793,25878.667,4034,3,GZ,1,100,0.977
1574944570.075014,25913.333,4034,3,GZ,1,100,1.373
1574944570.116234,25948.000,4034,3,GZ,1,100,1.495
1574944570.155473,25981.000,4052,3,GZ,1,100,1.312
1574944570.194712,26014.000,4052,3,GZ,1,100,1.343
1574944570.233951,26047.000,4052,3,GZ,1,100,1.007
1574944570.272397,26079.333,4070,3,GZ,1,100,1.007
1574944570.310843,26111.667,4070,3,GZ,1,100,1.343
1574944570.349290,26144.000,4070,3,GZ,1,100,1.953
1574944570.388132,26176.667,4088,3,GZ,1,100,2.014
1574944570.426975,26209.333,4088,3,GZ,1,100,2.289
1574944570.465817,26242.000,4088,3,GZ,1,100,2.136
1574944570.507038,26276.667,4104,3,GZ,1,100,1.801
1574944570.548259,26311.333,4104,3,GZ,1,100,1.007
1574944570.589479,26346.000,4104,3,GZ,1,100,0.549
1574944570.630304,26380.333,4122,3,GZ,1,100,0.854
1574944570.671128,26414.667,4122,3,GZ,1,100,1.648
1574944570.711952,26449.000,4122,3,GZ,1,100,1.801
1574944570.755551,26485.667,4141,3,GZ,1,100,0.488
1574944570.799150,26522.333,4141,3,GZ,1,100,0.488
1574944570.842748,26559.000,4141,3,GZ,1,100,1.617
