EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1574943913.796377,153062.000,26001,2,AK,1,100,990
1574943913.796377,153062.000,26001,2,AK,1,100,RB
1574943913.801118,153066.000,26003,2,AK,1,100,25979
1574943913.805858,153070.000,26003,2,AK,1,100,RD
1574943916.833825,155625.000,26897,2,AK,1,100,26895
1574943919.861792,158180.000,26897,2,AK,1,100,RD
1574943919.954231,158258.000,26917,2,AK,1,100,26895
1574943920.046670,158336.000,26917,2,AK,1,100,RD
1574943922.982791,160813.500,27795,2,AK,1,100,27793
1574943925.918911,163291.000,27795,2,AK,1,100,RD
1574943926.013128,163370.500,27815,2,AK,1,100,27793
1574943926.107345,163450.000,27815,2,AK,1,100,RD
1574943929.039317,165924.000,28691,2,AK,1,100,28689
1574943931.971290,168398.000,28691,2,AK,1,100,RD
1574943932.070247,168481.500,28711,2,AK,1,100,28689
1574943932.169204,168565.000,28711,2,AK,1,100,RD
1574943935.096437,171035.000,29587,2,AK,1,100,29585
1574943938.023669,173505.000,29587,2,AK,1,100,RD
1574943938.113145,173580.500,29607,2,AK,1,100,29585
1574943938.202621,173656.000,29607,2,AK,1,100,RD
1574943941.141112,176135.500,30483,2,AK,1,100,30481
1574943944.079603,178615.000,30483,2,AK,1,100,RD
1574943944.243741,178753.500,30522,2,AK,1,100,30481
1574943944.407880,178892.000,30522,2,AK,1,100,RD
1574943947.415700,181430.000,31418,2,AK,1,100,31379
1574943950.423520,183968.000,31418,2,AK,1,100,RD
1574943950.427668,183971.500,31420,2,AK,1,100,31379
1574943950.431816,183975.000,31420,2,AK,1,100,RD
1574943953.309866,186403.500,32276,2,AK,1,100,32274
1574943956.187916,188832.000,32276,2,AK,1,100,RD
1574943956.286873,188915.500,32297,2,AK,1,100,32274
1574943956.385830,188999.000,32297,2,AK,1,100,RD
1574943959.361652,191510.000,33172,2,AK,1,100,33170
1574943962.337474,194021.000,33172,2,AK,1,100,RD
1574943962.385471,194061.500,33193,2,AK,1,100,33170
1574943962.433468,194102.000,33193,2,AK,1,100,RD
1574943965.406920,196611.000,34066,2,AK,1,100,34064
1574943968.380372,199120.000,34066,2,AK,1,100,RD
1574943968.428961,199161.000,34087,2,AK,1,100,34064
1574943968.477551,199202.000,34087,2,AK,1,100,RD
1574943971.440337,201702.000,34962,2,AK,1,100,34960
1574943974.403122,204202.000,34962,2,AK,1,100,RD
1574943974.473044,204261.000,34983,2,AK,1,100,34960
1574943974.542966,204320.000,34983,2,AK,1,100,RD
1574943977.522936,206834.500,35858,2,AK,1,100,35856
1574943980.502906,209349.000,35858,2,AK,1,100,RD
1574943980.549718,209388.500,35879,2,AK,1,100,35856
1574943980.596530,209428.000,35879,2,AK,1,100,RD
1574943983.620941,211980.000,36773,2,AK,1,100,36753
1574943986.645353,214532.000,36773,2,AK,1,100,RD
1574943986.650094,214536.000,36775,2,AK,1,100,36753
1574943986.654834,214540.000,36775,2,AK,1,100,RD
1574943989.616435,217039.000,37649,2,AK,1,100,37647
1574943992.578035,219538.000,37649,2,AK,1,100,RD
1574943992.637883,219588.500,37669,2,AK,1,100,37647
1574943992.697732,219639.000,37669,2,AK,1,100,RD
1574943995.659925,222138.500,38544,2,AK,1,100,38542
1574943998.622118,224638.000,38544,2,AK,1,100,RD
1574943998.687299,224693.000,38564,2,AK,1,100,38542
1574943998.752481,224748.000,38564,2,AK,1,100,RD
1574944001.682676,227220.500,39440,2,AK,1,100,39438
1574944004.612871,229693.000,39440,2,AK,1,100,RD
1574944004.703532,229769.500,39460,2,AK,1,100,39438
1574944004.794193,229846.000,39460,2,AK,1,100,RD
1574944007.731499,232324.500,40336,2,AK,1,100,40334
1574944010.668805,234803.000,40336,2,AK,1,100,RD
1574944010.763614,234883.000,40356,2,AK,1,100,40334
1574944010.858423,234963.000,40356,2,AK,1,100,RD
1574944013.789211,237436.000,41233,2,AK,1,100,41231
1574944016.719998,239909.000,41233,2,AK,1,100,RD
1574944016.819548,239993.000,41253,2,AK,1,100,41231
1574944016.919098,240077.000,41253,2,AK,1,100,RD
1574944019.854033,242553.500,42129,2,AK,1,100,42127
1574944022.788969,245030.000,42129,2,AK,1,100,RD
1574944022.878445,245105.500,42149,2,AK,1,100,42127
1574944022.967921,245181.000,42149,2,AK,1,100,RD
1574944025.899894,247655.000,43025,2,AK,1,100,43023
1574944028.831867,250129.000,43025,2,AK,1,100,RD
1574944028.929638,250211.500,43045,2,AK,1,100,43023
1574944029.027410,250294.000,43045,2,AK,1,100,RD
1574944031.957013,252766.000,43921,2,AK,1,100,43919
1574944034.886616,255238.000,43921,2,AK,1,100,RD
1574944034.987350,255323.000,43941,2,AK,1,100,43919
1574944035.088085,255408.000,43941,2,AK,1,100,RD
1574944038.027168,257888.000,44815,2,AK,1,100,44813
1574944040.966252,260368.000,44815,2,AK,1,100,RD
1574944041.048025,260437.000,44835,2,AK,1,100,44813
1574944041.129797,260506.000,44835,2,AK,1,100,RD
1574944044.058215,262977.000,45711,2,AK,1,100,45709
1574944046.986632,265448.000,45711,2,AK,1,100,RD
1574944047.082627,265529.000,45731,2,AK,1,100,45709
1574944047.178621,265610.000,45731,2,AK,1,100,RD
1574944050.110001,268083.500,46607,2,AK,1,100,46605
1574944053.041381,270557.000,46607,2,AK,1,100,RD
1574944053.190706,270683.000,46645,2,AK,1,100,46605
1574944053.340030,270809.000,46645,2,AK,1,100,RD
1574944056.220450,273239.500,47503,2,AK,1,100,47501
1574944059.100871,275670.000,47503,2,AK,1,100,RD
1574944059.211086,275763.000,47523,2,AK,1,100,47501
1574944059.321302,275856.000,47523,2,AK,1,100,RD
1574944062.239646,278318.500,48399,2,AK,1,100,48397
1574944065.157990,280781.000,48399,2,AK,1,100,RD
1574944065.249243,280858.000,48420,2,AK,1,100,48397
1574944065.340497,280935.000,48420,2,AK,1,100,RD
1574944068.325208,283453.500,49295,2,AK,1,100,49293
1574944071.309918,285972.000,49295,2,AK,1,100,RD
1574944071.350212,286006.000,49316,2,AK,1,100,49293
1574944071.390506,286040.000,49316,2,AK,1,100,RD
1574944074.356254,288542.500,50191,2,AK,1,100,50189
1574944077.322003,291045.000,50191,2,AK,1,100,RD
1574944077.386592,291099.500,50212,2,AK,1,100,50189
1574944077.451180,291154.000,50212,2,AK,1,100,RD
1574944080.406855,293648.000,51087,2,AK,1,100,51085
1574944083.362530,296142.000,51087,2,AK,1,100,RD
1574944083.435415,296203.500,51108,2,AK,1,100,51085
1574944083.508300,296265.000,51108,2,AK,1,100,RD
1574944086.438495,298737.500,51984,2,AK,1,100,51982
1574944089.368690,301210.000,51984,2,AK,1,100,RD
1574944089.456981,301284.500,52004,2,AK,1,100,51982
1574944089.545272,301359.000,52004,2,AK,1,100,RD
1574944092.480207,303835.500,52880,2,AK,1,100,52878
1574944095.415143,306312.000,52880,2,AK,1,100,RD
1574944095.514692,306396.000,52900,2,AK,1,100,52878
1574944095.614242,306480.000,52900,2,AK,1,100,RD
1574944098.544437,308952.500,53774,2,AK,1,100,53772
1574944101.474632,311425.000,53774,2,AK,1,100,RD
1574944101.571811,311507.000,53794,2,AK,1,100,53772
1574944101.668991,311589.000,53794,2,AK,1,100,RD
1574944104.596223,314059.000,54670,2,AK,1,100,54668
1574944107.523456,316529.000,54670,2,AK,1,100,RD
1574944107.620635,316611.000,54690,2,AK,1,100,54668
1574944107.717814,316693.000,54690,2,AK,1,100,RD
1574944110.651565,319168.500,55566,2,AK,1,100,55564
1574944113.585315,321644.000,55566,2,AK,1,100,RD
1574944113.678347,321722.500,55586,2,AK,1,100,55564
1574944113.771378,321801.000,55586,2,AK,1,100,RD
1574944116.708091,324279.000,56462,2,AK,1,100,56460
1574944119.644804,326757.000,56462,2,AK,1,100,RD
1574944119.733688,326832.000,56482,2,AK,1,100,56460
1574944119.822572,326907.000,56482,2,AK,1,100,RD
1574944122.783580,329405.500,57357,2,AK,1,100,57355
