EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1574943913.951627,153193.000,26019,10,MX,1,100,-69
1574943913.951627,153193.000,26019,10,MX,1,100,-68
1574943913.951627,153193.000,26019,10,MX,1,100,-68
1574943913.951627,153193.000,26019,10,MX,1,100,-69
1574943913.951627,153193.000,26019,10,MX,1,100,-68
1574943913.951627,153193.000,26019,10,MX,1,100,-68
1574943913.951627,153193.000,26019,10,MX,1,100,-70
1574943913.951627,153193.000,26019,10,MX,1,100,-70
1574943913.951627,153193.000,26019,10,MX,1,100,-69
1574943913.951627,153193.000,26019,10,MX,1,100,-69
1574943913.991921,153227.000,26036,2,MX,1,100,-69
1574943914.032215,153261.000,26036,2,MX,1,100,-69
1574943914.073694,153296.000,26054,3,MX,1,100,-68
1574943914.115173,153331.000,26054,3,MX,1,100,-70
1574943914.156652,153366.000,26054,3,MX,1,100,-68
1574943914.197736,153400.667,26070,3,MX,1,100,-70
1574943914.238820,153435.333,26070,3,MX,1,100,-69
1574943914.279904,153470.000,26070,3,MX,1,100,-69
1574943914.319408,153503.333,26088,3,MX,1,100,-68
1574943914.358912,153536.667,26088,3,MX,1,100,-69
1574943914.398416,153570.000,26088,3,MX,1,100,-69
1574943914.435944,153601.667,26107,3,MX,1,100,-68
1574943914.473473,153633.333,26107,3,MX,1,100,-68
1574943914.511001,153665.000,26107,3,MX,1,100,-69
1574943914.550505,153698.333,26125,3,MX,1,100,-68
1574943914.590009,153731.667,26125,3,MX,1,100,-69
1574943914.629513,153765.000,26125,3,MX,1,100,-69
1574943914.674547,153803.000,26143,3,MX,1,100,-68
1574943914.719581,153841.000,26143,3,MX,1,100,-68
1574943914.764616,153879.000,26143,3,MX,1,100,-68
1574943914.806095,153914.000,26161,3,MX,1,100,-68
1574943914.847574,153949.000,26161,3,MX,1,100,-69
1574943914.889053,153984.000,26161,3,MX,1,100,-69
1574943914.927767,154016.667,26179,3,MX,1,100,-69
1574943914.966480,154049.333,26179,3,MX,1,100,-69
1574943915.005194,154082.000,26179,3,MX,1,100,-69
1574943915.043513,154114.333,26196,3,MX,1,100,-68
1574943915.081831,154146.667,26196,3,MX,1,100,-68
1574943915.120150,154179.000,26196,3,MX,1,100,-70
1574943915.158469,154211.333,26214,3,MX,1,100,-68
1574943915.196787,154243.667,26214,3,MX,1,100,-69
1574943915.235106,154276.000,26214,3,MX,1,100,-69
1574943915.275795,154310.333,26232,3,MX,1,100,-67
1574943915.316484,154344.667,26232,3,MX,1,100,-70
1574943915.357173,154379.000,26232,3,MX,1,100,-68
1574943915.403985,154418.500,26248,2,MX,1,100,-69
1574943915.450797,154458.000,26248,2,MX,1,100,-69
1574943915.492276,154493.000,26267,3,MX,1,100,-68
1574943915.533755,154528.000,26267,3,MX,1,100,-69
1574943915.575234,154563.000,26267,3,MX,1,100,-68
1574943915.613158,154595.000,26285,4,MX,1,100,-69
1574943915.651081,154627.000,26285,4,MX,1,100,-69
1574943915.689005,154659.000,26285,4,MX,1,100,-70
1574943915.726929,154691.000,26285,4,MX,1,100,-69
1574943915.766037,154724.000,26303,3,MX,1,100,-68
1574943915.805146,154757.000,26303,3,MX,1,100,-69
1574943915.844255,154790.000,26303,3,MX,1,100,-68
1574943915.885339,154824.667,26321,3,MX,1,100,-68
1574943915.926423,154859.333,26321,3,MX,1,100,-69
1574943915.967507,154894.000,26321,3,MX,1,100,-69
1574943916.008393,154928.500,26339,2,MX,1,100,-69
1574943916.049280,154963.000,26339,2,MX,1,100,-69
1574943916.095104,155001.667,26357,3,MX,1,100,-69
1574943916.140929,155040.333,26357,3,MX,1,100,-68
1574943916.186753,155079.000,26357,3,MX,1,100,-69
1574943916.220331,155107.333,26375,3,MX,1,100,-69
1574943916.253909,155135.667,26375,3,MX,1,100,-68
1574943916.287488,155164.000,26375,3,MX,1,100,-68
1574943916.328967,155199.000,26392,3,MX,1,100,-68
1574943916.370446,155234.000,26392,3,MX,1,100,-67
1574943916.411925,155269.000,26392,3,MX,1,100,-68
1574943916.452614,155303.333,26411,3,MX,1,100,-68
1574943916.493303,155337.667,26411,3,MX,1,100,-68
1574943916.533991,155372.000,26411,3,MX,1,100,-68
1574943916.574285,155406.000,26427,3,MX,1,100,-68
1574943916.614579,155440.000,26427,3,MX,1,100,-68
1574943916.654873,155474.000,26427,3,MX,1,100,-68
1574943916.695957,155508.667,26445,3,MX,1,100,-67
1574943916.737041,155543.333,26445,3,MX,1,100,-68
1574943916.778125,155578.000,26445,3,MX,1,100,-69
1574943916.815654,155609.667,26463,3,MX,1,100,-69
1574943916.853182,155641.333,26463,3,MX,1,100,-69
1574943916.890711,155673.000,26463,3,MX,1,100,-68
1574943916.931795,155707.667,26481,3,MX,1,100,-68
1574943916.972879,155742.333,26481,3,MX,1,100,-68
