69661,11573,2,RD,1,100,TL
69661,11573,2,RD,1,100,TU
75127,13520,2,RD,1,100,TL
80594,13520,2,RD,1,100,TU
86038,15465,2,RD,1,100,TL
91482,15465,2,RD,1,100,TU
96950,17411,2,RD,1,100,TL
102419,17411,2,RD,1,100,TU
107863,19357,2,RD,1,100,TL
113307,19357,2,RD,1,100,TU
118770,21302,2,RD,1,100,TL
124234,21302,2,RD,1,100,TU
129678,23248,2,RD,1,100,TL
135122,23248,2,RD,1,100,TU
146035,27138,2,RD,1,100,TL
156948,27138,2,RD,1,100,TU
167854,31029,2,RD,1,100,TL
178760,31029,2,RD,1,100,TU
189673,34921,2,RD,1,100,TL
200587,34921,2,RD,1,100,TU
211475,38812,2,RD,1,100,TL
222363,38812,2,RD,1,100,TU
227834,40757,2,RD,1,100,TL
233305,40757,2,RD,1,100,TU
244210,44649,2,RD,1,100,TL
255116,44649,2,RD,1,100,TU
266004,48540,2,RD,1,100,TL
276892,48540,2,RD,1,100,TU
282350,50485,2,RD,1,100,TL
287809,50485,2,RD,1,100,TU
298710,54358,2,RD,1,100,TL
309611,54358,2,RD,1,100,TU
320509,58249,2,RD,1,100,TL
331408,58249,2,RD,1,100,TU
347765,64086,2,RD,1,100,TL
364123,64086,2,RD,1,100,TU
369567,495,2,RD,1,100,TL
375011,495,2,RD,1,100,TU
380479,2441,2,RD,1,100,TL
385947,2441,2,RD,1,100,TU
396858,6332,2,RD,1,100,TL
407770,6332,2,RD,1,100,TU
424124,12169,2,RD,1,100,TL
440479,12169,2,RD,1,100,TU
456811,17987,2,RD,1,100,TL
473143,17987,2,RD,1,100,TU
478587,19933,2,RD,1,100,TL
484031,19933,2,RD,1,100,TU
489493,21878,2,RD,1,100,TL
494956,21878,2,RD,1,100,TU
500400,23824,2,RD,1,100,TL
505844,23824,2,RD,1,100,TU
516732,27696,2,RD,1,100,TL
527620,27696,2,RD,1,100,TU
533064,29607,2,RD,1,100,TL
538508,29607,2,RD,1,100,TU
