EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1575307440.521402,176452.000,30232,2,EL,1,100,0.327704
1575307440.521402,176452.000,30232,2,EL,1,100,0.332054
1575307440.584263,176505.000,30250,2,EL,1,100,0.332054
1575307440.647124,176558.000,30250,2,EL,1,100,0.332498
1575307440.711765,176612.500,30268,2,EL,1,100,0.333827
1575307440.776405,176667.000,30268,2,EL,1,100,0.333585
1575307440.845790,176725.500,30286,2,EL,1,100,0.334834
1575307440.915175,176784.000,30286,2,EL,1,100,0.334753
1575307440.980408,176839.000,30304,1,EL,1,100,0.335761
1575307441.051572,176899.000,30322,2,EL,1,100,0.336526
1575307441.122736,176959.000,30322,2,EL,1,100,0.336324
1575307441.184411,177011.000,30339,2,EL,1,100,0.336848
1575307441.246087,177063.000,30339,2,EL,1,100,0.337332
1575307441.310727,177117.500,30357,2,EL,1,100,0.338097
1575307441.375368,177172.000,30357,2,EL,1,100,0.338218
1575307441.441787,177228.000,30376,2,EL,1,100,0.337855
1575307441.508207,177284.000,30376,2,EL,1,100,0.337775
1575307441.575219,177340.500,30392,2,EL,1,100,0.337211
1575307441.642232,177397.000,30392,2,EL,1,100,0.337734
1575307441.712210,177456.000,30410,1,EL,1,100,0.336969
1575307441.775664,177509.500,30428,2,EL,1,100,0.337493
1575307441.839118,177563.000,30428,2,EL,1,100,0.337050
1575307441.903166,177617.000,30446,2,EL,1,100,0.336687
1575307441.967213,177671.000,30446,2,EL,1,100,0.336727
1575307442.035412,177728.500,30464,2,EL,1,100,0.336848
1575307442.103611,177786.000,30464,2,EL,1,100,0.336768
1575307442.170030,177842.000,30482,2,EL,1,100,0.337211
1575307442.236450,177898.000,30482,2,EL,1,100,0.336969
1575307442.308800,177959.000,30500,1,EL,1,100,0.336445
1575307442.372254,178012.500,30518,2,EL,1,100,0.336768
1575307442.435709,178066.000,30518,2,EL,1,100,0.336969
1575307442.499756,178120.000,30536,2,EL,1,100,0.337291
1575307442.563803,178174.000,30536,2,EL,1,100,0.336606
1575307442.630816,178230.500,30554,2,EL,1,100,0.337211
1575307442.697829,178287.000,30554,2,EL,1,100,0.337654
1575307442.765434,178344.000,30572,2,EL,1,100,0.337573
1575307442.833040,178401.000,30572,2,EL,1,100,0.337976
1575307442.904204,178461.000,30588,1,EL,1,100,0.337573
1575307442.968251,178515.000,30606,2,EL,1,100,0.337936
1575307443.032299,178569.000,30606,2,EL,1,100,0.338218
1575307443.095160,178622.000,30624,2,EL,1,100,0.338419
1575307443.158021,178675.000,30624,2,EL,1,100,0.339104
1575307443.225627,178732.000,30642,2,EL,1,100,0.338741
1575307443.293233,178789.000,30642,2,EL,1,100,0.339225
1575307443.360245,178845.500,30661,2,EL,1,100,0.339265
1575307443.427258,178902.000,30661,2,EL,1,100,0.339829
1575307443.496643,178960.500,30679,2,EL,1,100,0.340796
1575307443.566027,179019.000,30679,2,EL,1,100,0.340594
1575307443.633633,179076.000,30697,1,EL,1,100,0.340876
1575307443.697088,179129.500,30714,2,EL,1,100,0.341763
1575307443.760542,179183.000,30714,2,EL,1,100,0.342045
1575307443.826962,179239.000,30732,2,EL,1,100,0.342206
1575307443.893381,179295.000,30732,2,EL,1,100,0.342528
1575307443.961580,179352.500,30750,2,EL,1,100,0.342850
1575307444.029778,179410.000,30750,2,EL,1,100,0.342891
1575307444.096198,179466.000,30766,2,EL,1,100,0.343253
1575307444.162617,179522.000,30766,2,EL,1,100,0.344180
1575307444.232595,179581.000,30784,1,EL,1,100,0.344099
1575307444.299608,179637.500,30802,2,EL,1,100,0.344985
1575307444.366621,179694.000,30802,2,EL,1,100,0.345710
1575307444.434226,179751.000,30821,2,EL,1,100,0.345751
1575307444.501832,179808.000,30821,2,EL,1,100,0.345791
1575307444.564100,179860.500,30839,2,EL,1,100,0.346194
1575307444.626369,179913.000,30839,2,EL,1,100,0.346556
1575307444.692788,179969.000,30857,2,EL,1,100,0.346154
1575307444.759207,180025.000,30857,2,EL,1,100,0.347523
1575307444.826813,180082.000,30875,1,EL,1,100,0.347402
1575307444.895012,180139.500,30892,2,EL,1,100,0.347281
1575307444.963211,180197.000,30892,2,EL,1,100,0.347644
1575307445.030816,180254.000,30910,2,EL,1,100,0.348732
