EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1575308720.430150,540767,28767,4,DC,1,100,ER
1575308720.430150,540767,28767,4,DC,1,100,EA
1575308720.430150,540767,28767,4,DC,1,100,ER
1575308720.430150,540767,28767,4,DC,1,100,EA
1575308720.562115,540878,28787,4,DC,1,100,ER
1575308720.562115,540878,28787,4,DC,1,100,EA
1575308720.562115,540878,28787,4,DC,1,100,ER
1575308720.562115,540878,28787,4,DC,1,100,EA
1575308724.770737,544418,29411,4,DC,1,100,ER
1575308724.770737,544418,29411,4,DC,1,100,EA
1575308724.770737,544418,29411,4,DC,1,100,ER
1575308724.770737,544418,29411,4,DC,1,100,EA
1575308724.902703,544529,29430,4,DC,1,100,ER
1575308724.902703,544529,29430,4,DC,1,100,EA
1575308724.902703,544529,29430,4,DC,1,100,ER
1575308724.902703,544529,29430,4,DC,1,100,EA
1575308724.970469,544586,29449,2,DC,1,100,ER
1575308724.970469,544586,29449,2,DC,1,100,EA
1575308725.103622,544698,29467,4,DC,1,100,ER
1575308725.103622,544698,29467,4,DC,1,100,EA
1575308725.103622,544698,29467,4,DC,1,100,ER
1575308725.103622,544698,29467,4,DC,1,100,EA
1575308725.230832,544805,29486,4,DC,1,100,ER
1575308725.230832,544805,29486,4,DC,1,100,EA
1575308725.230832,544805,29486,4,DC,1,100,ER
1575308725.230832,544805,29486,4,DC,1,100,EA
1575308725.362797,544916,29505,4,DC,1,100,ER
1575308725.362797,544916,29505,4,DC,1,100,EA
1575308725.362797,544916,29505,4,DC,1,100,ER
1575308725.362797,544916,29505,4,DC,1,100,EA
1575308725.498329,545030,29524,4,DC,1,100,ER
1575308725.498329,545030,29524,4,DC,1,100,EA
1575308725.498329,545030,29524,4,DC,1,100,ER
1575308725.498329,545030,29524,4,DC,1,100,EA
1575308725.569662,545090,29542,2,DC,1,100,ER
1575308725.569662,545090,29542,2,DC,1,100,EA
1575308725.769393,545258,29562,6,DC,1,100,ER
1575308725.769393,545258,29562,6,DC,1,100,EA
1575308725.769393,545258,29562,6,DC,1,100,ER
1575308725.769393,545258,29562,6,DC,1,100,EA
1575308725.769393,545258,29562,6,DC,1,100,ER
1575308725.769393,545258,29562,6,DC,1,100,EA
1575308725.900170,545368,29581,4,DC,1,100,ER
1575308725.900170,545368,29581,4,DC,1,100,EA
1575308725.900170,545368,29581,4,DC,1,100,ER
1575308725.900170,545368,29581,4,DC,1,100,EA
1575308726.034513,545481,29603,4,DC,1,100,ER
1575308726.034513,545481,29603,4,DC,1,100,EA
1575308726.034513,545481,29603,4,DC,1,100,ER
1575308726.034513,545481,29603,4,DC,1,100,EA
1575308728.292188,547380,29942,4,DC,1,100,ER
1575308728.292188,547380,29942,4,DC,1,100,EA
1575308728.292188,547380,29942,4,DC,1,100,ER
1575308728.292188,547380,29942,4,DC,1,100,EA
