RD,TS_received,TS_sent,AK,RoundTrip,
19038,19045,2019-12-02_13-35-00-168906,19048,7,
24146,24162,2019-12-02_13-35-06-246215,24174,16,
29254,29261,2019-12-02_13-35-12-326229,29264,7,
34362,34371,2019-12-02_13-35-18-400946,34374,9,
39470,39477,2019-12-02_13-35-24-475934,39481,7,
44578,44586,2019-12-02_13-35-30-550403,44591,8,
49686,49707,2019-12-02_13-35-36-628453,49710,21,
54794,54949,2019-12-02_13-35-42-823101,54952,155,
59902,59991,2019-12-02_13-35-48-839832,59994,89,
65010,65094,2019-12-02_13-35-54-887944,65098,84,
70118,70122,2019-12-02_13-36-00-889519,70125,4,
75226,75233,2019-12-02_13-36-06-934360,75236,7,
80334,80343,2019-12-02_13-36-13-028796,80347,9,
85442,85449,2019-12-02_13-36-19-112740,85452,7,
90550,90585,2019-12-02_13-36-25-187395,90588,35,
95658,95671,2019-12-02_13-36-31-244606,95675,13,
100766,100773,2019-12-02_13-36-37-306381,100776,7,
105874,105906,2019-12-02_13-36-43-394640,105909,32,
110982,110990,2019-12-02_13-36-49-449738,110995,8,
116090,116109,2019-12-02_13-36-55-532474,116112,19,
121198,121207,2019-12-02_13-37-01-591437,121210,9,
126306,126314,2019-12-02_13-37-07-664473,126317,8,
131414,131470,2019-12-02_13-37-13-793131,131474,56,
136522,136686,2019-12-02_13-37-19-975026,136690,164,
141630,141636,2019-12-02_13-37-25-891273,141639,6,
146738,146781,2019-12-02_13-37-31-999755,146784,43,
151846,151853,2019-12-02_13-37-38-018939,151856,7,
156954,156963,2019-12-02_13-37-44-115269,156966,9,
162062,162070,2019-12-02_13-37-50-170613,162073,8,
167170,167179,2019-12-02_13-37-56-247841,167182,9,
172278,172323,2019-12-02_13-38-02-389818,172326,45,
177386,177445,2019-12-02_13-38-08-472069,177449,59,
182494,182501,2019-12-02_13-38-14-510004,182506,7,
187603,187616,2019-12-02_13-38-20-550018,187619,13,
192711,192717,2019-12-02_13-38-26-628663,192720,6,
197819,197907,2019-12-02_13-38-32-813642,197910,88,
202927,202934,2019-12-02_13-38-38-796356,202939,7,
208035,208284,2019-12-02_13-38-45-105103,208288,249,
213143,213156,2019-12-02_13-38-50-930328,213158,13,
218251,218278,2019-12-02_13-38-56-989557,218281,27,
223359,223397,2019-12-02_13-39-03-076908,223400,38,
228467,228474,2019-12-02_13-39-09-116620,228477,7,
233575,233589,2019-12-02_13-39-15-182013,233592,14,
238683,238688,2019-12-02_13-39-21-256283,238693,5,
243791,243799,2019-12-02_13-39-27-315025,243802,8,
248899,248995,2019-12-02_13-39-33-485040,248998,96,
254007,254017,2019-12-02_13-39-39-469046,254020,10,
259115,259123,2019-12-02_13-39-45-542281,259126,8,
264223,264417,2019-12-02_13-39-51-674939,264422,194,
269331,269789,2019-12-02_13-39-58-218295,269793,458,
274439,274495,2019-12-02_13-40-03-838004,274498,56,
279547,279600,2019-12-02_13-40-09-892527,279603,53,
284655,284668,2019-12-02_13-40-15-933573,284671,13,
289763,289771,2019-12-02_13-40-21-990778,289774,8,
294871,294878,2019-12-02_13-40-28-077882,294881,7,
299979,300035,2019-12-02_13-40-34-205535,300039,56,
305087,305096,2019-12-02_13-40-40-198245,305099,9,
310195,310202,2019-12-02_13-40-46-273364,310206,7,
315303,315325,2019-12-02_13-40-52-361623,315328,22,
320411,320434,2019-12-02_13-40-58-417538,320437,23,
325519,325529,2019-12-02_13-41-04-494150,325532,10,
330627,330642,2019-12-02_13-41-10-583807,330645,15,
335735,335747,2019-12-02_13-41-16-653908,335751,12,
340843,340896,2019-12-02_13-41-22-783568,340901,53,
345951,345980,2019-12-02_13-41-28-843210,345983,29,
351059,351152,2019-12-02_13-41-34-987774,351155,93,
356167,356419,2019-12-02_13-41-41-210278,356425,252,
361275,361285,2019-12-02_13-41-47-057358,361291,10,
366383,366390,2019-12-02_13-41-53-104743,366393,7,
371491,371524,2019-12-02_13-41-59-226140,371527,33,
376599,376611,2019-12-02_13-42-05-252937,376614,12,
381707,381715,2019-12-02_13-42-11-349206,381719,8,
386815,386823,2019-12-02_13-42-17-401410,386826,8,
391960,391986,2019-12-02_13-42-23-561541,391989,26,
397068,
402176,402778,2019-12-02_13-42-36-306890,402783,602,
407284,407474,2019-12-02_13-42-41-982949,407478,190,
412392,412439,2019-12-02_13-42-47-876793,412442,47,
417500,417515,2019-12-02_13-42-53-919277,417518,15,
422608,422693,2019-12-02_13-43-00-051338,422696,85,
427716,427748,2019-12-02_13-43-06-040782,427751,32,
432824,432837,2019-12-02_13-43-12-098667,432840,13,
437932,437940,2019-12-02_13-43-18-178799,437943,8,
443040,443064,2019-12-02_13-43-24-248187,443067,24,
448148,448169,2019-12-02_13-43-30-327875,448188,21,
453256,453306,2019-12-02_13-43-36-377387,453309,50,
458364,458377,2019-12-02_13-43-42-460172,458380,13,
463472,463511,2019-12-02_13-43-48-552952,463514,39,
468580,468599,2019-12-02_13-43-54-629187,468603,19,
473688,473865,2019-12-02_13-44-00-880445,473868,177,
478796,478868,2019-12-02_13-44-06-837320,478871,72,
483904,484074,2019-12-02_13-44-12-935821,484077,170,
489012,489024,2019-12-02_13-44-18-894637,489027,12,
494120,494217,2019-12-02_13-44-25-049126,494220,97,
499228,499238,2019-12-02_13-44-31-038218,499241,10,
504336,504352,2019-12-02_13-44-37-122387,504355,16,
509444,509615,2019-12-02_13-44-43-384068,509618,171,
514552,514561,2019-12-02_13-44-49-264432,514564,9,
519660,519691,2019-12-02_13-44-55-362043,519695,31,
524768,524778,2019-12-02_13-45-01-417591,524781,10,
529876,529882,2019-12-02_13-45-07-486233,529887,6,
534984,534992,2019-12-02_13-45-13-551189,534996,8,
540092,540466,2019-12-02_13-45-20-054960,540471,374,
545200,545469,2019-12-02_13-45-26-020688,545470,269,
