RD,TS_received,TS_sent,AK,RoundTrip,
27262,27268,2019-12-19_10-29-03-522195,27271,6,
32370,32378,2019-12-19_10-29-09-598002,32381,8,
37478,37485,2019-12-19_10-29-15-657627,37488,7,
42586,42594,2019-12-19_10-29-21-723470,42598,8,
47694,47702,2019-12-19_10-29-27-782355,47705,8,
52802,52812,2019-12-19_10-29-33-833911,52815,10,
57910,57917,2019-12-19_10-29-39-901827,57921,7,
63018,63024,2019-12-19_10-29-45-967163,63028,6,
68126,68287,2019-12-19_10-29-52-189812,68292,161,
73234,73244,2019-12-19_10-29-58-124163,73247,10,
78342,78368,2019-12-19_10-30-04-220690,78373,26,
83450,83457,2019-12-19_10-30-10-247701,83460,7,
88558,88565,2019-12-19_10-30-16-307814,88568,7,
93666,93674,2019-12-19_10-30-22-403885,93678,8,
98774,98782,2019-12-19_10-30-28-474883,98786,8,
103882,103889,2019-12-19_10-30-34-546465,103892,7,
108990,108997,2019-12-19_10-30-40-607165,109000,7,
114098,114103,2019-12-19_10-30-46-693399,114106,5,
119206,119212,2019-12-19_10-30-52-731179,119215,6,
124314,124318,2019-12-19_10-30-58-815458,124322,4,
129422,129429,2019-12-19_10-31-04-900224,129432,7,
134530,134537,2019-12-19_10-31-10-970424,134540,7,
139638,139737,2019-12-19_10-31-17-164484,139740,99,
144746,144785,2019-12-19_10-31-23-174831,144788,39,
149854,149860,2019-12-19_10-31-29-205612,149863,6,
154962,154969,2019-12-19_10-31-35-297831,154972,7,
160102,160108,2019-12-19_10-31-41-386695,160111,6,
165582,165589,2019-12-19_10-31-47-890491,165592,7,
170720,170888,2019-12-19_10-31-54-007858,170891,168,
175828,175900,2019-12-19_10-32-00-169432,175903,72,
180936,180947,2019-12-19_10-32-06-168154,180950,11,
186044,186051,2019-12-19_10-32-12-262136,186055,7,
191152,191156,2019-12-19_10-32-18-316258,191160,4,
196260,196267,2019-12-19_10-32-24-395550,196270,7,
201368,201378,2019-12-19_10-32-30-476725,201381,10,
206476,206483,2019-12-19_10-32-36-562027,206486,7,
211584,211591,2019-12-19_10-32-42-630646,211595,7,
216692,216699,2019-12-19_10-32-48-705295,216704,7,
221800,221817,2019-12-19_10-32-54-785469,221820,17,
226908,227369,2019-12-19_10-33-00-856001,227373,461,
232016,232024,2019-12-19_10-33-06-925563,232027,8,
237124,237130,2019-12-19_10-33-13-005020,237133,6,
242232,242321,2019-12-19_10-33-19-170106,242324,89,
247340,247360,2019-12-19_10-33-25-157168,247363,20,
252448,252456,2019-12-19_10-33-31-208808,252459,8,
257556,257562,2019-12-19_10-33-37-290518,257565,6,
262664,262672,2019-12-19_10-33-43-353010,262675,8,
267772,267778,2019-12-19_10-33-49-424593,267783,6,
272880,272888,2019-12-19_10-33-55-514457,272891,8,
277988,277997,2019-12-19_10-34-01-568951,278000,9,
283096,283103,2019-12-19_10-34-07-645154,283107,7,
288204,288212,2019-12-19_10-34-13-712032,288215,8,
293312,293319,2019-12-19_10-34-19-774641,293322,7,
298420,298427,2019-12-19_10-34-25-853584,298430,7,
303528,303534,2019-12-19_10-34-31-934786,303537,6,
308636,308642,2019-12-19_10-34-37-994158,308647,6,
313744,313829,2019-12-19_10-34-44-162271,313834,85,
318852,318881,2019-12-19_10-34-50-163911,318884,29,
323960,323968,2019-12-19_10-34-56-218659,323971,8,
329068,329074,2019-12-19_10-35-02-290331,329078,6,
334176,334183,2019-12-19_10-35-08-348594,334186,7,
339284,339291,2019-12-19_10-35-14-415657,339294,7,
344392,344400,2019-12-19_10-35-20-487104,344403,8,
349500,349507,2019-12-19_10-35-26-545861,349510,7,
354608,354618,2019-12-19_10-35-32-638522,354621,10,
359716,359723,2019-12-19_10-35-38-738027,359726,7,
364824,364845,2019-12-19_10-35-44-814985,364850,21,
369932,370009,2019-12-19_10-35-50-961523,370014,77,
375040,375048,2019-12-19_10-35-56-945879,375051,8,
380148,380310,2019-12-19_10-36-03-163177,380313,162,
385256,385335,2019-12-19_10-36-09-184601,385339,79,
390364,390375,2019-12-19_10-36-15-172867,390378,11,
395472,395478,2019-12-19_10-36-21-256861,395483,6,
400580,400597,2019-12-19_10-36-27-322233,400598,17,
405688,405696,2019-12-19_10-36-33-404880,405699,8,
410796,410813,2019-12-19_10-36-39-475632,410816,17,
415904,415911,2019-12-19_10-36-45-524938,415915,7,
421012,421019,2019-12-19_10-36-51-616650,421022,7,
426120,426125,2019-12-19_10-36-57-681817,426129,5,
431228,431235,2019-12-19_10-37-03-750401,431239,7,
436336,436342,2019-12-19_10-37-09-832060,436347,6,
441444,441521,2019-12-19_10-37-15-975107,441524,77,
446552,446560,2019-12-19_10-37-21-994374,446563,8,
451660,451745,2019-12-19_10-37-28-163708,451749,85,
456768,456827,2019-12-19_10-37-34-204772,456831,59,
461876,461884,2019-12-19_10-37-40-196646,461888,8,
466984,466991,2019-12-19_10-37-46-269045,466994,7,
472092,472100,2019-12-19_10-37-52-341903,472103,8,
477200,477208,2019-12-19_10-37-58-416077,477211,8,
482308,482414,2019-12-19_10-38-04-633514,482486,106,
487416,487422,2019-12-19_10-38-10-585077,487426,6,
492524,492532,2019-12-19_10-38-16-657514,492535,8,
497632,497640,2019-12-19_10-38-22-729202,497643,8,
502740,502746,2019-12-19_10-38-28-806946,502751,6,
507848,507856,2019-12-19_10-38-34-882490,507859,8,
512956,512964,2019-12-19_10-38-40-982153,512967,8,
518064,518137,2019-12-19_10-38-47-131377,518140,73,
523172,523210,2019-12-19_10-38-53-172848,523215,38,
528280,528294,2019-12-19_10-38-59-220928,528297,14,
533388,533394,2019-12-19_10-39-05-282747,533398,6,
538496,538501,2019-12-19_10-39-11-382263,538504,5,
543604,543612,2019-12-19_10-39-17-466016,543615,8,
