EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1576765092.272590,44674.000,7304,3,ER,1,100,1.620593
1576765092.272590,44674.000,7304,3,ER,1,100,1.620795
1576765092.272590,44674.000,7304,3,ER,1,100,1.625709
1576765092.338466,44729.500,7322,2,ER,1,100,1.623574
1576765092.404342,44785.000,7322,2,ER,1,100,1.630503
1576765092.466658,44837.500,7340,2,ER,1,100,1.634128
1576765092.528973,44890.000,7340,2,ER,1,100,1.636143
1576765092.595443,44946.000,7356,2,ER,1,100,1.628368
1576765092.661912,45002.000,7356,2,ER,1,100,1.627804
1576765092.731943,45061.000,7375,1,ER,1,100,1.626434
1576765092.799006,45117.500,7393,2,ER,1,100,1.631873
1576765092.866069,45174.000,7393,2,ER,1,100,1.636022
1576765092.934319,45231.500,7411,2,ER,1,100,1.633605
1576765093.002569,45289.000,7411,2,ER,1,100,1.635216
1576765093.065478,45342.000,7429,2,ER,1,100,1.632638
1576765093.128386,45395.000,7429,2,ER,1,100,1.638640
1576765093.196043,45452.000,7447,2,ER,1,100,1.633605
1576765093.263700,45509.000,7447,2,ER,1,100,1.643273
1576765093.330169,45565.000,7465,1,ER,1,100,1.641782
1576765093.399013,45623.000,7482,2,ER,1,100,1.638318
1576765093.467856,45681.000,7482,2,ER,1,100,1.639124
1576765093.536106,45738.500,7500,2,ER,1,100,1.641782
1576765093.604356,45796.000,7500,2,ER,1,100,1.645327
1576765093.667265,45849.000,7519,2,ER,1,100,1.646777
1576765093.730174,45902.000,7519,2,ER,1,100,1.655760
1576765093.796050,45957.500,7535,2,ER,1,100,1.656647
1576765093.861926,46013.000,7535,2,ER,1,100,1.661883
1576765093.927209,46068.000,7553,1,ER,1,100,1.660715
1576765093.996645,46126.500,7571,2,ER,1,100,1.666919
1576765094.066082,46185.000,7571,2,ER,1,100,1.669900
1576765094.135520,46243.500,7589,2,ER,1,100,1.668611
1576765094.204957,46302.000,7589,2,ER,1,100,1.671431
