EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1576765092.298703,44696.000,7311,10,GX,1,100,-0.092
1576765092.298703,44696.000,7311,10,GX,1,100,-0.275
1576765092.298703,44696.000,7311,10,GX,1,100,-0.122
1576765092.298703,44696.000,7311,10,GX,1,100,-0.122
1576765092.298703,44696.000,7311,10,GX,1,100,0.488
1576765092.298703,44696.000,7311,10,GX,1,100,-0.061
1576765092.298703,44696.000,7311,10,GX,1,100,-0.641
1576765092.298703,44696.000,7311,10,GX,1,100,-0.610
1576765092.298703,44696.000,7311,10,GX,1,100,-0.519
1576765092.298703,44696.000,7311,10,GX,1,100,-0.580
1576765092.336686,44728.000,7329,3,GX,1,100,-0.488
1576765092.374668,44760.000,7329,3,GX,1,100,-0.183
1576765092.412651,44792.000,7329,3,GX,1,100,-0.244
1576765092.453799,44826.667,7345,3,GX,1,100,-0.275
1576765092.494947,44861.333,7345,3,GX,1,100,-0.488
1576765092.536095,44896.000,7345,3,GX,1,100,-0.458
1576765092.576451,44930.000,7363,3,GX,1,100,-0.702
1576765092.616808,44964.000,7363,3,GX,1,100,-0.641
1576765092.657164,44998.000,7363,3,GX,1,100,-0.244
1576765092.698312,45032.667,7382,3,GX,1,100,-0.519
1576765092.739460,45067.333,7382,3,GX,1,100,-0.458
1576765092.780608,45102.000,7382,3,GX,1,100,-0.275
1576765092.821756,45136.667,7400,3,GX,1,100,-0.092
1576765092.862904,45171.333,7400,3,GX,1,100,-0.519
1576765092.904051,45206.000,7400,3,GX,1,100,-0.244
1576765092.943221,45239.000,7418,3,GX,1,100,-0.061
1576765092.982391,45272.000,7418,3,GX,1,100,-0.397
1576765093.021560,45305.000,7418,3,GX,1,100,-0.092
1576765093.059543,45337.000,7436,3,GX,1,100,-0.549
1576765093.097525,45369.000,7436,3,GX,1,100,-0.702
1576765093.135508,45401.000,7436,3,GX,1,100,-0.549
1576765093.179425,45438.000,7454,3,GX,1,100,-0.183
1576765093.223343,45475.000,7454,3,GX,1,100,0.122
1576765093.267260,45512.000,7454,3,GX,1,100,0.061
