RD,TS_received,TS_sent,AK,RoundTrip,
46129,46134,2019-12-19_14-11-50-212690,46137,5,
51237,51244,2019-12-19_14-11-56-252298,51249,7,
56345,56354,2019-12-19_14-12-02-326066,56357,9,
61453,61463,2019-12-19_14-12-08-418398,61467,10,
66561,66727,2019-12-19_14-12-14-649378,66730,166,
71669,71841,2019-12-19_14-12-20-672150,71844,172,
76777,76809,2019-12-19_14-12-26-630107,76812,32,
81885,81892,2019-12-19_14-12-32-689580,81896,7,
86993,87005,2019-12-19_14-12-38-753903,87008,12,
92101,92162,2019-12-19_14-12-44-874977,92166,61,
97209,97215,2019-12-19_14-12-50-886209,97220,6,
102317,102326,2019-12-19_14-12-56-911503,102329,9,
107425,107431,2019-12-19_14-13-03-012820,107434,6,
112533,112541,2019-12-19_14-13-09-072258,112544,8,
117641,117648,2019-12-19_14-13-15-177845,117651,7,
122749,122758,2019-12-19_14-13-21-229540,122761,9,
127857,127865,2019-12-19_14-13-27-265956,127868,8,
132965,132971,2019-12-19_14-13-33-351371,132974,6,
138073,138090,2019-12-19_14-13-39-401111,138093,17,
143181,143188,2019-12-19_14-13-45-472101,143191,7,
148289,148459,2019-12-19_14-13-51-634574,148463,170,
153397,153484,2019-12-19_14-13-57-670671,153487,87,
158505,158514,2019-12-19_14-14-03-642376,158518,9,
163613,163664,2019-12-19_14-14-09-781884,163667,51,
168721,168727,2019-12-19_14-14-15-771509,168730,6,
173829,173920,2019-12-19_14-14-21-927051,173921,91,
178937,178944,2019-12-19_14-14-27-891447,178947,7,
184045,184051,2019-12-19_14-14-33-950008,184056,6,
189153,189161,2019-12-19_14-14-39-997316,189164,8,
194261,194271,2019-12-19_14-14-46-063840,194276,10,
199369,199380,2019-12-19_14-14-52-150105,199385,11,
204477,204483,2019-12-19_14-14-58-213254,204486,6,
209585,209593,2019-12-19_14-15-04-275367,209597,8,
214693,214698,2019-12-19_14-15-10-320801,214701,5,
219801,219809,2019-12-19_14-15-16-371884,219813,8,
224909,224921,2019-12-19_14-15-22-419164,224924,12,
230017,230175,2019-12-19_14-15-28-657049,230178,158,
235125,235298,2019-12-19_14-15-34-721392,235302,173,
240233,240267,2019-12-19_14-15-40-663862,240271,34,
245341,245350,2019-12-19_14-15-46-675376,245353,9,
250449,250457,2019-12-19_14-15-52-723201,250461,8,
255557,255566,2019-12-19_14-15-58-761226,255569,9,
260665,260673,2019-12-19_14-16-04-823198,260676,8,
265773,265779,2019-12-19_14-16-10-902771,265783,6,
270881,270889,2019-12-19_14-16-16-986668,270892,8,
275989,275995,2019-12-19_14-16-23-045754,275999,6,
281097,281104,2019-12-19_14-16-29-065602,281107,7,
286205,286213,2019-12-19_14-16-35-153979,286218,8,
291313,291320,2019-12-19_14-16-41-210057,291323,7,
296421,296426,2019-12-19_14-16-47-276932,296429,5,
301529,301538,2019-12-19_14-16-53-342801,301541,9,
306637,306644,2019-12-19_14-16-59-391097,306648,7,
311745,311753,2019-12-19_14-17-05-459645,311757,8,
316853,317022,2019-12-19_14-17-11-672857,317025,169,
321961,322000,2019-12-19_14-17-17-642894,322003,39,
327069,327093,2019-12-19_14-17-23-660813,327096,24,
332177,332245,2019-12-19_14-17-29-775380,332248,68,
337285,337292,2019-12-19_14-17-35-770474,337295,7,
342393,342399,2019-12-19_14-17-41-864108,342402,6,
347501,347508,2019-12-19_14-17-47-913775,347511,7,
352609,352615,2019-12-19_14-17-53-964350,352620,6,
357717,357724,2019-12-19_14-18-00-031679,357727,7,
362825,362833,2019-12-19_14-18-06-091326,362836,8,
367933,367939,2019-12-19_14-18-12-134151,367942,6,
373041,373048,2019-12-19_14-18-18-195005,373051,7,
378149,378157,2019-12-19_14-18-24-265195,378160,8,
383257,383333,2019-12-19_14-18-30-390089,383337,76,
388365,388390,2019-12-19_14-18-36-369691,388394,25,
393473,393480,2019-12-19_14-18-42-401610,393483,7,
398581,398588,2019-12-19_14-18-48-459973,398591,7,
403689,403882,2019-12-19_14-18-54-712730,403886,193,
408797,408983,2019-12-19_14-19-00-668145,408986,186,
413905,414081,2019-12-19_14-19-06-685415,414084,176,
419013,419099,2019-12-19_14-19-12-654279,419102,86,
424122,424167,2019-12-19_14-19-18-666468,424171,45,
429230,429238,2019-12-19_14-19-24-694581,429241,8,
434338,434344,2019-12-19_14-19-30-771471,434348,6,
439446,439454,2019-12-19_14-19-36-821440,439457,8,
444554,444574,2019-12-19_14-19-42-907936,444577,20,
449662,449670,2019-12-19_14-19-48-959202,449673,8,
454770,454781,2019-12-19_14-19-55-013833,454784,11,
459878,459886,2019-12-19_14-20-01-066174,459890,8,
466231,466239,2019-12-19_14-20-08-641583,466242,8,
471357,471362,2019-12-19_14-20-14-678515,471366,5,
476465,476472,2019-12-19_14-20-20-785108,476476,7,
481573,481580,2019-12-19_14-20-26-834108,481583,7,
486681,486691,2019-12-19_14-20-32-864495,486695,10,
491789,491796,2019-12-19_14-20-38-950566,491799,7,
496897,496908,2019-12-19_14-20-44-982212,496912,11,
502005,502015,2019-12-19_14-20-51-058132,502018,10,
507113,507121,2019-12-19_14-20-57-187873,507124,8,
512221,512228,2019-12-19_14-21-03-268169,512232,7,
517329,517335,2019-12-19_14-21-09-269787,517340,6,
522437,522443,2019-12-19_14-21-15-343891,522446,6,
527545,527553,2019-12-19_14-21-21-407463,527557,8,
532653,532664,2019-12-19_14-21-27-456610,532667,11,
537761,537853,2019-12-19_14-21-33-666078,537857,92,
542869,542884,2019-12-19_14-21-39-605737,542887,15,
547977,547983,2019-12-19_14-21-45-698533,547986,6,
553085,553093,2019-12-19_14-21-51-701483,553096,8,
558193,558201,2019-12-19_14-21-57-794958,558204,8,
