RD,TS_received,TS_sent,AK,RoundTrip,
583657,583665,2019-12-19_14-22-27-980244,583669,8,
588793,588800,2019-12-19_14-22-34-101488,588804,7,
593901,593907,2019-12-19_14-22-40-183094,593911,6,
599009,599015,2019-12-19_14-22-46-271953,599019,6,
604117,604124,2019-12-19_14-22-52-285158,604128,7,
609225,609266,2019-12-19_14-22-58-318431,609269,41,
614333,614341,2019-12-19_14-23-04-275097,614345,8,
619441,619447,2019-12-19_14-23-10-272676,619450,6,
624549,624555,2019-12-19_14-23-16-280369,624559,6,
629657,629663,2019-12-19_14-23-22-301054,629666,6,
634765,634772,2019-12-19_14-23-28-325272,634776,7,
639873,639878,2019-12-19_14-23-34-391069,639881,5,
644981,644995,2019-12-19_14-23-40-394729,644998,14,
650089,650272,2019-12-19_14-23-46-658553,650275,183,
655197,655360,2019-12-19_14-23-52-716962,655364,163,
660305,660343,2019-12-19_14-23-58-688381,660346,38,
665413,665422,2019-12-19_14-24-04-752431,665425,9,
670521,670532,2019-12-19_14-24-10-797645,670535,11,
675629,675661,2019-12-19_14-24-16-839215,675665,32,
680737,680743,2019-12-19_14-24-22-814928,680746,6,
685845,685853,2019-12-19_14-24-28-869079,685857,8,
690953,690988,2019-12-19_14-24-34-999399,690991,35,
696061,696071,2019-12-19_14-24-41-074084,696074,10,
701169,701182,2019-12-19_14-24-47-071235,701185,13,
706277,706294,2019-12-19_14-24-53-114076,706298,17,
711385,711394,2019-12-19_14-24-59-210807,711397,9,
716493,716500,2019-12-19_14-25-05-295071,716503,7,
721601,721606,2019-12-19_14-25-11-316992,721611,5,
726709,726717,2019-12-19_14-25-17-358337,726722,8,
731817,732015,2019-12-19_14-25-23-706853,732018,198,
736925,737000,2019-12-19_14-25-29-655929,737003,75,
742033,742116,2019-12-19_14-25-35-684440,742119,83,
747141,747150,2019-12-19_14-25-41-645039,747153,9,
752249,752257,2019-12-19_14-25-47-772514,752260,8,
757357,757364,2019-12-19_14-25-53-803168,757368,7,
762465,762471,2019-12-19_14-25-59-801233,762476,6,
767573,767578,2019-12-19_14-26-05-866942,767581,5,
772681,772688,2019-12-19_14-26-11-958918,772691,7,
777789,777799,2019-12-19_14-26-17-957937,777802,10,
782897,782904,2019-12-19_14-26-23-970680,782907,7,
788005,788014,2019-12-19_14-26-30-048178,788017,9,
793113,793121,2019-12-19_14-26-36-087625,793125,8,
798221,798228,2019-12-19_14-26-42-175251,798231,7,
803329,803337,2019-12-19_14-26-48-192998,803340,8,
808437,808444,2019-12-19_14-26-54-198062,808447,7,
813545,813563,2019-12-19_14-27-00-215754,813567,18,
818653,818716,2019-12-19_14-27-06-258914,818720,63,
823761,823767,2019-12-19_14-27-12-195299,823770,6,
828869,828947,2019-12-19_14-27-18-302832,828950,78,
833977,833983,2019-12-19_14-27-24-215104,833988,6,
839085,839093,2019-12-19_14-27-30-249824,839096,8,
844193,844199,2019-12-19_14-27-36-255051,844203,6,
849301,849308,2019-12-19_14-27-42-318328,849311,7,
854409,854416,2019-12-19_14-27-48-419679,854419,7,
859517,859685,2019-12-19_14-27-54-604707,859689,168,
864625,864789,2019-12-19_14-28-00-622540,864794,164,
869733,869812,2019-12-19_14-28-06-621688,869816,79,
874841,874849,2019-12-19_14-28-12-615696,874852,8,
879949,880022,2019-12-19_14-28-18-746114,880026,73,
885057,885064,2019-12-19_14-28-24-687192,885067,7,
890165,890173,2019-12-19_14-28-30-678867,890176,8,
895273,895279,2019-12-19_14-28-36-712046,895284,6,
900381,900431,2019-12-19_14-28-42-856028,900435,50,
905489,905497,2019-12-19_14-28-48-915176,905501,8,
910597,910603,2019-12-19_14-28-54-970600,910606,6,
915705,915715,2019-12-19_14-29-00-980280,915719,10,
920813,920820,2019-12-19_14-29-06-994375,920823,7,
925921,925928,2019-12-19_14-29-12-995664,925931,7,
931050,931059,2019-12-19_14-29-19-027647,931063,9,
936158,936165,2019-12-19_14-29-25-052260,936168,7,
941266,941275,2019-12-19_14-29-31-058818,941279,9,
946374,946382,2019-12-19_14-29-37-070563,946386,8,
951482,951490,2019-12-19_14-29-43-076186,951493,8,
956590,956597,2019-12-19_14-29-49-096918,956600,7,
961698,961724,2019-12-19_14-29-55-111825,961729,26,
966806,966815,2019-12-19_14-30-01-139859,966818,9,
972424,972431,2019-12-19_14-30-07-725973,972436,7,
977532,977540,2019-12-19_14-30-13-778891,977543,8,
982640,982647,2019-12-19_14-30-19-919938,982650,7,
987748,987761,2019-12-19_14-30-26-005440,987764,13,
992856,992864,2019-12-19_14-30-32-015942,992867,8,
997964,997971,2019-12-19_14-30-38-009734,997974,7,
1003072,1003080,2019-12-19_14-30-44-023307,1003083,8,
