EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1576779741.525810,578303.000,34480,10,GZ,1,100,0.397
1576779741.525810,578303.000,34480,10,GZ,1,100,0.671
1576779741.525810,578303.000,34480,10,GZ,1,100,1.129
1576779741.525810,578303.000,34480,10,GZ,1,100,-0.092
1576779741.525810,578303.000,34480,10,GZ,1,100,0.793
1576779741.525810,578303.000,34480,10,GZ,1,100,0.671
1576779741.525810,578303.000,34480,10,GZ,1,100,0.061
1576779741.525810,578303.000,34480,10,GZ,1,100,0.397
1576779741.525810,578303.000,34480,10,GZ,1,100,1.099
1576779741.525810,578303.000,34480,10,GZ,1,100,1.038
1576779741.571962,578342.000,34496,2,GZ,1,100,0.305
1576779741.618115,578381.000,34496,2,GZ,1,100,0.092
1576779741.655984,578413.000,34514,4,GZ,1,100,-0.458
1576779741.693852,578445.000,34514,4,GZ,1,100,0.153
1576779741.731721,578477.000,34514,4,GZ,1,100,0.275
1576779741.769590,578509.000,34514,4,GZ,1,100,0.519
1576779741.809037,578542.333,34532,3,GZ,1,100,0.702
1576779741.848483,578575.667,34532,3,GZ,1,100,0.244
1576779741.887930,578609.000,34532,3,GZ,1,100,1.007
1576779741.928560,578643.333,34551,3,GZ,1,100,0.488
1576779741.969190,578677.667,34551,3,GZ,1,100,0.153
1576779742.009820,578712.000,34551,3,GZ,1,100,0.610
1576779742.050844,578746.667,34569,3,GZ,1,100,0.427
1576779742.091869,578781.333,34569,3,GZ,1,100,0.427
1576779742.132893,578816.000,34569,3,GZ,1,100,-0.031
1576779742.179046,578855.000,34587,2,GZ,1,100,0.671
1576779742.225199,578894.000,34587,2,GZ,1,100,0.641
1576779742.263462,578926.333,34605,3,GZ,1,100,-0.183
1576779742.301725,578958.667,34605,3,GZ,1,100,0.244
1576779742.339988,578991.000,34605,3,GZ,1,100,0.366
1576779742.377068,579022.333,34622,3,GZ,1,100,0.031
1576779742.414148,579053.667,34622,3,GZ,1,100,0.214
1576779742.451227,579085.000,34622,3,GZ,1,100,0.793
1576779742.491463,579119.000,34640,3,GZ,1,100,0.427
1576779742.531699,579153.000,34640,3,GZ,1,100,-0.061
