EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1576780502.952933,1221618,15181,4,DC,1,100,ER
1576780502.952933,1221618,15181,4,DC,1,100,EA
1576780502.952933,1221618,15181,4,DC,1,100,ER
1576780502.952933,1221618,15181,4,DC,1,100,EA
1576780503.021648,1221676,15200,2,DC,1,100,ER
1576780503.021648,1221676,15200,2,DC,1,100,EA
1576780503.156709,1221790,15219,4,DC,1,100,ER
1576780503.156709,1221790,15219,4,DC,1,100,EA
1576780503.156709,1221790,15219,4,DC,1,100,ER
1576780503.156709,1221790,15219,4,DC,1,100,EA
1576780503.290585,1221903,15239,4,DC,1,100,ER
1576780503.290585,1221903,15239,4,DC,1,100,EA
1576780503.290585,1221903,15239,4,DC,1,100,ER
1576780503.290585,1221903,15239,4,DC,1,100,EA
1576780503.417352,1222010,15258,4,DC,1,100,ER
1576780503.417352,1222010,15258,4,DC,1,100,EA
1576780503.417352,1222010,15258,4,DC,1,100,ER
1576780503.417352,1222010,15258,4,DC,1,100,EA
1576780503.550043,1222122,15277,4,DC,1,100,ER
1576780503.550043,1222122,15277,4,DC,1,100,EA
1576780503.550043,1222122,15277,4,DC,1,100,ER
1576780503.550043,1222122,15277,4,DC,1,100,EA
1576780503.617574,1222179,15296,2,DC,1,100,ER
1576780503.617574,1222179,15296,2,DC,1,100,EA
1576780503.685104,1222236,15314,2,DC,1,100,ER
1576780503.685104,1222236,15314,2,DC,1,100,EA
1576780504.937377,1223293,15494,2,DC,1,100,ER
1576780504.937377,1223293,15494,2,DC,1,100,EA
1576780505.067699,1223403,15512,4,DC,1,100,ER
1576780505.067699,1223403,15512,4,DC,1,100,EA
1576780505.067699,1223403,15512,4,DC,1,100,ER
1576780505.067699,1223403,15512,4,DC,1,100,EA
1576780505.193282,1223509,15531,4,DC,1,100,ER
1576780505.193282,1223509,15531,4,DC,1,100,EA
1576780505.193282,1223509,15531,4,DC,1,100,ER
1576780505.193282,1223509,15531,4,DC,1,100,EA
1576780505.327158,1223622,15551,4,DC,1,100,ER
1576780505.327158,1223622,15551,4,DC,1,100,EA
1576780505.327158,1223622,15551,4,DC,1,100,ER
1576780505.327158,1223622,15551,4,DC,1,100,EA
1576780505.453925,1223729,15568,4,DC,1,100,ER
1576780505.453925,1223729,15568,4,DC,1,100,EA
1576780505.453925,1223729,15568,4,DC,1,100,ER
1576780505.453925,1223729,15568,4,DC,1,100,EA
1576780505.583062,1223838,15587,4,DC,1,100,ER
1576780505.583062,1223838,15587,4,DC,1,100,EA
1576780505.583062,1223838,15587,4,DC,1,100,ER
1576780505.583062,1223838,15587,4,DC,1,100,EA
1576780506.798609,1224864,15773,2,DC,1,100,ER
1576780506.798609,1224864,15773,2,DC,1,100,EA
1576780506.923007,1224969,15791,4,DC,1,100,ER
1576780506.923007,1224969,15791,4,DC,1,100,EA
1576780506.923007,1224969,15791,4,DC,1,100,ER
1576780506.923007,1224969,15791,4,DC,1,100,EA
1576780507.056882,1225082,15810,4,DC,1,100,ER
1576780507.056882,1225082,15810,4,DC,1,100,EA
1576780507.056882,1225082,15810,4,DC,1,100,ER
1576780507.056882,1225082,15810,4,DC,1,100,EA
1576780507.195497,1225199,15829,4,DC,1,100,ER
1576780507.195497,1225199,15829,4,DC,1,100,EA
1576780507.195497,1225199,15829,4,DC,1,100,ER
1576780507.195497,1225199,15829,4,DC,1,100,EA
1576780507.263028,1225256,15847,2,DC,1,100,ER
1576780507.263028,1225256,15847,2,DC,1,100,EA
1576780507.399273,1225371,15866,4,DC,1,100,ER
1576780507.399273,1225371,15866,4,DC,1,100,EA
1576780507.399273,1225371,15866,4,DC,1,100,ER
1576780507.399273,1225371,15866,4,DC,1,100,EA
1576780507.526041,1225478,15885,4,DC,1,100,ER
1576780507.526041,1225478,15885,4,DC,1,100,EA
1576780507.526041,1225478,15885,4,DC,1,100,ER
1576780507.526041,1225478,15885,4,DC,1,100,EA
1576780768.752369,1445970,54571,2,DC,1,100,ER
1576780768.752369,1445970,54571,2,DC,1,100,EA
1576780778.323907,1454049,55982,2,DC,1,100,ER
1576780778.323907,1454049,55982,2,DC,1,100,EA
1576780778.390253,1454105,56001,2,DC,1,100,ER
1576780778.390253,1454105,56001,2,DC,1,100,EA
1576780787.811328,1462057,57385,2,DC,1,100,ER
1576780787.811328,1462057,57385,2,DC,1,100,EA
1576780788.882335,1462961,57547,2,DC,1,100,ER
1576780788.882335,1462961,57547,2,DC,1,100,EA
1576780789.018581,1463076,57566,2,DC,1,100,ER
1576780789.018581,1463076,57566,2,DC,1,100,EA
1576781057.048888,1689311,31693,4,DC,1,100,ER
1576781057.048888,1689311,31693,4,DC,1,100,EA
1576781057.048888,1689311,31693,4,DC,1,100,ER
1576781057.048888,1689311,31693,4,DC,1,100,EA
1576781057.119972,1689371,31714,2,DC,1,100,ER
1576781057.119972,1689371,31714,2,DC,1,100,EA
1576781088.834355,1716140,36406,2,DC,1,100,ER
1576781088.834355,1716140,36406,2,DC,1,100,EA
