EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.231
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.232
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.235
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.235
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.235
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.227
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.247
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.232
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.230
1576779741.525810,578303.000,34477,10,AZ,1,100,-0.230
1576779741.571962,578342.000,34493,2,AZ,1,100,-0.234
1576779741.618115,578381.000,34493,2,AZ,1,100,-0.240
1576779741.655589,578412.667,34511,3,AZ,1,100,-0.245
1576779741.693063,578444.333,34511,3,AZ,1,100,-0.240
1576779741.730538,578476.000,34511,3,AZ,1,100,-0.243
1576779741.769886,578509.250,34529,4,AZ,1,100,-0.232
1576779741.809234,578542.500,34529,4,AZ,1,100,-0.245
1576779741.848582,578575.750,34529,4,AZ,1,100,-0.241
1576779741.887930,578609.000,34529,4,AZ,1,100,-0.229
1576779741.928560,578643.333,34548,3,AZ,1,100,-0.232
1576779741.969190,578677.667,34548,3,AZ,1,100,-0.242
1576779742.009820,578712.000,34548,3,AZ,1,100,-0.242
1576779742.051239,578747.000,34566,2,AZ,1,100,-0.237
1576779742.092658,578782.000,34566,2,AZ,1,100,-0.253
1576779742.136838,578819.333,34584,3,AZ,1,100,-0.251
1576779742.181018,578856.667,34584,3,AZ,1,100,-0.250
1576779742.225199,578894.000,34584,3,AZ,1,100,-0.237
1576779742.263462,578926.333,34602,3,AZ,1,100,-0.247
1576779742.301725,578958.667,34602,3,AZ,1,100,-0.242
1576779742.339988,578991.000,34602,3,AZ,1,100,-0.238
1576779742.377068,579022.333,34619,3,AZ,1,100,-0.235
1576779742.414148,579053.667,34619,3,AZ,1,100,-0.249
1576779742.451227,579085.000,34619,3,AZ,1,100,-0.222
1576779742.491463,579119.000,34637,3,AZ,1,100,-0.248
1576779742.531699,579153.000,34637,3,AZ,1,100,-0.237
1576779742.571934,579187.000,34637,3,AZ,1,100,-0.239
1576779742.612564,579221.333,34655,3,AZ,1,100,-0.244
1576779742.653194,579255.667,34655,3,AZ,1,100,-0.241
1576779742.693824,579290.000,34655,3,AZ,1,100,-0.222
1576779742.735243,579325.000,34671,3,AZ,1,100,-0.260
1576779742.776662,579360.000,34671,3,AZ,1,100,-0.255
1576779742.818081,579395.000,34671,3,AZ,1,100,-0.240
1576779742.860683,579431.000,34689,3,AZ,1,100,-0.239
1576779742.903286,579467.000,34689,3,AZ,1,100,-0.249
