EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1576781135.648849,1755786,43324,4,DC,1,100,ER
1576781135.648849,1755786,43324,4,DC,1,100,EA
1576781135.648849,1755786,43324,4,DC,1,100,ER
1576781135.648849,1755786,43324,4,DC,1,100,EA
1576781135.785023,1755901,43343,4,DC,1,100,ER
1576781135.785023,1755901,43343,4,DC,1,100,EA
1576781135.785023,1755901,43343,4,DC,1,100,ER
1576781135.785023,1755901,43343,4,DC,1,100,EA
1576781135.845413,1755952,43365,2,DC,1,100,ER
1576781135.845413,1755952,43365,2,DC,1,100,EA
1576781298.879199,1893635,1907,2,DC,1,100,ER
1576781298.879199,1893635,1907,2,DC,1,100,EA
1576781298.940773,1893687,1926,2,DC,1,100,ER
1576781298.940773,1893687,1926,2,DC,1,100,EA
1576781367.889963,1951915,12124,4,DC,1,100,ER
1576781367.889963,1951915,12124,4,DC,1,100,EA
1576781367.889963,1951915,12124,4,DC,1,100,ER
1576781367.889963,1951915,12124,4,DC,1,100,EA
1576781373.244573,1956437,12400,6,DC,1,100,ER
1576781373.244573,1956437,12400,6,DC,1,100,EA
1576781373.244573,1956437,12400,6,DC,1,100,ER
1576781373.244573,1956437,12400,6,DC,1,100,EA
1576781373.244573,1956437,12400,6,DC,1,100,ER
1576781373.244573,1956437,12400,6,DC,1,100,EA
1576781383.213716,1964856,12735,2,DC,1,100,ER
1576781383.213716,1964856,12735,2,DC,1,100,EA
1576781383.280027,1964912,12754,2,DC,1,100,ER
1576781383.280027,1964912,12754,2,DC,1,100,EA
1576781607.450150,2154225,45964,2,DC,1,100,ER
1576781607.450150,2154225,45964,2,DC,1,100,EA
1576781690.282013,2224177,58236,2,DC,1,100,ER
1576781690.282013,2224177,58236,2,DC,1,100,EA
1576781690.477394,2224342,58253,4,DC,1,100,ER
1576781690.477394,2224342,58253,4,DC,1,100,EA
1576781690.477394,2224342,58253,4,DC,1,100,ER
1576781690.477394,2224342,58253,4,DC,1,100,EA
1576781693.069442,2226531,58647,4,DC,1,100,ER
1576781693.069442,2226531,58647,4,DC,1,100,EA
1576781693.069442,2226531,58647,4,DC,1,100,ER
1576781693.069442,2226531,58647,4,DC,1,100,EA
1576781694.601698,2227825,58866,4,DC,1,100,ER
1576781694.601698,2227825,58866,4,DC,1,100,EA
1576781694.601698,2227825,58866,4,DC,1,100,ER
1576781694.601698,2227825,58866,4,DC,1,100,EA
1576781695.927918,2228945,59063,4,DC,1,100,ER
1576781695.927918,2228945,59063,4,DC,1,100,EA
1576781695.927918,2228945,59063,4,DC,1,100,ER
1576781695.927918,2228945,59063,4,DC,1,100,EA
1576781705.155798,2236738,60442,2,DC,1,100,ER
1576781705.155798,2236738,60442,2,DC,1,100,EA
1576781705.290789,2236852,60461,4,DC,1,100,ER
1576781705.290789,2236852,60461,4,DC,1,100,EA
1576781705.290789,2236852,60461,4,DC,1,100,ER
1576781705.290789,2236852,60461,4,DC,1,100,EA
1576781705.417490,2236959,60480,4,DC,1,100,ER
1576781705.417490,2236959,60480,4,DC,1,100,EA
1576781705.417490,2236959,60480,4,DC,1,100,ER
1576781705.417490,2236959,60480,4,DC,1,100,EA
1576781705.553664,2237074,60499,4,DC,1,100,ER
1576781705.553664,2237074,60499,4,DC,1,100,EA
1576781705.553664,2237074,60499,4,DC,1,100,ER
1576781705.553664,2237074,60499,4,DC,1,100,EA
1576781705.687470,2237187,60519,4,DC,1,100,ER
1576781705.687470,2237187,60519,4,DC,1,100,EA
1576781705.687470,2237187,60519,4,DC,1,100,ER
1576781705.687470,2237187,60519,4,DC,1,100,EA
1576781705.758518,2237247,60538,2,DC,1,100,ER
1576781705.758518,2237247,60538,2,DC,1,100,EA
1576781705.828381,2237306,60556,2,DC,1,100,ER
1576781705.828381,2237306,60556,2,DC,1,100,EA
1576781711.914780,2242446,61453,2,DC,1,100,ER
1576781711.914780,2242446,61453,2,DC,1,100,EA
1576781712.048586,2242559,61472,4,DC,1,100,ER
1576781712.048586,2242559,61472,4,DC,1,100,EA
1576781712.048586,2242559,61472,4,DC,1,100,ER
1576781712.048586,2242559,61472,4,DC,1,100,EA
1576781712.119633,2242619,61493,2,DC,1,100,ER
1576781712.119633,2242619,61493,2,DC,1,100,EA
