RD,TS_received,TS_sent,AK,RoundTrip,
106298,106306,2019-11-28_10-04-06-664478,106310,8,
111406,111418,2019-11-28_10-04-12-724517,111422,12,
116514,116520,2019-11-28_10-04-18-765739,116525,6,
121622,121631,2019-11-28_10-04-24-810207,121635,9,
126730,126737,2019-11-28_10-04-30-851273,126740,7,
131838,131850,2019-11-28_10-04-36-934194,131853,12,
136946,137118,2019-11-28_10-04-43-165985,137121,172,
142054,142215,2019-11-28_10-04-49-172403,142219,161,
147162,147174,2019-11-28_10-04-55-135377,147177,12,
152270,152276,2019-11-28_10-05-01-194851,152279,6,
157378,157400,2019-11-28_10-05-07-212796,157403,22,
162486,162509,2019-11-28_10-05-13-316017,162512,23,
167594,167602,2019-11-28_10-05-19-349385,167605,8,
172702,172709,2019-11-28_10-05-25-330348,172712,7,
177829,177834,2019-11-28_10-05-31-381014,177839,5,
182937,182945,2019-11-28_10-05-37-399192,182948,8,
188045,188052,2019-11-28_10-05-43-477394,188055,7,
193153,193163,2019-11-28_10-05-49-616449,193166,10,
198261,198273,2019-11-28_10-05-55-721732,198277,12,
203369,203402,2019-11-28_10-06-01-811689,203405,33,
208477,208485,2019-11-28_10-06-07-819957,208489,8,
213585,213593,2019-11-28_10-06-13-906742,213597,8,
218693,218700,2019-11-28_10-06-19-958400,218705,7,
223801,224047,2019-11-28_10-06-26-269620,224050,246,
228909,229075,2019-11-28_10-06-32-203907,229079,166,
234017,234086,2019-11-28_10-06-38-141028,234091,69,
239125,239190,2019-11-28_10-06-44-179878,239193,65,
244233,244240,2019-11-28_10-06-50-130911,244244,7,
249341,249398,2019-11-28_10-06-56-162607,249402,57,
254449,254477,2019-11-28_10-07-02-154466,254482,28,
259557,259564,2019-11-28_10-07-08-112871,259567,7,
264665,264671,2019-11-28_10-07-14-135838,264675,6,
269773,269780,2019-11-28_10-07-20-154062,269784,7,
274881,274918,2019-11-28_10-07-26-242797,274921,37,
279989,279996,2019-11-28_10-07-32-258194,279999,7,
285097,285105,2019-11-28_10-07-38-367661,285110,8,
290205,290213,2019-11-28_10-07-44-460692,290216,8,
295313,295317,2019-11-28_10-07-50-569562,295321,4,
300421,300432,2019-11-28_10-07-56-574011,300436,11,
305529,305534,2019-11-28_10-08-02-558606,305538,5,
310637,310646,2019-11-28_10-08-08-627257,310649,9,
315745,315754,2019-11-28_10-08-14-656609,315757,9,
320853,320861,2019-11-28_10-08-20-747878,320865,8,
325961,325970,2019-11-28_10-08-26-842161,325973,9,
331069,331078,2019-11-28_10-08-32-847033,331082,9,
336177,336185,2019-11-28_10-08-38-887881,336188,8,
341285,341299,2019-11-28_10-08-44-972474,341304,14,
346393,346402,2019-11-28_10-08-50-949154,346405,9,
351501,351665,2019-11-28_10-08-57-146205,351668,164,
356609,356689,2019-11-28_10-09-03-124657,356692,80,
361717,361789,2019-11-28_10-09-09-175537,361794,72,
366825,366889,2019-11-28_10-09-15-137321,366892,64,
372253,372259,2019-11-28_10-09-21-502912,372262,6,
377361,377370,2019-11-28_10-09-27-517689,377374,9,
382469,382476,2019-11-28_10-09-33-628346,382479,7,
387577,387584,2019-11-28_10-09-39-670138,387588,7,
392685,392708,2019-11-28_10-09-45-813321,392714,23,
397793,397800,2019-11-28_10-09-51-846369,397803,7,
402901,403067,2019-11-28_10-09-57-979637,403070,166,
408009,408175,2019-11-28_10-10-04-164064,408178,166,
413117,413133,2019-11-28_10-10-10-160988,413136,16,
418225,418258,2019-11-28_10-10-16-169215,418261,33,
423333,423338,2019-11-28_10-10-22-272537,423341,5,
428441,428449,2019-11-28_10-10-28-260896,428452,8,
433549,433555,2019-11-28_10-10-34-265453,433558,6,
438657,438697,2019-11-28_10-10-40-299241,438702,40,
443765,443773,2019-11-28_10-10-46-311261,443776,8,
448873,448890,2019-11-28_10-10-52-414884,448893,17,
453981,454031,2019-11-28_10-10-58-486303,454036,50,
459089,459097,2019-11-28_10-11-04-538452,459100,8,
464197,464211,2019-11-28_10-11-10-498819,464216,14,
469305,469313,2019-11-28_10-11-16-571903,469316,8,
474413,474422,2019-11-28_10-11-22-531061,474426,9,
479522,479529,2019-11-28_10-11-28-606283,479532,7,
484630,484637,2019-11-28_10-11-34-563708,484640,7,
489738,489764,2019-11-28_10-11-40-631808,489767,26,
494846,494858,2019-11-28_10-11-46-668329,494861,12,
499954,499964,2019-11-28_10-11-52-718659,499965,10,
505062,505068,2019-11-28_10-11-58-793197,505071,6,
510170,510177,2019-11-28_10-12-04-833991,510180,7,
515278,515285,2019-11-28_10-12-10-926770,515288,7,
520386,520394,2019-11-28_10-12-16-956813,520399,8,
525494,525597,2019-11-28_10-12-23-146403,525662,103,
530602,530639,2019-11-28_10-12-29-123219,530643,37,
535710,535717,2019-11-28_10-12-35-211894,535721,7,
540818,540826,2019-11-28_10-12-41-252335,540829,8,
545926,545931,2019-11-28_10-12-47-358437,545934,5,
551034,551040,2019-11-28_10-12-53-362008,551044,6,
556142,556153,2019-11-28_10-12-59-374619,556156,11,
