RD,TS_received,TS_sent,AK,RoundTrip,
74250,74260,2019-10-30_11-27-04-000,74263,10,
79364,79370,2019-10-30_11-27-10-522,79373,6,
84483,84493,2019-10-30_11-27-17-062,84497,10,
89601,89609,2019-10-30_11-27-23-590,89612,8,
94721,94731,2019-10-30_11-27-30-131,94734,10,
99842,99848,2019-10-30_11-27-36-660,99851,6,
104963,104969,2019-10-30_11-27-43-200,104973,6,
110088,110095,2019-10-30_11-27-49-744,110098,7,
115214,115221,2019-10-30_11-27-56-291,115224,7,
120347,120354,2019-10-30_11-28-02-838,120357,7,
125474,125482,2019-10-30_11-28-09-386,125485,8,
130591,130597,2019-10-30_11-28-15-909,130600,6,
135710,135715,2019-10-30_11-28-22-447,135718,5,
140834,140842,2019-10-30_11-28-28-989,140845,8,
145953,145957,2019-10-30_11-28-35-519,145960,4,
151072,151078,2019-10-30_11-28-42-061,151082,6,
156198,156207,2019-10-30_11-28-48-609,156210,9,
161325,161332,2019-10-30_11-28-55-151,161335,7,
166449,166456,2019-10-30_11-29-01-690,166459,7,
171570,171579,2019-10-30_11-29-08-231,171584,9,
176690,176697,2019-10-30_11-29-14-761,176700,7,
181808,181814,2019-10-30_11-29-21-291,181817,6,
186925,186931,2019-10-30_11-29-27-823,186935,6,
192051,192063,2019-10-30_11-29-34-371,192067,12,
197182,197188,2019-10-30_11-29-40-908,197191,6,
202301,202307,2019-10-30_11-29-47-447,202312,6,
207423,207430,2019-10-30_11-29-53-990,207433,7,
212544,212550,2019-10-30_11-30-00-521,212553,6,
217663,217671,2019-10-30_11-30-07-057,217675,8,
222780,222786,2019-10-30_11-30-13-587,222790,6,
227896,227903,2019-10-30_11-30-20-117,227908,7,
233004,233010,2019-10-30_11-30-26-635,233013,6,
238139,238150,2019-10-30_11-30-33-201,238153,11,
243272,243281,2019-10-30_11-30-39-748,243284,9,
248412,248425,2019-10-30_11-30-46-312,248428,13,
253543,253555,2019-10-30_11-30-52-859,253558,12,
258722,258734,2019-10-30_11-30-59-469,258737,12,
263851,263860,2019-10-30_11-31-06-015,263865,9,
268979,268985,2019-10-30_11-31-12-556,268988,6,
274118,274125,2019-10-30_11-31-19-121,274128,7,
279259,279265,2019-10-30_11-31-25-684,279268,6,
284396,284403,2019-10-30_11-31-32-239,284406,7,
289529,289535,2019-10-30_11-31-38-798,289538,6,
294663,294674,2019-10-30_11-31-45-355,294677,11,
299792,299798,2019-10-30_11-31-51-895,299802,6,
304926,304934,2019-10-30_11-31-58-445,304936,8,
310054,310061,2019-10-30_11-32-04-993,310064,7,
315186,315198,2019-10-30_11-32-11-552,315201,12,
320323,320332,2019-10-30_11-32-18-101,320335,9,
325445,325454,2019-10-30_11-32-24-647,325458,9,
330586,330592,2019-10-30_11-32-31-201,330595,6,
335729,335736,2019-10-30_11-32-37-762,335739,7,
340867,340876,2019-10-30_11-32-44-328,340878,9,
345999,346008,2019-10-30_11-32-50-882,346011,9,
351141,351148,2019-10-30_11-32-57-437,351151,7,
356281,356286,2019-10-30_11-33-03-998,356291,5,
361418,361423,2019-10-30_11-33-10-558,361426,5,
366558,366566,2019-10-30_11-33-17-122,366569,8,
371687,371693,2019-10-30_11-33-23-661,371696,6,
376819,376829,2019-10-30_11-33-30-214,376832,10,
381956,381964,2019-10-30_11-33-36-768,381968,8,
387086,387091,2019-10-30_11-33-43-312,387099,5,
392211,392217,2019-10-30_11-33-49-849,392220,6,
397337,397346,2019-10-30_11-33-56-406,397349,9,
402473,402484,2019-10-30_11-34-02-961,402487,11,
407601,407611,2019-10-30_11-34-09-506,407614,10,
412727,412735,2019-10-30_11-34-16-047,412738,8,
417860,417866,2019-10-30_11-34-22-598,417869,6,
422990,422997,2019-10-30_11-34-29-143,423001,7,
428124,428133,2019-10-30_11-34-35-695,428136,9,
433255,433262,2019-10-30_11-34-42-242,433265,7,
438379,438386,2019-10-30_11-34-48-787,438391,7,
443513,443520,2019-10-30_11-34-55-334,443523,7,
448643,448650,2019-10-30_11-35-01-890,448653,7,
453778,453785,2019-10-30_11-35-08-443,453788,7,
458901,458943,2019-10-30_11-35-14-990,458947,42,
464028,464035,2019-10-30_11-35-21-524,464038,7,
469160,469165,2019-10-30_11-35-28-073,469168,5,
474288,474295,2019-10-30_11-35-34-621,474298,7,
479419,479427,2019-10-30_11-35-41-171,479430,8,
484542,484556,2019-10-30_11-35-47-710,484559,14,
489675,489683,2019-10-30_11-35-54-263,489686,8,
494806,494812,2019-10-30_11-36-00-804,494816,6,
499930,499936,2019-10-30_11-36-07-348,499939,6,
505062,505069,2019-10-30_11-36-13-902,505072,7,
510190,510195,2019-10-30_11-36-20-445,510198,5,
515327,515342,2019-10-30_11-36-27-006,515345,15,
520461,520470,2019-10-30_11-36-33-556,520473,9,
525586,525593,2019-10-30_11-36-40-102,525596,7,
530718,530732,2019-10-30_11-36-46-654,530735,14,
535838,535844,2019-10-30_11-36-53-184,535848,6,
540968,540974,2019-10-30_11-36-59-736,540977,6,
546099,546104,2019-10-30_11-37-06-283,546107,5,
551228,551235,2019-10-30_11-37-12-829,551238,7,
