EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1572449217.611936,69252.000,11596,10,GZ,1,100,2.625
1572449217.611936,69252.000,11596,10,GZ,1,100,29.114
1572449217.611936,69252.000,11596,10,GZ,1,100,43.182
1572449217.611936,69252.000,11596,10,GZ,1,100,60.852
1572449217.611936,69252.000,11596,10,GZ,1,100,62.378
1572449217.611936,69252.000,11596,10,GZ,1,100,70.435
1572449217.611936,69252.000,11596,10,GZ,1,100,71.686
1572449217.611936,69252.000,11596,10,GZ,1,100,74.127
1572449217.611936,69252.000,11596,10,GZ,1,100,69.916
1572449217.611936,69252.000,11596,10,GZ,1,100,61.432
1572449217.628689,69265.125,11615,8,GZ,1,100,57.007
1572449217.645442,69278.250,11615,8,GZ,1,100,49.988
1572449217.662195,69291.375,11615,8,GZ,1,100,45.502
1572449217.678949,69304.500,11615,8,GZ,1,100,31.464
1572449217.695702,69317.625,11615,8,GZ,1,100,21.027
1572449217.712455,69330.750,11615,8,GZ,1,100,19.501
1572449217.729208,69343.875,11615,8,GZ,1,100,19.043
1572449217.745961,69357.000,11615,8,GZ,1,100,14.282
1572449217.762555,69370.000,11633,7,GZ,1,100,9.583
1572449217.779149,69383.000,11633,7,GZ,1,100,0.336
1572449217.795743,69396.000,11633,7,GZ,1,100,-1.587
1572449217.812336,69409.000,11633,7,GZ,1,100,-4.181
1572449217.828930,69422.000,11633,7,GZ,1,100,-14.221
1572449217.845524,69435.000,11633,7,GZ,1,100,-22.522
1572449217.862117,69448.000,11633,7,GZ,1,100,-26.642
1572449217.878870,69461.125,11651,8,GZ,1,100,-38.727
1572449217.895624,69474.250,11651,8,GZ,1,100,-45.135
1572449217.912377,69487.375,11651,8,GZ,1,100,-42.603
1572449217.929130,69500.500,11651,8,GZ,1,100,-39.734
1572449217.945883,69513.625,11651,8,GZ,1,100,-41.870
1572449217.962637,69526.750,11651,8,GZ,1,100,-53.101
1572449217.979390,69539.875,11651,8,GZ,1,100,-53.772
1572449217.996143,69553.000,11651,8,GZ,1,100,-50.934
1572449218.012577,69565.875,11668,8,GZ,1,100,-37.170
1572449218.029011,69578.750,11668,8,GZ,1,100,-18.524
1572449218.045445,69591.625,11668,8,GZ,1,100,-10.895
1572449218.061880,69604.500,11668,8,GZ,1,100,-2.960
1572449218.078314,69617.375,11668,8,GZ,1,100,1.404
1572449218.094748,69630.250,11668,8,GZ,1,100,1.617
1572449218.111182,69643.125,11668,8,GZ,1,100,1.587
1572449218.127616,69656.000,11668,8,GZ,1,100,4.028
1572449218.144939,69669.571,11685,7,GZ,1,100,6.012
1572449218.162262,69683.143,11685,7,GZ,1,100,6.409
1572449218.179585,69696.714,11685,7,GZ,1,100,4.883
1572449218.196908,69710.286,11685,7,GZ,1,100,3.693
1572449218.214231,69723.857,11685,7,GZ,1,100,2.380
1572449218.231555,69737.429,11685,7,GZ,1,100,1.526
1572449218.248878,69751.000,11685,7,GZ,1,100,2.167
1572449218.265312,69763.875,11703,8,GZ,1,100,4.242
1572449218.281746,69776.750,11703,8,GZ,1,100,4.333
1572449218.298180,69789.625,11703,8,GZ,1,100,1.648
1572449218.314614,69802.500,11703,8,GZ,1,100,1.831
1572449218.331048,69815.375,11703,8,GZ,1,100,2.594
1572449218.347482,69828.250,11703,8,GZ,1,100,1.282
