RD,TS_received,TS_sent,AK,RoundTrip,
4171570,4171588,2019-10-30_11-15-12-608,4171591,18,
4176685,4176691,2019-10-30_11-15-19-112,4176694,6,
4181804,4181810,2019-10-30_11-15-25-638,4181813,6,
4186919,4186926,2019-10-30_11-15-32-160,4186929,7,
4192033,4192039,2019-10-30_11-15-38-682,4192042,6,
4197155,4197166,2019-10-30_11-15-45-208,4197167,11,
4202271,4202283,2019-10-30_11-15-51-731,4202286,12,
4207388,4207399,2019-10-30_11-15-58-261,4207402,11,
4212506,4212514,2019-10-30_11-16-04-776,4212517,8,
4217623,4217632,2019-10-30_11-16-11-309,4217635,9,
4222734,4222740,2019-10-30_11-16-17-826,4222743,6,
4227851,4227860,2019-10-30_11-16-24-350,4227863,9,
4232966,4232972,2019-10-30_11-16-30-872,4232977,6,
4238083,4238089,2019-10-30_11-16-37-394,4238093,6,
4243198,4243204,2019-10-30_11-16-43-920,4243207,6,
4248316,4248325,2019-10-30_11-16-50-451,4248328,9,
4253433,4253442,2019-10-30_11-16-56-970,4253445,9,
4258548,4258555,2019-10-30_11-17-03-490,4258559,7,
4263666,4263672,2019-10-30_11-17-10-019,4263675,6,
4268783,4268790,2019-10-30_11-17-16-553,4268793,7,
4273896,4273903,2019-10-30_11-17-23-069,4273906,7,
4279009,4279021,2019-10-30_11-17-29-593,4279024,12,
4284123,4284133,2019-10-30_11-17-36-117,4284136,10,
4289242,4289251,2019-10-30_11-17-42-636,4289254,9,
4294360,4294367,2019-10-30_11-17-49-156,4294370,7,
4299479,4299486,2019-10-30_11-17-55-692,4299489,7,
4304607,4304612,2019-10-30_11-18-02-226,4304615,5,
4309727,4309734,2019-10-30_11-18-08-751,4309738,7,
4314848,4314860,2019-10-30_11-18-15-281,4314863,12,
4319973,4319980,2019-10-30_11-18-21-819,4319983,7,
4325093,4325100,2019-10-30_11-18-28-349,4325103,7,
4330217,4330223,2019-10-30_11-18-34-879,4330227,6,
4335337,4335344,2019-10-30_11-18-41-406,4335347,7,
4340463,4340472,2019-10-30_11-18-47-939,4340477,9,
4345585,4345591,2019-10-30_11-18-54-466,4345595,6,
4350702,4350708,2019-10-30_11-19-00-995,4350711,6,
4355824,4355832,2019-10-30_11-19-07-532,4355835,8,
4360948,4360959,2019-10-30_11-19-14-074,4360963,11,
4366073,4366091,2019-10-30_11-19-20-609,4366094,18,
4371191,4371199,2019-10-30_11-19-27-131,4371202,8,
4376314,4376324,2019-10-30_11-19-33-663,4376327,10,
4381437,4381444,2019-10-30_11-19-40-197,4381448,7,
4386556,4386562,2019-10-30_11-19-46-720,4386565,6,
4391676,4391681,2019-10-30_11-19-53-246,4391685,5,
4396796,4396804,2019-10-30_11-19-59-773,4396807,8,
4401913,4401927,2019-10-30_11-20-06-311,4401930,14,
4407030,4407037,2019-10-30_11-20-12-828,4407040,7,
4412149,4412154,2019-10-30_11-20-19-353,4412157,5,
4417273,4417284,2019-10-30_11-20-25-891,4417287,11,
4422395,4422404,2019-10-30_11-20-32-429,4422407,9,
4427515,4427524,2019-10-30_11-20-38-957,4427527,9,
4432633,4432641,2019-10-30_11-20-45-482,4432642,8,
4437749,4437764,2019-10-30_11-20-52-012,4437767,15,
4443280,4443286,2019-10-30_11-20-59-060,4443290,6,
4448445,4448451,2019-10-30_11-21-05-651,4448456,6,
4453563,4453574,2019-10-30_11-21-12-178,4453577,11,
4458681,4458692,2019-10-30_11-21-18-695,4458695,11,
4463803,4463812,2019-10-30_11-21-25-221,4463816,9,
4468922,4468928,2019-10-30_11-21-31-744,4468932,6,
4474036,4474044,2019-10-30_11-21-38-269,4474047,8,
4479154,4479167,2019-10-30_11-21-44-794,4479170,13,
4484272,4484279,2019-10-30_11-21-51-318,4484282,7,
4489392,4489400,2019-10-30_11-21-57-848,4489403,8,
4494511,4494517,2019-10-30_11-22-04-374,4494520,6,
4499633,4499639,2019-10-30_11-22-10-905,4499642,6,
4504751,4504768,2019-10-30_11-22-17-438,4504778,17,
4509875,4509880,2019-10-30_11-22-23-962,4509884,5,
4514995,4515001,2019-10-30_11-22-30-497,4515004,6,
4520115,4520123,2019-10-30_11-22-37-023,4520126,8,
4525238,4525245,2019-10-30_11-22-43-555,4525248,7,
4530362,4530372,2019-10-30_11-22-50-100,4530375,10,
4535485,4535491,2019-10-30_11-22-56-623,4535494,6,
4540604,4540612,2019-10-30_11-23-03-145,4540615,8,
4545726,4545732,2019-10-30_11-23-09-682,4545737,6,
