EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1572449217.545561,69200.000,11582,2,EA,1,100,0.469462
1572449217.545561,69200.000,11582,2,EA,1,100,0.469334
1572449217.612574,69252.500,11601,2,EA,1,100,0.469557
1572449217.679587,69305.000,11601,2,EA,1,100,0.469388
1572449217.745961,69357.000,11619,2,EA,1,100,0.469315
1572449217.812336,69409.000,11619,2,EA,1,100,0.469261
1572449217.879349,69461.500,11637,2,EA,1,100,0.469100
1572449217.946362,69514.000,11637,2,EA,1,100,0.469227
1572449218.013375,69566.500,11655,2,EA,1,100,0.469138
1572449218.080388,69619.000,11655,2,EA,1,100,0.468985
1572449218.146763,69671.000,11672,2,EA,1,100,0.469297
1572449218.213137,69723.000,11672,2,EA,1,100,0.469227
1572449218.280150,69775.500,11689,2,EA,1,100,0.469267
1572449218.347163,69828.000,11689,2,EA,1,100,0.469124
1572449218.414814,69881.000,11707,2,EA,1,100,0.468876
1572449218.482465,69934.000,11707,2,EA,1,100,0.469140
1572449218.546926,69984.500,11726,2,EA,1,100,0.468963
1572449218.611386,70035.000,11726,2,EA,1,100,0.469062
1572449218.677760,70087.000,11744,2,EA,1,100,0.469229
1572449218.744135,70139.000,11744,2,EA,1,100,0.468868
1572449218.810510,70191.000,11762,2,EA,1,100,0.468961
1572449218.876884,70243.000,11762,2,EA,1,100,0.468894
1572449218.941983,70294.000,11780,2,EA,1,100,0.468975
1572449219.007081,70345.000,11780,2,EA,1,100,0.469120
1572449219.074732,70398.000,11798,1,EA,1,100,0.468955
1572449219.141107,70450.000,11816,2,EA,1,100,0.469247
1572449219.207481,70502.000,11816,2,EA,1,100,0.469182
1572449219.274494,70554.500,11834,2,EA,1,100,0.468907
1572449219.341507,70607.000,11834,2,EA,1,100,0.468812
1572449219.408520,70659.500,11852,2,EA,1,100,0.468830
1572449219.475533,70712.000,11852,2,EA,1,100,0.468610
1572449219.540631,70763.000,11871,2,EA,1,100,0.468367
1572449219.605730,70814.000,11871,2,EA,1,100,0.468355
1572449219.672742,70866.500,11889,2,EA,1,100,0.468389
1572449219.739755,70919.000,11889,2,EA,1,100,0.468320
1572449219.806130,70971.000,11907,2,EA,1,100,0.468524
1572449219.872505,71023.000,11907,2,EA,1,100,0.468377
1572449219.938241,71074.500,11925,2,EA,1,100,0.468185
1572449220.003978,71126.000,11925,2,EA,1,100,0.468044
1572449220.070991,71178.500,11943,2,EA,1,100,0.467980
1572449220.138004,71231.000,11943,2,EA,1,100,0.468204
1572449220.205655,71284.000,11961,2,EA,1,100,0.468075
1572449220.273306,71337.000,11961,2,EA,1,100,0.468143
1572449220.340319,71389.500,11979,2,EA,1,100,0.468357
1572449220.407332,71442.000,11979,2,EA,1,100,0.468278
1572449220.474344,71494.500,11997,2,EA,1,100,0.468153
1572449220.541358,71547.000,11997,2,EA,1,100,0.468355
1572449220.608371,71599.500,12016,2,EA,1,100,0.468159
1572449220.675383,71652.000,12016,2,EA,1,100,0.468040
1572449220.741758,71704.000,12034,2,EA,1,100,0.468115
1572449220.808133,71756.000,12034,2,EA,1,100,0.468085
1572449220.875784,71809.000,12052,1,EA,1,100,0.468097
1572449220.942159,71861.000,12070,2,EA,1,100,0.468079
1572449221.008533,71913.000,12070,2,EA,1,100,0.467851
1572449221.075546,71965.500,12088,2,EA,1,100,0.468044
1572449221.142559,72018.000,12088,2,EA,1,100,0.468266
1572449221.209572,72070.500,12105,2,EA,1,100,0.467863
1572449221.276585,72123.000,12105,2,EA,1,100,0.467702
1572449221.342960,72175.000,12123,2,EA,1,100,0.468044
1572449221.409334,72227.000,12123,2,EA,1,100,0.468202
1572449221.476347,72279.500,12141,2,EA,1,100,0.468121
1572449221.543360,72332.000,12141,2,EA,1,100,0.468397
1572449221.609735,72384.000,12160,2,EA,1,100,0.467752
1572449221.676110,72436.000,12160,2,EA,1,100,0.467477
1572449221.741208,72487.000,12178,2,EA,1,100,0.467511
1572449221.806306,72538.000,12178,2,EA,1,100,0.467549
1572449221.872681,72590.000,12196,2,EA,1,100,0.466826
1572449221.939055,72642.000,12196,2,EA,1,100,0.466071
1572449222.005430,72694.000,12214,2,EA,1,100,0.466343
1572449222.071805,72746.000,12214,2,EA,1,100,0.465954
1572449222.137541,72797.500,12232,2,EA,1,100,0.466381
1572449222.203278,72849.000,12232,2,EA,1,100,0.465031
1572449222.270291,72901.500,12249,2,EA,1,100,0.465261
1572449222.337304,72954.000,12249,2,EA,1,100,0.463970
1572449222.404317,73006.500,12267,2,EA,1,100,0.465352
1572449222.471329,73059.000,12267,2,EA,1,100,0.465285
1572449222.537704,73111.000,12285,2,EA,1,100,0.465374
1572449222.604079,73163.000,12285,2,EA,1,100,0.465978
1572449222.671092,73215.500,12304,2,EA,1,100,0.465773
1572449222.738105,73268.000,12304,2,EA,1,100,0.465740
1572449222.804480,73320.000,12322,2,EA,1,100,0.465922
1572449222.870854,73372.000,12322,2,EA,1,100,0.465599
1572449222.936591,73423.500,12340,2,EA,1,100,0.465734
1572449223.002327,73475.000,12340,2,EA,1,100,0.465940
1572449223.069978,73528.000,12358,1,EA,1,100,0.466240
1572449223.136353,73580.000,12376,2,EA,1,100,0.466199
1572449223.202728,73632.000,12376,2,EA,1,100,0.466486
1572449223.269741,73684.500,12394,2,EA,1,100,0.467299
1572449223.336754,73737.000,12394,2,EA,1,100,0.467144
1572449223.404405,73790.000,12412,2,EA,1,100,0.467215
1572449223.472056,73843.000,12412,2,EA,1,100,0.467112
1572449223.539069,73895.500,12430,2,EA,1,100,0.467785
1572449223.606082,73948.000,12430,2,EA,1,100,0.467904
1572449223.673095,74000.500,12449,2,EA,1,100,0.468234
1572449223.740108,74053.000,12449,2,EA,1,100,0.468391
1572449223.807120,74105.500,12467,2,EA,1,100,0.468496
1572449223.874133,74158.000,12467,2,EA,1,100,0.468399
1572449223.940933,74210.333,12488,3,EA,1,100,0.468641
1572449224.007734,74262.667,12488,3,EA,1,100,0.468917
1572449224.074534,74315.000,12488,3,EA,1,100,0.468802
1572449224.140908,74367.000,12508,2,EA,1,100,0.468802
1572449224.207283,74419.000,12508,2,EA,1,100,0.469092
1572449224.274296,74471.500,12526,2,EA,1,100,0.469152
1572449224.341309,74524.000,12526,2,EA,1,100,0.469070
1572449224.408322,74576.500,12544,2,EA,1,100,0.469454
1572449224.475335,74629.000,12544,2,EA,1,100,0.469414
1572449224.541710,74681.000,12562,2,EA,1,100,0.469251
1572449224.608084,74733.000,12562,2,EA,1,100,0.469495
1572449224.675097,74785.500,12581,2,EA,1,100,0.469263
1572449224.742110,74838.000,12581,2,EA,1,100,0.469273
1572449224.808485,74890.000,12599,2,EA,1,100,0.469380
1572449224.874860,74942.000,12599,2,EA,1,100,0.469638
1572449224.939958,74993.000,12615,2,EA,1,100,0.469700
1572449225.005056,75044.000,12615,2,EA,1,100,0.469680
