EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,H0
1572448506.172508,4166541.000,17700,2,H0,1,100,62.081
1572448506.172508,4166541.000,17700,2,H0,1,100,62.062
1572448506.305121,4166645.000,17717,1,H0,1,100,62.130
1572448506.437734,4166749.000,17736,1,H0,1,100,62.130
1572448506.571622,4166854.000,17754,1,H0,1,100,62.150
1572448506.706784,4166960.000,17772,1,H0,1,100,62.130
1572448506.838122,4167063.000,17790,1,H0,1,100,62.153
1572448506.969460,4167166.000,17808,1,H0,1,100,62.153
1572448507.102072,4167270.000,17842,1,H0,1,100,62.153
1572448507.233410,4167373.000,17860,1,H0,1,100,62.153
1572448507.366023,4167477.000,17879,1,H0,1,100,62.157
1572448507.499911,4167582.000,17897,1,H0,1,100,62.165
1572448507.633798,4167687.000,17915,1,H0,1,100,62.184
1572448507.766411,4167791.000,17933,1,H0,1,100,62.176
1572448507.900299,4167896.000,17951,1,H0,1,100,62.203
1572448508.031637,4167999.000,17969,1,H0,1,100,62.207
1572448508.165524,4168104.000,17987,1,H0,1,100,62.188
1572448508.296862,4168207.000,18005,1,H0,1,100,62.203
1572448508.429475,4168311.000,18024,1,H0,1,100,62.207
1572448508.565913,4168418.000,18042,1,H0,1,100,62.218
1572448508.699801,4168523.000,18060,1,H0,1,100,62.218
1572448508.832413,4168627.000,18078,1,H0,1,100,62.233
1572448508.967577,4168733.000,18096,1,H0,1,100,62.230
1572448509.102739,4168839.000,18114,1,H0,1,100,62.230
1572448509.234077,4168942.000,18132,1,H0,1,100,62.226
1572448509.367965,4169047.000,18151,1,H0,1,100,62.256
1572448509.503128,4169153.000,18169,1,H0,1,100,62.264
1572448509.634465,4169256.000,18187,1,H0,1,100,62.260
1572448509.768353,4169361.000,18205,1,H0,1,100,62.253
1572448509.903516,4169467.000,18222,1,H0,1,100,62.268
1572448510.034854,4169570.000,18240,1,H0,1,100,62.275
1572448510.166191,4169673.000,18258,1,H0,1,100,62.264
1572448510.298804,4169777.000,18276,1,H0,1,100,62.264
1572448510.430142,4169880.000,18295,1,H0,1,100,62.249
1572448510.562754,4169984.000,18313,1,H0,1,100,62.268
1572448510.696642,4170089.000,18331,1,H0,1,100,62.283
1572448510.830530,4170194.000,18349,1,H0,1,100,62.283
1572448510.964418,4170299.000,18367,1,H0,1,100,62.260
1572448511.095756,4170402.000,18401,1,H0,1,100,62.256
1572448511.228368,4170506.000,18419,1,H0,1,100,62.268
1572448511.362256,4170611.000,18438,1,H0,1,100,62.275
1572448511.496144,4170716.000,18456,1,H0,1,100,62.291
1572448511.628757,4170820.000,18474,1,H0,1,100,62.279
1572448511.765195,4170927.000,18492,1,H0,1,100,62.283
1572448511.899083,4171032.000,18510,1,H0,1,100,62.291
1572448512.031695,4171136.000,18528,1,H0,1,100,62.291
1572448512.165583,4171241.000,18546,1,H0,1,100,62.291
1572448512.299471,4171346.000,18564,1,H0,1,100,62.302
1572448512.429533,4171448.000,18583,1,H0,1,100,62.302
1572448512.564059,4171553.500,18604,2,H0,1,100,62.306
1572448512.698584,4171659.000,18604,2,H0,1,100,62.298
1572448512.831197,4171763.000,18624,1,H0,1,100,62.321
1572448512.965085,4171868.000,18642,1,H0,1,100,62.310
1572448513.098973,4171973.000,18660,1,H0,1,100,62.317
1572448513.230310,4172076.000,18678,1,H0,1,100,62.325
1572448513.361648,4172179.000,18696,1,H0,1,100,62.336
1572448513.494261,4172283.000,18715,1,H0,1,100,62.317
1572448513.626873,4172387.000,18732,1,H0,1,100,62.325
1572448513.759486,4172491.000,18767,1,H0,1,100,62.344
1572448513.893374,4172596.000,18785,1,H0,1,100,62.344
1572448514.027262,4172701.000,18803,1,H0,1,100,62.340
1572448514.161150,4172806.000,18821,1,H0,1,100,62.333
1572448514.292487,4172909.000,18839,1,H0,1,100,62.352
1572448514.425100,4173013.000,18858,1,H0,1,100,62.340
1572448514.558988,4173118.000,18876,1,H0,1,100,62.371
1572448514.692876,4173223.000,18894,1,H0,1,100,62.359
1572448514.825489,4173327.000,18912,1,H0,1,100,62.359
1572448514.961926,4173434.000,18930,1,H0,1,100,62.363
1572448515.095814,4173539.000,18948,1,H0,1,100,62.386
1572448515.227152,4173642.000,18966,1,H0,1,100,62.367
1572448515.361040,4173747.000,18984,1,H0,1,100,62.359
1572448515.494928,4173852.000,19003,1,H0,1,100,62.371
1572448515.626265,4173955.000,19021,1,H0,1,100,62.363
1572448515.760153,4174060.000,19039,1,H0,1,100,62.375
1572448515.896591,4174167.000,19057,1,H0,1,100,62.371
1572448516.029204,4174271.000,19075,1,H0,1,100,62.405
1572448516.164367,4174377.000,19093,1,H0,1,100,62.394
1572448516.296980,4174481.000,19110,1,H0,1,100,62.401
1572448516.432142,4174587.000,19128,1,H0,1,100,62.417
1572448516.563480,4174690.000,19147,1,H0,1,100,62.409
1572448516.697368,4174795.000,19165,1,H0,1,100,62.394
1572448516.832531,4174901.000,19183,1,H0,1,100,62.409
1572448516.963869,4175004.000,19201,1,H0,1,100,62.398
1572448517.097756,4175109.000,19219,1,H0,1,100,62.428
1572448517.231644,4175214.000,19253,1,H0,1,100,62.420
1572448517.362982,4175317.000,19271,1,H0,1,100,62.420
1572448517.494319,4175420.000,19290,1,H0,1,100,62.424
1572448517.626932,4175524.000,19308,1,H0,1,100,62.439
1572448517.759545,4175628.000,19326,1,H0,1,100,62.420
1572448517.892158,4175732.000,19344,1,H0,1,100,62.413
1572448518.026046,4175837.000,19362,1,H0,1,100,62.439
1572448518.159933,4175942.000,19380,1,H0,1,100,62.443
1572448518.293821,4176047.000,19398,1,H0,1,100,62.439
1572448518.425159,4176150.000,19416,1,H0,1,100,62.443
1572448518.557771,4176254.000,19435,1,H0,1,100,62.439
1572448518.691659,4176359.000,19453,1,H0,1,100,62.455
1572448518.824272,4176463.000,19471,1,H0,1,100,62.474
1572448518.956885,4176567.000,19489,1,H0,1,100,62.455
1572448519.092048,4176673.000,19510,2,H0,1,100,62.447
1572448519.227211,4176779.000,19510,2,H0,1,100,62.439
1572448519.359823,4176883.000,19530,1,H0,1,100,62.466
1572448519.493711,4176988.000,19548,1,H0,1,100,62.459
1572448519.628874,4177094.000,19567,1,H0,1,100,62.470
1572448519.760212,4177197.000,19585,1,H0,1,100,62.481
1572448519.894100,4177302.000,19619,1,H0,1,100,62.459
1572448520.029263,4177408.000,19637,1,H0,1,100,62.474
1572448520.160600,4177511.000,19655,1,H0,1,100,62.478
1572448520.294488,4177616.000,19673,1,H0,1,100,62.493
1572448520.427101,4177720.000,19691,1,H0,1,100,62.508
1572448520.558439,4177823.000,19710,1,H0,1,100,62.493
1572448520.689776,4177926.000,19728,1,H0,1,100,62.485
1572448520.822389,4178030.000,19746,1,H0,1,100,62.474
1572448520.955002,4178134.000,19764,1,H0,1,100,62.481
1572448521.087614,4178238.000,19782,1,H0,1,100,62.481
1572448521.221502,4178343.000,19800,1,H0,1,100,62.470
1572448521.355390,4178448.000,19818,1,H0,1,100,62.520
1572448521.489278,4178553.000,19836,1,H0,1,100,62.478
1572448521.620615,4178656.000,19855,1,H0,1,100,62.504
1572448521.753228,4178760.000,19873,1,H0,1,100,62.504
1572448521.887116,4178865.000,19891,1,H0,1,100,62.481
1572448522.021004,4178970.000,19909,1,H0,1,100,62.508
1572448522.153617,4179074.000,19927,1,H0,1,100,62.504
1572448522.290055,4179181.000,19945,1,H0,1,100,62.516
1572448522.425218,4179287.000,19963,1,H0,1,100,62.501
1572448522.554005,4179388.000,19981,1,H0,1,100,62.501
1572448522.687893,4179493.000,20000,1,H0,1,100,62.520
1572448522.821781,4179598.000,20018,1,H0,1,100,62.501
1572448522.953118,4179701.000,20035,1,H0,1,100,62.508
1572448523.087006,4179806.000,20053,1,H0,1,100,62.508
1572448523.223444,4179913.000,20071,1,H0,1,100,62.516
1572448523.356057,4180017.000,20089,1,H0,1,100,62.527
1572448523.488670,4180121.000,20107,1,H0,1,100,62.508
1572448523.621282,4180225.000,20125,1,H0,1,100,62.527
1572448523.752620,4180328.000,20144,1,H0,1,100,62.539
1572448523.883958,4180431.000,20162,1,H0,1,100,62.512
1572448524.016570,4180535.000,20196,1,H0,1,100,62.535
1572448524.150458,4180640.000,20214,1,H0,1,100,62.523
1572448524.283071,4180744.000,20232,1,H0,1,100,62.516
1572448524.416959,4180849.000,20250,1,H0,1,100,62.523
1572448524.548296,4180952.000,20269,1,H0,1,100,62.535
1572448524.682184,4181057.000,20287,1,H0,1,100,62.539
1572448524.813522,4181160.000,20305,1,H0,1,100,62.542
1572448524.946135,4181264.000,20323,1,H0,1,100,62.535
1572448525.080022,4181369.000,20341,1,H0,1,100,62.550
1572448525.213910,4181474.000,20359,1,H0,1,100,62.535
1572448525.346523,4181578.000,20377,1,H0,1,100,62.535
1572448525.482961,4181685.000,20395,1,H0,1,100,62.531
1572448525.614299,4181788.000,20417,2,H0,1,100,62.531
1572448525.745636,4181891.000,20417,2,H0,1,100,62.531
1572448525.879524,4181996.000,20437,1,H0,1,100,62.542
1572448526.013412,4182101.000,20455,1,H0,1,100,62.539
1572448526.146025,4182205.000,20473,1,H0,1,100,62.550
1572448526.279912,4182310.000,20491,1,H0,1,100,62.531
1572448526.416351,4182417.000,20509,1,H0,1,100,62.535
1572448526.550238,4182522.000,20543,1,H0,1,100,62.539
1572448526.682851,4182626.000,20562,1,H0,1,100,62.546
1572448526.816739,4182731.000,20580,1,H0,1,100,62.554
1572448526.951902,4182837.000,20598,1,H0,1,100,62.565
1572448527.083240,4182940.000,20616,1,H0,1,100,62.554
1572448527.217127,4183045.000,20634,1,H0,1,100,62.550
1572448527.352290,4183151.000,20652,1,H0,1,100,62.546
1572448527.483628,4183254.000,20670,1,H0,1,100,62.546
1572448527.617516,4183359.000,20689,1,H0,1,100,62.550
1572448527.748853,4183462.000,20707,1,H0,1,100,62.565
1572448527.880191,4183565.000,20725,1,H0,1,100,62.542
1572448528.011528,4183668.000,20743,1,H0,1,100,62.539
1572448528.144141,4183772.000,20761,1,H0,1,100,62.554
1572448528.278029,4183877.000,20779,1,H0,1,100,62.550
1572448528.410642,4183981.000,20797,1,H0,1,100,62.573
1572448528.544530,4184086.000,20815,1,H0,1,100,62.562
1572448528.677142,4184190.000,20834,1,H0,1,100,62.554
1572448528.811030,4184295.000,20852,1,H0,1,100,62.554
1572448528.942368,4184398.000,20870,1,H0,1,100,62.569
1572448529.074980,4184502.000,20888,1,H0,1,100,62.569
1572448529.208869,4184607.000,20906,1,H0,1,100,62.550
1572448529.342756,4184712.000,20924,1,H0,1,100,62.562
1572448529.475369,4184816.000,20942,1,H0,1,100,62.554
1572448529.611807,4184923.000,20959,1,H0,1,100,62.577
1572448529.745695,4185028.000,20978,1,H0,1,100,62.554
1572448529.875757,4185130.000,20996,1,H0,1,100,62.573
1572448530.009645,4185235.000,21014,1,H0,1,100,62.558
1572448530.143533,4185340.000,21032,1,H0,1,100,62.554
1572448530.276146,4185444.000,21050,1,H0,1,100,62.546
1572448530.410034,4185549.000,21084,1,H0,1,100,62.554
1572448530.546472,4185656.000,21102,1,H0,1,100,62.577
1572448530.679085,4185760.000,21121,1,H0,1,100,62.565
1572448530.811697,4185864.000,21139,1,H0,1,100,62.573
1572448530.944310,4185968.000,21157,1,H0,1,100,62.573
1572448531.075648,4186071.000,21175,1,H0,1,100,62.577
1572448531.206985,4186174.000,21193,1,H0,1,100,62.573
1572448531.339598,4186278.000,21211,1,H0,1,100,62.562
1572448531.473486,4186383.000,21229,1,H0,1,100,62.569
1572448531.606098,4186487.000,21247,1,H0,1,100,62.554
1572448531.739986,4186592.000,21266,1,H0,1,100,62.573
1572448531.871324,4186695.000,21284,1,H0,1,100,62.569
1572448532.005212,4186800.000,21302,1,H0,1,100,62.554
1572448532.137187,4186903.500,21323,2,H0,1,100,62.562
1572448532.269162,4187007.000,21323,2,H0,1,100,62.569
1572448532.404325,4187113.000,21343,1,H0,1,100,62.554
1572448532.538213,4187218.000,21361,1,H0,1,100,62.573
1572448532.670826,4187322.000,21379,1,H0,1,100,62.550
1572448532.807264,4187429.000,21398,1,H0,1,100,62.569
1572448532.941152,4187534.000,21432,1,H0,1,100,62.577
1572448533.071214,4187636.000,21450,1,H0,1,100,62.554
