EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1570469558.255241,220280.000,38130,2,RD,1,100,TL
1570469558.255241,220280.000,38130,2,RD,1,100,TU
1570469561.515421,222834.000,39036,2,RD,1,100,TL
1570469564.775602,225388.000,39036,2,RD,1,100,TU
1570469568.035782,227942.000,39941,2,RD,1,100,TL
1570469571.295962,230496.000,39941,2,RD,1,100,TU
1570469574.556780,233050.500,40847,2,RD,1,100,TL
1570469577.817599,235605.000,40847,2,RD,1,100,TU
1570469581.077779,238159.000,41752,2,RD,1,100,TL
1570469584.337959,240713.000,41752,2,RD,1,100,TU
1570469587.598139,243267.000,42658,2,RD,1,100,TL
1570469590.858319,245821.000,42658,2,RD,1,100,TU
1570469594.118499,248375.000,43565,2,RD,1,100,TL
1570469597.378680,250929.000,43565,2,RD,1,100,TU
1570469600.638860,253483.000,44471,2,RD,1,100,TL
1570469603.899040,256037.000,44471,2,RD,1,100,TU
1570469607.159220,258591.000,45380,2,RD,1,100,TL
1570469610.419400,261145.000,45380,2,RD,1,100,TU
1570469613.679580,263699.000,46288,2,RD,1,100,TL
1570469616.939760,266253.000,46288,2,RD,1,100,TU
1570469620.200579,268807.500,47196,2,RD,1,100,TL
1570469623.461397,271362.000,47196,2,RD,1,100,TU
1570469626.721577,273916.000,48103,2,RD,1,100,TL
1570469629.981757,276470.000,48103,2,RD,1,100,TU
1570469633.241937,279024.000,49010,2,RD,1,100,TL
1570469636.502118,281578.000,49010,2,RD,1,100,TU
1570469639.762298,284132.000,49916,2,RD,1,100,TL
1570469643.022478,286686.000,49916,2,RD,1,100,TU
1570469646.283935,289241.000,50821,2,RD,1,100,TL
1570469649.545391,291796.000,50821,2,RD,1,100,TU
1570469652.805571,294350.000,51727,2,RD,1,100,TL
1570469656.065752,296904.000,51727,2,RD,1,100,TU
1570469659.325932,299458.000,52632,2,RD,1,100,TL
1570469662.586112,302012.000,52632,2,RD,1,100,TU
1570469666.088189,304755.500,52985,2,RD,1,100,TL
1570469669.590265,307499.000,52985,2,RD,1,100,TU
1570469672.850446,310053.000,53874,2,RD,1,100,TL
1570469676.110626,312607.000,53874,2,RD,1,100,TU
1570469679.370806,315161.000,54782,2,RD,1,100,TL
1570469682.630986,317715.000,54782,2,RD,1,100,TU
1570469685.891166,320269.000,55689,2,RD,1,100,TL
1570469689.151346,322823.000,55689,2,RD,1,100,TU
1570469692.413441,325378.500,56597,2,RD,1,100,TL
1570469695.675536,327934.000,56597,2,RD,1,100,TU
1570469698.935716,330488.000,57502,2,RD,1,100,TL
1570469702.195896,333042.000,57502,2,RD,1,100,TU
1570469705.456076,335596.000,58407,2,RD,1,100,TL
1570469708.716257,338150.000,58407,2,RD,1,100,TU
1570469711.976437,340704.000,59313,2,RD,1,100,TL
1570469715.236617,343258.000,59313,2,RD,1,100,TU
1570469718.497435,345812.500,60218,2,RD,1,100,TL
1570469721.758254,348367.000,60218,2,RD,1,100,TU
1570469725.018434,350921.000,61124,2,RD,1,100,TL
1570469728.278614,353475.000,61124,2,RD,1,100,TU
1570469731.538794,356029.000,62030,2,RD,1,100,TL
1570469734.798974,358583.000,62030,2,RD,1,100,TU
1570469738.059154,361137.000,62937,2,RD,1,100,TL
1570469741.319335,363691.000,62937,2,RD,1,100,TU
1570469744.579515,366245.000,63844,2,RD,1,100,TL
1570469747.839695,368799.000,63844,2,RD,1,100,TU
1570469751.099875,371353.000,64752,2,RD,1,100,TL
1570469754.360055,373907.000,64752,2,RD,1,100,TU
1570469757.620235,376461.000,125,2,RD,1,100,TL
1570469760.880415,379015.000,125,2,RD,1,100,TU
1570469764.140595,381569.000,1032,2,RD,1,100,TL
1570469767.400775,384123.000,1032,2,RD,1,100,TU
1570469770.660956,386677.000,1940,2,RD,1,100,TL
1570469773.921136,389231.000,1940,2,RD,1,100,TU
1570469777.181316,391785.000,2847,2,RD,1,100,TL
1570469780.441496,394339.000,2847,2,RD,1,100,TU
1570469783.701676,396893.000,3752,2,RD,1,100,TL
1570469786.961856,399447.000,3752,2,RD,1,100,TU
1570469790.222037,402001.000,4658,2,RD,1,100,TL
1570469793.482217,404555.000,4658,2,RD,1,100,TU
1570469796.742397,407109.000,5563,2,RD,1,100,TL
1570469800.002577,409663.000,5563,2,RD,1,100,TU
1570469803.262757,412217.000,6469,2,RD,1,100,TL
1570469806.522937,414771.000,6469,2,RD,1,100,TU
1570469809.785032,417326.500,7374,2,RD,1,100,TL
1570469813.047127,419882.000,7374,2,RD,1,100,TU
1570469816.307307,422436.000,8281,2,RD,1,100,TL
1570469819.567487,424990.000,8281,2,RD,1,100,TU
1570469822.827667,427544.000,9187,2,RD,1,100,TL
1570469826.087847,430098.000,9187,2,RD,1,100,TU
1570469829.348028,432652.000,10093,2,RD,1,100,TL
1570469832.608208,435206.000,10093,2,RD,1,100,TU
1570469835.868388,437760.000,11001,2,RD,1,100,TL
1570469839.128568,440314.000,11001,2,RD,1,100,TU
1570469842.388748,442868.000,11909,2,RD,1,100,TL
1570469845.648928,445422.000,11909,2,RD,1,100,TU
1570469848.910385,447977.000,12817,2,RD,1,100,TL
1570469852.171842,450532.000,12817,2,RD,1,100,TU
1570469855.432022,453086.000,13724,2,RD,1,100,TL
1570469858.692202,455640.000,13724,2,RD,1,100,TU
1570469861.952382,458194.000,14630,2,RD,1,100,TL
1570469865.212562,460748.000,14630,2,RD,1,100,TU
1570469868.472742,463302.000,15537,2,RD,1,100,TL
1570469871.732923,465856.000,15537,2,RD,1,100,TU
