RD,TS_received,TS_sent,AK,RoundTrip,
55850,55860,2019-10-07_13-44-05-969,55864,10,
60958,60967,2019-10-07_13-44-12-484,60970,9,
66066,66086,2019-10-07_13-44-19-007,66089,20,
71174,71188,2019-10-07_13-44-25-531,71191,14,
76282,76291,2019-10-07_13-44-32-046,76294,9,
81390,81400,2019-10-07_13-44-38-567,81404,10,
86499,86505,2019-10-07_13-44-45-088,86508,6,
91607,91613,2019-10-07_13-44-51-609,91616,6,
96716,96722,2019-10-07_13-44-58-125,96725,6,
101824,101831,2019-10-07_13-45-04-647,101834,7,
106933,106944,2019-10-07_13-45-11-172,106948,11,
112042,112051,2019-10-07_13-45-17-685,112055,9,
117152,117159,2019-10-07_13-45-24-211,117163,7,
122260,122273,2019-10-07_13-45-30-729,122278,13,
127368,127387,2019-10-07_13-45-37-252,127390,19,
132478,132484,2019-10-07_13-45-43-772,132487,6,
137587,137596,2019-10-07_13-45-50-301,137615,9,
142695,142701,2019-10-07_13-45-56-817,142704,6,
147803,147814,2019-10-07_13-46-03-339,147817,11,
152915,152922,2019-10-07_13-46-09-860,152925,7,
158023,158031,2019-10-07_13-46-16-378,158035,8,
163131,163136,2019-10-07_13-46-22-898,163139,5,
168239,168253,2019-10-07_13-46-29-420,168256,14,
173347,173354,2019-10-07_13-46-35-940,173357,7,
178455,178460,2019-10-07_13-46-42-464,178463,5,
183563,183569,2019-10-07_13-46-48-982,183572,6,
188674,188680,2019-10-07_13-46-55-508,188683,6,
193783,193790,2019-10-07_13-47-02-027,193793,7,
198894,198907,2019-10-07_13-47-08-554,198910,13,
204002,204008,2019-10-07_13-47-15-071,204012,6,
209110,209115,2019-10-07_13-47-21-590,209118,5,
214218,214224,2019-10-07_13-47-28-111,214227,6,
219334,219347,2019-10-07_13-47-34-644,219351,13,
224442,224450,2019-10-07_13-47-41-162,224453,8,
229550,229562,2019-10-07_13-47-47-687,229567,12,
234658,234667,2019-10-07_13-47-54-200,234671,9,
239769,239779,2019-10-07_13-48-00-730,239782,10,
244877,244882,2019-10-07_13-48-07-243,244885,5,
249987,249995,2019-10-07_13-48-13-764,249998,8,
255095,255100,2019-10-07_13-48-20-281,255103,5,
260203,260214,2019-10-07_13-48-26-815,260217,11,
265311,265330,2019-10-07_13-48-33-327,265340,19,
270424,270433,2019-10-07_13-48-39-850,270436,9,
275534,275543,2019-10-07_13-48-46-379,275547,9,
280642,280655,2019-10-07_13-48-52-895,280658,13,
285752,285762,2019-10-07_13-48-59-421,285765,10,
290860,290866,2019-10-07_13-49-05-929,290869,6,
295968,295976,2019-10-07_13-49-12-451,295980,8,
301076,301083,2019-10-07_13-49-18-970,301086,7,
306184,306189,2019-10-07_13-49-25-486,306192,5,
311303,311313,2019-10-07_13-49-32-026,311316,10,
316416,316422,2019-10-07_13-49-38-553,316425,6,
321527,321533,2019-10-07_13-49-45-073,321536,6,
326640,326647,2019-10-07_13-49-51-596,326650,7,
331751,331758,2019-10-07_13-49-58-120,331761,7,
336861,336872,2019-10-07_13-50-04-651,336875,11,
341974,341992,2019-10-07_13-50-11-172,342001,18,
347086,347093,2019-10-07_13-50-17-687,347097,7,
352197,352203,2019-10-07_13-50-24-217,352206,6,
357309,357318,2019-10-07_13-50-30-745,357321,9,
362422,362432,2019-10-07_13-50-37-269,362435,10,
367538,367547,2019-10-07_13-50-43-800,367550,9,
372649,372655,2019-10-07_13-50-50-326,372658,6,
377759,377780,2019-10-07_13-50-56-856,377784,21,
382876,382883,2019-10-07_13-51-03-373,382886,7,
387988,388000,2019-10-07_13-51-09-901,388003,12,
393098,393104,2019-10-07_13-51-16-422,393107,6,
398219,398232,2019-10-07_13-51-22-968,398234,13,
403336,403347,2019-10-07_13-51-29-499,403350,11,
408447,408453,2019-10-07_13-51-36-019,408455,6,
413564,413575,2019-10-07_13-51-42-554,413580,11,
418674,418681,2019-10-07_13-51-49-070,418684,7,
423793,423799,2019-10-07_13-51-55-606,423802,6,
428910,428916,2019-10-07_13-52-02-135,428919,6,
434029,434042,2019-10-07_13-52-08-677,434046,13,
439148,439153,2019-10-07_13-52-15-201,439156,5,
444264,444271,2019-10-07_13-52-21-734,444274,7,
449383,449389,2019-10-07_13-52-28-266,449392,6,
454505,454513,2019-10-07_13-52-34-801,454516,8,
459620,459628,2019-10-07_13-52-41-337,459632,8,
464733,464739,2019-10-07_13-52-47-858,464742,6,
469852,469860,2019-10-07_13-52-54-393,469863,8,
474964,474969,2019-10-07_13-53-00-916,474972,5,
480076,480083,2019-10-07_13-53-07-439,480086,7,
485190,485196,2019-10-07_13-53-13-969,485199,6,
490300,490306,2019-10-07_13-53-20-491,490309,6,
495417,495431,2019-10-07_13-53-27-031,495434,14,
500531,500537,2019-10-07_13-53-33-552,500540,6,
505644,505652,2019-10-07_13-53-40-075,505655,8,
510764,510778,2019-10-07_13-53-46-620,510781,14,
515876,515886,2019-10-07_13-53-53-135,515889,10,
520990,520995,2019-10-07_13-53-59-660,520998,5,
526098,526105,2019-10-07_13-54-06-177,526108,7,
531216,531224,2019-10-07_13-54-12-714,531226,8,
