EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DO
1570469666.166693,304817,52944,15,DO,1,100,GY
1570469666.166693,304817,52944,15,DO,1,100,GZ
1570469666.166693,304817,52944,15,DO,1,100,GZ
1570469666.166693,304817,52944,15,DO,1,100,MX
1570469666.166693,304817,52944,15,DO,1,100,GZ
1570469666.166693,304817,52944,15,DO,1,100,MX
1570469666.166693,304817,52944,15,DO,1,100,MY
1570469666.166693,304817,52944,15,DO,1,100,MZ
1570469666.166693,304817,52944,15,DO,1,100,MX
1570469666.166693,304817,52944,15,DO,1,100,MY
1570469666.166693,304817,52944,15,DO,1,100,MZ
1570469666.166693,304817,52944,15,DO,1,100,MY
1570469666.166693,304817,52944,15,DO,1,100,MZ
1570469666.166693,304817,52944,15,DO,1,100,MZ
1570469666.166693,304817,52944,15,DO,1,100,MZ
