EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1570470239.560302,50834.000,8221,3,ER,1,100,1.698944
1570470239.560302,50834.000,8221,3,ER,1,100,1.699145
1570470239.560302,50834.000,8221,3,ER,1,100,1.695923
1570470239.627950,50887.000,8239,2,ER,1,100,1.697131
1570470239.695598,50940.000,8239,2,ER,1,100,1.700757
1570470239.761970,50992.000,8257,2,ER,1,100,1.697937
1570470239.828342,51044.000,8257,2,ER,1,100,1.698541
1570470239.894714,51096.000,8275,1,ER,1,100,1.698340
1570470239.961086,51148.000,8293,2,ER,1,100,1.698138
1570470240.027457,51200.000,8293,2,ER,1,100,1.699145
1570470240.093191,51251.500,8311,2,ER,1,100,1.697534
1570470240.158925,51303.000,8311,2,ER,1,100,1.699145
1570470240.225935,51355.500,8329,2,ER,1,100,1.698541
1570470240.292945,51408.000,8329,2,ER,1,100,1.699145
1570470240.360593,51461.000,8348,2,ER,1,100,1.698944
1570470240.428241,51514.000,8348,2,ER,1,100,1.696527
1570470240.495251,51566.500,8366,2,ER,1,100,1.693707
1570470240.562261,51619.000,8366,2,ER,1,100,1.696527
1570470240.629271,51671.500,8384,2,ER,1,100,1.693506
1570470240.696281,51724.000,8384,2,ER,1,100,1.695319
1570470240.762653,51776.000,8402,2,ER,1,100,1.696527
1570470240.829025,51828.000,8402,2,ER,1,100,1.702972
1570470240.894759,51879.500,8420,2,ER,1,100,1.695520
1570470240.960492,51931.000,8420,2,ER,1,100,1.698340
1570470241.026864,51983.000,8438,2,ER,1,100,1.697131
1570470241.093236,52035.000,8438,2,ER,1,100,1.699750
1570470241.158970,52086.500,8456,2,ER,1,100,1.695520
1570470241.224703,52138.000,8456,2,ER,1,100,1.697534
1570470241.290437,52189.500,8474,2,ER,1,100,1.696930
1570470241.356171,52241.000,8474,2,ER,1,100,1.697131
1570470241.423181,52293.500,8493,2,ER,1,100,1.696326
1570470241.490191,52346.000,8493,2,ER,1,100,1.697333
1570470241.557201,52398.500,8511,2,ER,1,100,1.694916
1570470241.624211,52451.000,8511,2,ER,1,100,1.696930
1570470241.690583,52503.000,8529,2,ER,1,100,1.697937
1570470241.756954,52555.000,8529,2,ER,1,100,1.696728
1570470241.823326,52607.000,8547,2,ER,1,100,1.697736
1570470241.889698,52659.000,8547,2,ER,1,100,1.700555
1570470241.956070,52711.000,8565,1,ER,1,100,1.699548
1570470242.022442,52763.000,8583,2,ER,1,100,1.699145
1570470242.088814,52815.000,8583,2,ER,1,100,1.698340
1570470242.155824,52867.500,8601,2,ER,1,100,1.696124
1570470242.222834,52920.000,8601,2,ER,1,100,1.701160
1570470242.288567,52971.500,8619,2,ER,1,100,1.696124
1570470242.354301,53023.000,8619,2,ER,1,100,1.695117
1570470242.421949,53076.000,8637,2,ER,1,100,1.693103
1570470242.489597,53129.000,8637,2,ER,1,100,1.693707
1570470242.557246,53182.000,8655,2,ER,1,100,1.691895
1570470242.624894,53235.000,8655,2,ER,1,100,1.695117
1570470242.691266,53287.000,8673,2,ER,1,100,1.697333
1570470242.757638,53339.000,8673,2,ER,1,100,1.697131
1570470242.825286,53392.000,8691,2,ER,1,100,1.694110
1570470242.892934,53445.000,8691,2,ER,1,100,1.694513
1570470242.959306,53497.000,8709,2,ER,1,100,1.694513
1570470243.025678,53549.000,8709,2,ER,1,100,1.697736
1570470243.091411,53600.500,8726,2,ER,1,100,1.693304
1570470243.157145,53652.000,8726,2,ER,1,100,1.695923
1570470243.224155,53704.500,8744,2,ER,1,100,1.695117
1570470243.291165,53757.000,8744,2,ER,1,100,1.698138
1570470243.357537,53809.000,8762,2,ER,1,100,1.695117
1570470243.423909,53861.000,8762,2,ER,1,100,1.694916
1570470243.490919,53913.500,8780,2,ER,1,100,1.703778
1570470243.557929,53966.000,8780,2,ER,1,100,1.699347
1570470243.624939,54018.500,8798,2,ER,1,100,1.692499
1570470243.691949,54071.000,8798,2,ER,1,100,1.692297
1570470243.759597,54124.000,8816,1,ER,1,100,1.687866
1570470243.827245,54177.000,8834,2,ER,1,100,1.689075
1570470243.894893,54230.000,8834,2,ER,1,100,1.685248
1570470243.960627,54281.500,8852,2,ER,1,100,1.684241
1570470244.026361,54333.000,8852,2,ER,1,100,1.686859
1570470244.092094,54384.500,8870,2,ER,1,100,1.682025
1570470244.157828,54436.000,8870,2,ER,1,100,1.682629
1570470244.224200,54488.000,8888,2,ER,1,100,1.680212
1570470244.290572,54540.000,8888,2,ER,1,100,1.678400
1570470244.356305,54591.500,8907,2,ER,1,100,1.676184
1570470244.422039,54643.000,8907,2,ER,1,100,1.676788
1570470244.488411,54695.000,8925,2,ER,1,100,1.674976
