EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1576863843.733826,41339.000,6804,3,EL,1,100,0.335116
1576863843.733826,41339.000,6804,3,EL,1,100,0.333907
1576863843.733826,41339.000,6804,3,EL,1,100,0.333706
1576863843.797890,41393.000,6822,2,EL,1,100,0.333505
1576863843.861955,41447.000,6822,2,EL,1,100,0.333464
1576863843.930171,41504.500,6838,2,EL,1,100,0.332941
1576863843.998388,41562.000,6838,2,EL,1,100,0.333585
1576863844.066012,41619.000,6856,1,EL,1,100,0.333706
1576863844.135415,41677.500,6874,2,EL,1,100,0.334069
1576863844.204818,41736.000,6874,2,EL,1,100,0.334753
1576863844.270662,41791.500,6893,2,EL,1,100,0.335962
1576863844.336506,41847.000,6893,2,EL,1,100,0.335519
1576863844.399977,41900.500,6911,2,EL,1,100,0.334874
1576863844.463448,41954.000,6911,2,EL,1,100,0.333303
1576863844.529885,42010.000,6929,2,EL,1,100,0.332900
1576863844.596322,42066.000,6929,2,EL,1,100,0.333102
1576863844.662759,42122.000,6947,1,EL,1,100,0.331934
1576863844.732162,42180.500,6964,2,EL,1,100,0.331088
1576863844.801565,42239.000,6964,2,EL,1,100,0.330564
1576863844.869189,42296.000,6982,2,EL,1,100,0.329919
1576863844.936812,42353.000,6982,2,EL,1,100,0.329154
1576863844.999690,42406.000,6998,2,EL,1,100,0.328751
1576863845.062568,42459.000,6998,2,EL,1,100,0.327946
1576863845.128412,42514.500,7016,2,EL,1,100,0.327583
1576863845.194256,42570.000,7016,2,EL,1,100,0.326898
1576863845.259507,42625.000,7035,1,EL,1,100,0.326173
1576863845.328910,42683.500,7053,2,EL,1,100,0.326093
1576863845.398313,42742.000,7053,2,EL,1,100,0.325972
1576863845.466529,42799.500,7071,2,EL,1,100,0.325488
1576863845.534746,42857.000,7071,2,EL,1,100,0.324239
1576863845.599997,42912.000,7089,2,EL,1,100,0.324602
1576863845.665247,42967.000,7089,2,EL,1,100,0.323756
1576863845.729312,43021.000,7107,2,EL,1,100,0.323313
1576863845.793376,43075.000,7107,2,EL,1,100,0.322467
1576863845.861000,43132.000,7125,1,EL,1,100,0.322467
1576863845.929216,43189.500,7142,2,EL,1,100,0.322749
1576863845.997433,43247.000,7142,2,EL,1,100,0.321702
1576863846.065056,43304.000,7160,2,EL,1,100,0.321984
1576863846.132680,43361.000,7160,2,EL,1,100,0.321259
1576863846.197931,43416.000,7176,2,EL,1,100,0.321017
1576863846.263181,43471.000,7176,2,EL,1,100,0.320453
1576863846.326652,43524.500,7195,2,EL,1,100,0.319647
1576863846.390124,43578.000,7195,2,EL,1,100,0.318680
1576863846.460120,43637.000,7213,1,EL,1,100,0.318358
1576863846.530116,43696.000,7231,2,EL,1,100,0.317794
1576863846.600112,43755.000,7231,2,EL,1,100,0.318076
1576863846.666549,43811.000,7249,2,EL,1,100,0.319406
1576863846.732986,43867.000,7249,2,EL,1,100,0.319889
1576863846.799423,43923.000,7267,2,EL,1,100,0.320372
1576863846.865861,43979.000,7267,2,EL,1,100,0.320372
1576863846.929925,44033.000,7285,2,EL,1,100,0.320815
1576863846.993989,44087.000,7285,2,EL,1,100,0.320977
1576863847.059240,44142.000,7303,1,EL,1,100,0.321097
1576863847.129236,44201.000,7320,2,EL,1,100,0.320614
1576863847.199232,44260.000,7320,2,EL,1,100,0.319567
