EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1576864522.242470,51475.000,8495,12,AY,1,100,-0.020
1576864522.242470,51475.000,8495,12,AY,1,100,-0.035
1576864522.242470,51475.000,8495,12,AY,1,100,-0.038
1576864522.242470,51475.000,8495,12,AY,1,100,-0.058
1576864522.242470,51475.000,8495,12,AY,1,100,0.008
1576864522.242470,51475.000,8495,12,AY,1,100,0.008
1576864522.242470,51475.000,8495,12,AY,1,100,0.017
1576864522.242470,51475.000,8495,12,AY,1,100,0.029
1576864522.242470,51475.000,8495,12,AY,1,100,0.030
1576864522.242470,51475.000,8495,12,AY,1,100,-0.011
1576864522.242470,51475.000,8495,12,AY,1,100,-0.021
1576864522.242470,51475.000,8495,12,AY,1,100,-0.004
1576864522.283534,51509.500,8513,2,AY,1,100,-0.081
1576864522.324598,51544.000,8513,2,AY,1,100,-0.077
1576864522.366257,51579.000,8531,3,AY,1,100,-0.052
1576864522.407917,51614.000,8531,3,AY,1,100,-0.032
1576864522.449576,51649.000,8531,3,AY,1,100,-0.010
1576864522.488855,51682.000,8549,3,AY,1,100,-0.049
1576864522.528134,51715.000,8549,3,AY,1,100,0.008
1576864522.567413,51748.000,8549,3,AY,1,100,-0.034
1576864522.605799,51780.250,8568,4,AY,1,100,-0.045
1576864522.644185,51812.500,8568,4,AY,1,100,-0.024
1576864522.682571,51844.750,8568,4,AY,1,100,-0.059
1576864522.720958,51877.000,8568,4,AY,1,100,-0.041
1576864522.761427,51911.000,8585,3,AY,1,100,-0.022
1576864522.801896,51945.000,8585,3,AY,1,100,-0.080
1576864522.842365,51979.000,8585,3,AY,1,100,-0.077
1576864522.883628,52013.667,8603,3,AY,1,100,-0.099
1576864522.924890,52048.333,8603,3,AY,1,100,-0.075
1576864522.966153,52083.000,8603,3,AY,1,100,-0.030
1576864523.012573,52122.000,8619,2,AY,1,100,-0.063
1576864523.058994,52161.000,8619,2,AY,1,100,-0.032
1576864523.098273,52194.000,8637,3,AY,1,100,-0.038
1576864523.137552,52227.000,8637,3,AY,1,100,-0.024
1576864523.176831,52260.000,8637,3,AY,1,100,-0.013
1576864523.214522,52291.667,8655,3,AY,1,100,-0.010
1576864523.252214,52323.333,8655,3,AY,1,100,0.005
1576864523.289906,52355.000,8655,3,AY,1,100,-0.023
1576864523.330375,52389.000,8673,3,AY,1,100,-0.027
1576864523.370844,52423.000,8673,3,AY,1,100,-0.037
1576864523.411313,52457.000,8673,3,AY,1,100,-0.032
1576864523.452179,52491.333,8691,3,AY,1,100,-0.018
1576864523.493045,52525.667,8691,3,AY,1,100,-0.008
1576864523.533911,52560.000,8691,3,AY,1,100,-0.031
1576864523.574380,52594.000,8709,3,AY,1,100,-0.028
1576864523.614849,52628.000,8709,3,AY,1,100,-0.039
1576864523.655318,52662.000,8709,3,AY,1,100,-0.037
1576864523.695391,52695.667,8728,3,AY,1,100,-0.029
1576864523.735463,52729.333,8728,3,AY,1,100,-0.039
1576864523.775536,52763.000,8728,3,AY,1,100,-0.029
1576864523.816005,52797.000,8746,3,AY,1,100,-0.022
1576864523.856474,52831.000,8746,3,AY,1,100,-0.012
1576864523.896943,52865.000,8746,3,AY,1,100,-0.019
1576864523.936222,52898.000,8764,3,AY,1,100,-0.013
1576864523.975501,52931.000,8764,3,AY,1,100,-0.026
1576864524.014780,52964.000,8764,3,AY,1,100,-0.021
1576864524.056042,52998.667,8781,3,AY,1,100,-0.029
1576864524.097305,53033.333,8781,3,AY,1,100,-0.032
1576864524.138567,53068.000,8781,3,AY,1,100,-0.041
1576864524.180227,53103.000,8799,3,AY,1,100,-0.019
1576864524.221886,53138.000,8799,3,AY,1,100,-0.029
1576864524.263546,53173.000,8799,3,AY,1,100,-0.023
1576864524.304808,53207.667,8815,3,AY,1,100,-0.036
1576864524.346071,53242.333,8815,3,AY,1,100,-0.044
1576864524.387334,53277.000,8815,3,AY,1,100,-0.019
1576864524.425025,53308.667,8833,3,AY,1,100,-0.021
1576864524.462717,53340.333,8833,3,AY,1,100,-0.024
1576864524.500409,53372.000,8833,3,AY,1,100,-0.027
1576864524.538895,53404.333,8851,3,AY,1,100,-0.025
1576864524.577380,53436.667,8851,3,AY,1,100,-0.021
