EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1576863843.637730,41258.000,6799,2,AK,1,100,3642
1576863843.637730,41258.000,6799,2,AK,1,100,RB
1576863846.673668,43817.000,7693,2,AK,1,100,7691
1576863849.709605,46376.000,7693,2,AK,1,100,RD
1576863849.808075,46459.000,7713,2,AK,1,100,7691
1576863849.906544,46542.000,7713,2,AK,1,100,RD
1576863852.841640,49016.000,8589,2,AK,1,100,8587
1576863855.776736,51490.000,8589,2,AK,1,100,RD
1576863855.864527,51564.000,8609,2,AK,1,100,8587
1576863855.952319,51638.000,8609,2,AK,1,100,RD
1576863858.890381,54114.500,9487,2,AK,1,100,9485
1576863861.828443,56591.000,9487,2,AK,1,100,RD
1576863861.972588,56712.500,9525,2,AK,1,100,9485
1576863862.116733,56834.000,9525,2,AK,1,100,RD
1576863865.003780,59267.500,10383,2,AK,1,100,10381
1576863867.890828,61701.000,10383,2,AK,1,100,RD
1576863867.988111,61783.000,10403,2,AK,1,100,10381
1576863868.085394,61865.000,10403,2,AK,1,100,RD
1576863871.113620,64417.500,11299,2,AK,1,100,11279
1576863874.141846,66970.000,11299,2,AK,1,100,RD
1576863874.155490,66981.500,11301,2,AK,1,100,11279
1576863874.169133,66993.000,11301,2,AK,1,100,RD
1576863877.134482,69492.500,12177,2,AK,1,100,12175
1576863880.099830,71992.000,12177,2,AK,1,100,RD
1576863880.150844,72035.000,12197,2,AK,1,100,12175
1576863880.201859,72078.000,12197,2,AK,1,100,RD
1576863883.167800,74578.000,13074,2,AK,1,100,13072
1576863886.133742,77078.000,13074,2,AK,1,100,RD
1576863886.200179,77134.000,13095,2,AK,1,100,13072
1576863886.266616,77190.000,13095,2,AK,1,100,RD
1576863889.200526,79663.000,13970,2,AK,1,100,13968
1576863892.134435,82136.000,13970,2,AK,1,100,RD
1576863892.230531,82217.000,13991,2,AK,1,100,13968
1576863892.326628,82298.000,13991,2,AK,1,100,RD
1576863895.257571,84768.500,14867,2,AK,1,100,14865
1576863898.188515,87239.000,14867,2,AK,1,100,RD
1576863898.285205,87320.500,14887,2,AK,1,100,14865
1576863898.381894,87402.000,14887,2,AK,1,100,RD
1576863901.315211,89874.500,15763,2,AK,1,100,15761
1576863904.248527,92347.000,15763,2,AK,1,100,RD
1576863904.396824,92472.000,15801,2,AK,1,100,15761
1576863904.545121,92597.000,15801,2,AK,1,100,RD
1576863907.475471,95067.000,16659,2,AK,1,100,16657
1576863910.405822,97537.000,16659,2,AK,1,100,RD
1576863910.452684,97576.500,16679,2,AK,1,100,16657
1576863910.499546,97616.000,16679,2,AK,1,100,RD
1576863913.435235,100090.500,17555,2,AK,1,100,17553
1576863916.370924,102565.000,17555,2,AK,1,100,RD
1576863916.522187,102692.500,17592,2,AK,1,100,17553
1576863916.673450,102820.000,17592,2,AK,1,100,RD
1576863919.553379,105247.500,18450,2,AK,1,100,18448
1576863922.433309,107675.000,18450,2,AK,1,100,RD
1576863922.529998,107756.500,18470,2,AK,1,100,18448
1576863922.626688,107838.000,18470,2,AK,1,100,RD
1576863925.558225,110309.000,19346,2,AK,1,100,19344
1576863928.489761,112780.000,19346,2,AK,1,100,RD
1576863928.587044,112862.000,19366,2,AK,1,100,19344
1576863928.684327,112944.000,19366,2,AK,1,100,RD
