EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1576864522.209142,51447.000,8487,4,PG,1,100,16740
1576864522.209142,51447.000,8487,4,PG,1,100,16693
1576864522.209142,51447.000,8487,4,PG,1,100,16702
1576864522.209142,51447.000,8487,4,PG,1,100,16710
1576864522.250405,51481.667,8505,3,PG,1,100,16697
1576864522.291667,51516.333,8505,3,PG,1,100,16706
1576864522.332930,51551.000,8505,3,PG,1,100,16729
1576864522.374589,51586.000,8523,3,PG,1,100,16737
1576864522.416249,51621.000,8523,3,PG,1,100,16759
1576864522.457908,51656.000,8523,3,PG,1,100,16788
1576864522.497187,51689.000,8541,3,PG,1,100,16776
1576864522.536466,51722.000,8541,3,PG,1,100,16781
1576864522.575745,51755.000,8541,3,PG,1,100,16782
1576864522.613833,51787.000,8560,3,PG,1,100,16790
1576864522.651922,51819.000,8560,3,PG,1,100,16799
1576864522.690011,51851.000,8560,3,PG,1,100,16799
1576864522.729686,51884.333,8578,3,PG,1,100,16815
1576864522.769362,51917.667,8578,3,PG,1,100,16786
1576864522.809037,51951.000,8578,3,PG,1,100,16747
1576864522.850300,51985.667,8595,3,PG,1,100,16718
1576864522.891563,52020.333,8595,3,PG,1,100,16688
1576864522.932825,52055.000,8595,3,PG,1,100,16680
1576864522.974882,52090.333,8613,3,PG,1,100,16667
1576864523.016938,52125.667,8613,3,PG,1,100,16653
1576864523.058994,52161.000,8613,3,PG,1,100,16659
1576864523.098273,52194.000,8629,3,PG,1,100,16644
1576864523.137552,52227.000,8629,3,PG,1,100,16676
1576864523.176831,52260.000,8629,3,PG,1,100,16706
1576864523.214522,52291.667,8647,3,PG,1,100,16702
1576864523.252214,52323.333,8647,3,PG,1,100,16738
1576864523.289906,52355.000,8647,3,PG,1,100,16723
1576864523.330375,52389.000,8665,3,PG,1,100,16680
1576864523.370844,52423.000,8665,3,PG,1,100,16666
1576864523.411313,52457.000,8665,3,PG,1,100,16660
1576864523.452179,52491.333,8683,3,PG,1,100,16726
1576864523.493045,52525.667,8683,3,PG,1,100,16755
1576864523.533911,52560.000,8683,3,PG,1,100,16770
1576864523.574380,52594.000,8701,3,PG,1,100,16810
1576864523.614849,52628.000,8701,3,PG,1,100,16760
1576864523.655318,52662.000,8701,3,PG,1,100,16750
1576864523.695391,52695.667,8720,3,PG,1,100,16752
1576864523.735463,52729.333,8720,3,PG,1,100,16757
1576864523.775536,52763.000,8720,3,PG,1,100,16763
1576864523.812831,52794.333,8738,3,PG,1,100,16741
1576864523.850126,52825.667,8738,3,PG,1,100,16717
1576864523.887421,52857.000,8738,3,PG,1,100,16687
1576864523.927096,52890.333,8756,3,PG,1,100,16660
1576864523.966772,52923.667,8756,3,PG,1,100,16655
1576864524.006448,52957.000,8756,3,PG,1,100,16646
1576864524.046917,52991.000,8774,3,PG,1,100,16636
1576864524.087386,53025.000,8774,3,PG,1,100,16640
1576864524.127855,53059.000,8774,3,PG,1,100,16637
1576864524.169514,53094.000,8791,3,PG,1,100,16640
1576864524.211174,53129.000,8791,3,PG,1,100,16629
1576864524.252833,53164.000,8791,3,PG,1,100,16665
1576864524.294493,53199.000,8809,3,PG,1,100,16676
1576864524.336152,53234.000,8809,3,PG,1,100,16687
1576864524.377811,53269.000,8809,3,PG,1,100,16683
1576864524.415503,53300.667,8825,3,PG,1,100,16690
1576864524.453195,53332.333,8825,3,PG,1,100,16681
1576864524.490887,53364.000,8825,3,PG,1,100,16685
