EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1574714561.744636,176540.000,30456,1,TL,1,100,2019-11-25_16-42-41-732709
1574714561.900474,176671.000,30476,1,TL,1,100,2019-11-25_16-42-41-871194
1574714567.786647,181619.000,31352,1,TL,1,100,2019-11-25_16-42-47-782905
1574714567.980552,181782.000,31372,1,TL,1,100,2019-11-25_16-42-47-957633
1574714573.859587,186724.000,32248,1,TL,1,100,2019-11-25_16-42-53-868127
1574714574.052304,186886.000,32268,1,TL,1,100,2019-11-25_16-42-54-063824
1574714579.982492,191871.000,33144,1,TL,1,100,2019-11-25_16-42-59-965788
1574714580.124055,191990.000,33164,1,TL,1,100,2019-11-25_16-43-00-100444
1574714586.011417,196939.000,34040,1,TL,1,100,2019-11-25_16-43-06-008917
1574714586.204134,197101.000,34060,1,TL,1,100,2019-11-25_16-43-06-170945
1574714592.095064,202053.000,34936,1,TL,1,100,2019-11-25_16-43-12-087316
1574714592.423396,202329.000,34974,1,TL,1,100,2019-11-25_16-43-12-417725
1574714598.168005,207158.000,35832,1,TL,1,100,2019-11-25_16-43-18-171226
1574714598.455890,207400.000,35870,1,TL,1,100,2019-11-25_16-43-18-430121
1574714604.662067,212617.000,36783,1,TL,1,100,2019-11-25_16-43-24-561255
1574714604.670394,212624.000,36785,1,TL,1,100,2019-11-25_16-43-24-606499
1574714610.512551,217535.000,37643,1,TL,1,100,2019-11-25_16-43-30-424304
1574714610.519689,217541.000,37645,1,TL,1,100,2019-11-25_16-43-30-473148
1574714616.451066,222527.000,38520,1,TL,1,100,2019-11-25_16-43-36-418730
1574714616.585492,222640.000,38541,1,TL,1,100,2019-11-25_16-43-36-531112
1574714622.474044,227590.000,39417,1,TL,1,100,2019-11-25_16-43-42-447600
1574714622.671519,227756.000,39437,1,TL,1,100,2019-11-25_16-43-42-625105
1574714628.552933,232700.000,40313,1,TL,1,100,2019-11-25_16-43-48-526404
1574714628.739701,232857.000,40333,1,TL,1,100,2019-11-25_16-43-48-685157
1574714634.628253,237807.000,41211,1,TL,1,100,2019-11-25_16-43-54-597697
1574714634.823348,237971.000,41231,1,TL,1,100,2019-11-25_16-43-54-769464
1574714640.739261,242944.000,42107,1,TL,1,100,2019-11-25_16-44-00-683243
1574714640.901047,243080.000,42127,1,TL,1,100,2019-11-25_16-44-00-829797
1574714646.791979,248032.000,43003,1,TL,1,100,2019-11-25_16-44-06-762777
1574714646.973988,248185.000,43023,1,TL,1,100,2019-11-25_16-44-06-921223
1574714652.867299,253139.000,43899,1,TL,1,100,2019-11-25_16-44-12-827285
1574714653.188492,253409.000,43937,1,TL,1,100,2019-11-25_16-44-12-990395
1574714658.934291,258239.000,44795,1,TL,1,100,2019-11-25_16-44-18-882061
1574714659.115112,258391.000,44815,1,TL,1,100,2019-11-25_16-44-19-044187
1574714665.009612,263346.000,45691,1,TL,1,100,2019-11-25_16-44-24-953503
1574714665.298686,263589.000,45729,1,TL,1,100,2019-11-25_16-44-25-211318
1574714671.084932,268453.000,46588,1,TL,1,100,2019-11-25_16-44-31-050394
1574714671.274079,268612.000,46608,1,TL,1,100,2019-11-25_16-44-31-212300
1574714677.550442,273888.000,47006,1,TL,1,100,2019-11-25_16-44-37-509976
