RD,TS_received,TS_sent,AK,RoundTrip,
81974,81981,2019-11-25_16-28-49-693751,81985,7,
87082,87090,2019-11-25_16-28-55-759795,87093,8,
92190,92199,2019-11-25_16-29-01-838109,92203,9,
97298,97309,2019-11-25_16-29-07-902766,97313,11,
102406,102412,2019-11-25_16-29-13-994467,102415,6,
107514,107522,2019-11-25_16-29-20-078253,107525,8,
112622,112635,2019-11-25_16-29-26-156689,112638,13,
117730,118184,2019-11-25_16-29-32-272930,118187,454,
122838,122932,2019-11-25_16-29-38-415711,122935,94,
127946,128029,2019-11-25_16-29-44-469532,128034,83,
133054,133062,2019-11-25_16-29-50-456944,133068,8,
138162,138216,2019-11-25_16-29-56-570301,138219,54,
143270,143275,2019-11-25_16-30-02-581329,143279,5,
148378,148385,2019-11-25_16-30-08-669421,148388,7,
153486,153655,2019-11-25_16-30-14-905809,153658,169,
158594,158641,-158594,
163702,163711,2019-11-25_16-30-26-865570,163714,9,
168811,168851,2019-11-25_16-30-32-989783,168854,40,
173919,173926,2019-11-25_16-30-39-012816,173929,7,
179027,179035,2019-11-25_16-30-45-099420,179039,8,
184135,184147,2019-11-25_16-30-51-152593,184150,12,
189243,189250,2019-11-25_16-30-57-213020,189253,7,
194351,194511,2019-11-25_16-31-03-411837,194514,160,
199459,199544,2019-11-25_16-31-09-426356,199547,85,
204567,204576,2019-11-25_16-31-15-433526,204579,9,
209675,209682,2019-11-25_16-31-21-500995,209685,7,
214783,214797,2019-11-25_16-31-27-556756,214801,14,
219891,220149,2019-11-25_16-31-33-864180,220150,258,
224999,225011,2019-11-25_16-31-39-710933,225015,12,
230107,230117,2019-11-25_16-31-45-768197,230120,10,
235215,235223,2019-11-25_16-31-51-827718,235226,8,
240323,240332,2019-11-25_16-31-57-927599,240335,9,
245431,245439,2019-11-25_16-32-03-988197,245444,8,
250539,250551,2019-11-25_16-32-10-049846,250554,12,
255647,255655,2019-11-25_16-32-16-140638,255659,8,
