EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1574713459.954311,513551.000,24068,1,B%,1,100, 8
1574713460.949338,514388.000,24210,1,B%,1,100, 6
1574713461.957442,515236.000,24360,1,B%,1,100, 6
1574713462.944147,516066.000,24502,1,B%,1,100, 7
1574713463.936796,516901.000,24644,1,B%,1,100, 8
1574713464.933012,517739.000,24806,1,B%,1,100, 8
1574713465.929228,518577.000,24948,1,B%,1,100, 8
1574713466.920689,519411.000,25091,1,B%,1,100, 4
1574713467.931170,520261.000,25239,1,B%,1,100, 8
1574713468.942841,521112.000,25381,1,B%,1,100, 8
1574713469.937868,521949.000,25542,1,B%,1,100, 7
1574713470.942405,522794.000,25684,1,B%,1,100, 6
1574713471.930299,523625.000,25826,1,B%,1,100, 6
1574713472.936026,524471.000,25986,1,B%,1,100, 5
1574713473.938185,525314.000,26116,1,B%,1,100, 6
1574713474.937968,526155.000,26276,1,B%,1,100, 6
1574713475.950827,527007.000,26418,1,B%,1,100, 6
1574713476.944665,527843.000,26580,1,B%,1,100, 7
1574713477.938503,528679.000,26723,1,B%,1,100, 6
1574713478.926398,529510.000,26865,1,B%,1,100, 6
1574713479.924991,530350.000,27015,1,B%,1,100, 8
1574713480.917640,531185.000,27157,1,B%,1,100, 8
1574713481.929311,532036.000,27299,1,B%,1,100, 8
1574713482.944547,532890.000,27459,1,B%,1,100, 6
1574713483.932442,533721.000,27603,1,B%,1,100, 6
1574713484.936979,534566.000,27745,1,B%,1,100, 8
1574713485.927251,535399.000,27890,1,B%,1,100, 6
1574713486.918712,536233.000,28034,1,B%,1,100, 6
1574713487.918494,537074.000,28195,1,B%,1,100, 5
1574713488.921843,537918.000,28337,1,B%,1,100, 7
1574713489.910926,538750.000,28479,1,B%,1,100, 8
1574713490.930918,539608.000,28639,1,B%,1,100, 4
1574713491.939021,540456.000,28789,1,B%,1,100, 7
1574713492.936426,541295.000,28931,1,B%,1,100, 8
1574713493.932642,542133.000,29073,1,B%,1,100, 6
1574713494.922914,542966.000,29217,1,B%,1,100, 6
1574713495.920319,543805.000,29378,1,B%,1,100, 6
1574713496.917723,544644.000,29520,1,B%,1,100, 7
1574713497.927016,545493.000,29668,1,B%,1,100, 7
1574713498.931553,546338.000,29811,1,B%,1,100, 6
1574713499.919448,547169.000,29971,1,B%,1,100, 8
1574713500.925174,548015.000,30113,1,B%,1,100, 5
1574713501.913068,548846.000,30256,1,B%,1,100, 8
1574713502.921172,549694.000,30415,1,B%,1,100, 8
1574713503.919765,550534.000,30547,1,B%,1,100, 6
1574713504.923114,551378.000,30707,1,B%,1,100, 6
1574713505.938351,552232.000,30851,1,B%,1,100, 5
1574713506.927434,553064.000,30994,1,B%,1,100, 5
1574713507.937915,553914.000,31154,1,B%,1,100, 4
1574713508.929376,554748.000,31296,1,B%,1,100, 8
1574713509.926781,555587.000,31445,1,B%,1,100, 7
1574713510.934885,556435.000,31587,1,B%,1,100, 7
1574713511.934667,557276.000,31729,1,B%,1,100, 4
1574713512.924939,558109.000,31889,1,B%,1,100, 6
1574713513.925910,558951.000,32033,1,B%,1,100, 3
1574713514.929258,559795.000,32175,1,B%,1,100, 8
1574713515.918341,560627.000,32321,1,B%,1,100, 4
1574713516.924068,561473.000,32465,1,B%,1,100, 6
1574713517.940493,562328.000,32625,1,B%,1,100, 8
1574713518.931954,563162.000,32768,1,B%,1,100, 4
1574713519.934114,564005.000,32928,1,B%,1,100, 4
1574713520.936274,564848.000,33070,1,B%,1,100, 5
1574713521.947944,565699.000,33215,1,B%,1,100, 4
1574713522.940593,566534.000,33359,1,B%,1,100, 6
1574713523.955830,567388.000,33501,1,B%,1,100, 5
