EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1574714555.731175,171485.000,29573,10,AY,1,100,0.079
1574714555.731175,171485.000,29573,10,AY,1,100,0.076
1574714555.731175,171485.000,29573,10,AY,1,100,0.059
1574714555.731175,171485.000,29573,10,AY,1,100,0.030
1574714555.731175,171485.000,29573,10,AY,1,100,0.064
1574714555.731175,171485.000,29573,10,AY,1,100,0.014
1574714555.731175,171485.000,29573,10,AY,1,100,0.059
1574714555.731175,171485.000,29573,10,AY,1,100,0.113
1574714555.731175,171485.000,29573,10,AY,1,100,0.121
1574714555.731175,171485.000,29573,10,AY,1,100,0.125
1574714555.776777,171523.333,29589,3,AY,1,100,0.157
1574714555.822378,171561.667,29589,3,AY,1,100,0.141
1574714555.867980,171600.000,29589,3,AY,1,100,0.115
1574714555.904461,171630.667,29607,3,AY,1,100,0.066
1574714555.940942,171661.333,29607,3,AY,1,100,0.063
1574714555.977424,171692.000,29607,3,AY,1,100,0.161
1574714556.016680,171725.000,29625,3,AY,1,100,0.249
1574714556.055938,171758.000,29625,3,AY,1,100,0.210
1574714556.095195,171791.000,29625,3,AY,1,100,0.152
1574714556.135641,171825.000,29643,3,AY,1,100,0.136
1574714556.176088,171859.000,29643,3,AY,1,100,0.125
1574714556.216534,171893.000,29643,3,AY,1,100,0.154
1574714556.257774,171927.667,29661,3,AY,1,100,0.165
1574714556.299014,171962.333,29661,3,AY,1,100,0.145
1574714556.340254,171997.000,29661,3,AY,1,100,0.146
1574714556.381493,172031.667,29679,3,AY,1,100,0.150
1574714556.422733,172066.333,29679,3,AY,1,100,0.142
1574714556.463973,172101.000,29679,3,AY,1,100,0.158
1574714556.501247,172132.333,29698,3,AY,1,100,0.151
1574714556.538521,172163.667,29698,3,AY,1,100,0.145
1574714556.575796,172195.000,29698,3,AY,1,100,0.151
1574714556.615846,172228.667,29716,3,AY,1,100,0.159
1574714556.655896,172262.333,29716,3,AY,1,100,0.156
1574714556.695946,172296.000,29716,3,AY,1,100,0.168
1574714556.733220,172327.333,29734,3,AY,1,100,0.160
1574714556.770494,172358.667,29734,3,AY,1,100,0.154
1574714556.807769,172390.000,29734,3,AY,1,100,0.169
1574714556.849802,172425.333,29751,3,AY,1,100,0.181
1574714556.891834,172460.667,29751,3,AY,1,100,0.175
1574714556.933867,172496.000,29751,3,AY,1,100,0.196
1574714556.975107,172530.667,29769,3,AY,1,100,0.172
1574714557.016346,172565.333,29769,3,AY,1,100,0.156
1574714557.057586,172600.000,29769,3,AY,1,100,0.199
1574714557.098429,172634.333,29787,3,AY,1,100,0.212
1574714557.139272,172668.667,29787,3,AY,1,100,0.201
