EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1574715304.558980,94602,15564,2,DC,1,100,ER
1574715304.558980,94602,15564,2,DC,1,100,EA
1574715314.771536,103187,17072,2,DC,1,100,ER
1574715314.771536,103187,17072,2,DC,1,100,EA
1574715317.295828,105309,17448,2,DC,1,100,ER
1574715317.295828,105309,17448,2,DC,1,100,EA
1574715327.237159,113666,18921,2,DC,1,100,ER
1574715327.237159,113666,18921,2,DC,1,100,EA
1574715370.642603,150154,25233,2,DC,1,100,ER
1574715370.642603,150154,25233,2,DC,1,100,EA
