EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1574714555.772811,171520.000,29579,11,MY,1,100, 7
1574714555.772811,171520.000,29579,11,MY,1,100,10
1574714555.772811,171520.000,29579,11,MY,1,100,11
1574714555.772811,171520.000,29579,11,MY,1,100,11
1574714555.772811,171520.000,29579,11,MY,1,100,11
1574714555.772811,171520.000,29579,11,MY,1,100,10
1574714555.772811,171520.000,29579,11,MY,1,100,10
1574714555.772811,171520.000,29579,11,MY,1,100, 8
1574714555.772811,171520.000,29579,11,MY,1,100, 8
1574714555.772811,171520.000,29579,11,MY,1,100, 7
1574714555.772811,171520.000,29579,11,MY,1,100, 7
1574714555.820395,171560.000,29595,2,MY,1,100, 8
1574714555.867980,171600.000,29595,2,MY,1,100, 9
1574714555.904461,171630.667,29613,3,MY,1,100, 8
1574714555.940942,171661.333,29613,3,MY,1,100, 8
1574714555.977424,171692.000,29613,3,MY,1,100, 7
1574714556.016680,171725.000,29631,3,MY,1,100, 8
1574714556.055938,171758.000,29631,3,MY,1,100, 7
1574714556.095195,171791.000,29631,3,MY,1,100, 8
1574714556.135641,171825.000,29649,3,MY,1,100, 8
1574714556.176088,171859.000,29649,3,MY,1,100, 8
1574714556.216534,171893.000,29649,3,MY,1,100, 7
1574714556.257774,171927.667,29667,3,MY,1,100, 8
1574714556.299014,171962.333,29667,3,MY,1,100, 8
1574714556.340254,171997.000,29667,3,MY,1,100, 6
1574714556.381493,172031.667,29685,3,MY,1,100, 7
1574714556.422733,172066.333,29685,3,MY,1,100, 7
1574714556.463973,172101.000,29685,3,MY,1,100, 7
1574714556.501247,172132.333,29704,3,MY,1,100, 8
1574714556.538521,172163.667,29704,3,MY,1,100, 7
1574714556.575796,172195.000,29704,3,MY,1,100, 9
1574714556.615846,172228.667,29722,3,MY,1,100, 6
1574714556.655896,172262.333,29722,3,MY,1,100, 7
1574714556.695946,172296.000,29722,3,MY,1,100, 8
1574714556.733220,172327.333,29740,3,MY,1,100, 6
1574714556.770494,172358.667,29740,3,MY,1,100, 8
1574714556.807769,172390.000,29740,3,MY,1,100, 8
1574714556.849802,172425.333,29757,3,MY,1,100, 6
1574714556.891834,172460.667,29757,3,MY,1,100, 6
1574714556.933867,172496.000,29757,3,MY,1,100, 7
1574714556.975107,172530.667,29775,3,MY,1,100, 5
1574714557.016346,172565.333,29775,3,MY,1,100, 6
1574714557.057586,172600.000,29775,3,MY,1,100, 6
1574714557.098429,172634.333,29793,3,MY,1,100, 4
1574714557.139272,172668.667,29793,3,MY,1,100, 5
1574714557.180116,172703.000,29793,3,MY,1,100, 7
1574714557.221752,172738.000,29809,3,MY,1,100, 6
1574714557.263388,172773.000,29809,3,MY,1,100, 5
1574714557.305024,172808.000,29809,3,MY,1,100, 6
1574714557.343092,172840.000,29827,3,MY,1,100, 7
1574714557.381159,172872.000,29827,3,MY,1,100, 6
1574714557.419227,172904.000,29827,3,MY,1,100, 3
1574714557.457294,172936.000,29846,3,MY,1,100, 3
1574714557.495361,172968.000,29846,3,MY,1,100, 3
1574714557.533429,173000.000,29846,3,MY,1,100, 3
1574714557.575065,173035.000,29864,3,MY,1,100, 3
1574714557.616701,173070.000,29864,3,MY,1,100, 2
1574714557.658337,173105.000,29864,3,MY,1,100, 1
1574714557.697198,173137.667,29882,3,MY,1,100, 2
1574714557.736058,173170.333,29882,3,MY,1,100, 3
1574714557.774919,173203.000,29882,3,MY,1,100, 3
1574714557.815762,173237.333,29900,3,MY,1,100, 1
1574714557.856605,173271.667,29900,3,MY,1,100, 1
1574714557.897448,173306.000,29900,3,MY,1,100, 1
1574714557.942653,173344.000,29918,3,MY,1,100, 2
1574714557.987859,173382.000,29918,3,MY,1,100, 1
1574714558.033063,173420.000,29918,3,MY,1,100, 0
1574714558.074700,173455.000,29935,3,MY,1,100,-1
1574714558.116336,173490.000,29935,3,MY,1,100,-1
1574714558.157972,173525.000,29935,3,MY,1,100,-2
1574714558.195246,173556.333,29953,3,MY,1,100,-2
1574714558.232521,173587.667,29953,3,MY,1,100,-1
1574714558.269795,173619.000,29953,3,MY,1,100,-3
1574714558.308656,173651.667,29971,3,MY,1,100,-3
1574714558.347516,173684.333,29971,3,MY,1,100,-1
1574714558.386377,173717.000,29971,3,MY,1,100,-2
1574714558.426427,173750.667,29988,3,MY,1,100,-4
1574714558.466477,173784.333,29988,3,MY,1,100,-5
1574714558.506527,173818.000,29988,3,MY,1,100,-3
1574714558.547766,173852.667,30006,3,MY,1,100,-3
1574714558.589006,173887.333,30006,3,MY,1,100,-2
1574714558.630246,173922.000,30006,3,MY,1,100,-2
1574714558.672279,173957.333,30024,3,MY,1,100,-2
1574714558.714311,173992.667,30024,3,MY,1,100,-2
1574714558.756344,174028.000,30024,3,MY,1,100,-2
1574714558.797187,174062.333,30042,3,MY,1,100,-0
1574714558.838031,174096.667,30042,3,MY,1,100,-1
1574714558.878874,174131.000,30042,3,MY,1,100,-1
1574714558.917734,174163.667,30060,3,MY,1,100,-2
1574714558.956595,174196.333,30060,3,MY,1,100,-1
1574714558.995455,174229.000,30060,3,MY,1,100,-1
1574714559.036298,174263.333,30078,3,MY,1,100,-3
1574714559.077141,174297.667,30078,3,MY,1,100,-3
1574714559.117985,174332.000,30078,3,MY,1,100,-4
1574714559.159621,174367.000,30096,3,MY,1,100,-4
1574714559.201257,174402.000,30096,3,MY,1,100,-1
1574714559.242893,174437.000,30096,3,MY,1,100,-3
1574714559.284529,174472.000,30113,2,MY,1,100,-0
