EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1574713005.874842,131587.000,22560,10,MY,1,100,11
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,15
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,12
1574713005.874842,131587.000,22560,10,MY,1,100,11
1574713005.874842,131587.000,22560,10,MY,1,100,11
1574713005.914469,131620.333,22578,3,MY,1,100,11
1574713005.954095,131653.667,22578,3,MY,1,100,12
1574713005.993722,131687.000,22578,3,MY,1,100,12
1574713006.041274,131727.000,22597,2,MY,1,100,10
1574713006.088826,131767.000,22597,2,MY,1,100,12
1574713006.129642,131801.333,22615,3,MY,1,100,13
1574713006.170457,131835.667,22615,3,MY,1,100,12
1574713006.211273,131870.000,22615,3,MY,1,100,12
1574713006.252485,131904.667,22633,3,MY,1,100,11
1574713006.293696,131939.333,22633,3,MY,1,100,12
1574713006.334908,131974.000,22633,3,MY,1,100,12
1574713006.372157,132005.333,22651,3,MY,1,100,11
1574713006.409406,132036.667,22651,3,MY,1,100,13
1574713006.446656,132068.000,22651,3,MY,1,100,12
1574713006.485886,132101.000,22668,4,MY,1,100,10
1574713006.525116,132134.000,22668,4,MY,1,100,12
1574713006.564347,132167.000,22668,4,MY,1,100,12
1574713006.603577,132200.000,22668,4,MY,1,100,13
1574713006.645780,132235.500,22686,2,MY,1,100,12
1574713006.687982,132271.000,22686,2,MY,1,100,12
1574713006.728402,132305.000,22704,3,MY,1,100,12
1574713006.768821,132339.000,22704,3,MY,1,100,12
1574713006.809240,132373.000,22704,3,MY,1,100,10
1574713006.854414,132411.000,22720,3,MY,1,100,12
1574713006.899589,132449.000,22720,3,MY,1,100,12
1574713006.944763,132487.000,22720,3,MY,1,100,13
1574713006.982805,132519.000,22738,3,MY,1,100,12
1574713007.020847,132551.000,22738,3,MY,1,100,11
1574713007.058888,132583.000,22738,3,MY,1,100,13
1574713007.097326,132615.333,22757,3,MY,1,100,12
1574713007.135764,132647.667,22757,3,MY,1,100,12
1574713007.174202,132680.000,22757,3,MY,1,100,11
1574713007.215414,132714.667,22775,3,MY,1,100,12
1574713007.256626,132749.333,22775,3,MY,1,100,12
1574713007.297837,132784.000,22775,3,MY,1,100,12
1574713007.338257,132818.000,22793,3,MY,1,100,11
1574713007.378676,132852.000,22793,3,MY,1,100,11
1574713007.419095,132886.000,22793,3,MY,1,100,11
1574713007.460703,132921.000,22811,3,MY,1,100,10
1574713007.502311,132956.000,22811,3,MY,1,100, 9
