EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1574714555.731175,171485.000,29574,10,AZ,1,100,0.085
1574714555.731175,171485.000,29574,10,AZ,1,100,0.058
1574714555.731175,171485.000,29574,10,AZ,1,100,0.103
1574714555.731175,171485.000,29574,10,AZ,1,100,0.065
1574714555.731175,171485.000,29574,10,AZ,1,100,0.038
1574714555.731175,171485.000,29574,10,AZ,1,100,0.074
1574714555.731175,171485.000,29574,10,AZ,1,100,0.062
1574714555.731175,171485.000,29574,10,AZ,1,100,0.066
1574714555.731175,171485.000,29574,10,AZ,1,100,0.065
1574714555.731175,171485.000,29574,10,AZ,1,100,0.077
1574714555.776777,171523.333,29590,3,AZ,1,100,0.052
1574714555.822378,171561.667,29590,3,AZ,1,100,0.072
1574714555.867980,171600.000,29590,3,AZ,1,100,0.100
1574714555.904461,171630.667,29608,3,AZ,1,100,0.100
1574714555.940942,171661.333,29608,3,AZ,1,100,0.061
1574714555.977424,171692.000,29608,3,AZ,1,100,-0.031
1574714556.016680,171725.000,29626,3,AZ,1,100,-0.047
1574714556.055938,171758.000,29626,3,AZ,1,100,-0.006
1574714556.095195,171791.000,29626,3,AZ,1,100,-0.012
1574714556.135641,171825.000,29644,3,AZ,1,100,0.017
1574714556.176088,171859.000,29644,3,AZ,1,100,0.004
1574714556.216534,171893.000,29644,3,AZ,1,100,0.010
1574714556.257774,171927.667,29662,3,AZ,1,100,-0.010
1574714556.299014,171962.333,29662,3,AZ,1,100,-0.016
1574714556.340254,171997.000,29662,3,AZ,1,100,-0.026
1574714556.381493,172031.667,29680,3,AZ,1,100,-0.025
1574714556.422733,172066.333,29680,3,AZ,1,100,-0.026
1574714556.463973,172101.000,29680,3,AZ,1,100,-0.034
1574714556.501247,172132.333,29699,3,AZ,1,100,-0.037
1574714556.538521,172163.667,29699,3,AZ,1,100,-0.031
1574714556.575796,172195.000,29699,3,AZ,1,100,-0.043
1574714556.615846,172228.667,29717,3,AZ,1,100,-0.022
1574714556.655896,172262.333,29717,3,AZ,1,100,-0.029
1574714556.695946,172296.000,29717,3,AZ,1,100,-0.018
1574714556.733220,172327.333,29735,3,AZ,1,100,-0.017
1574714556.770494,172358.667,29735,3,AZ,1,100,0.005
1574714556.807769,172390.000,29735,3,AZ,1,100,0.006
1574714556.849802,172425.333,29752,3,AZ,1,100,-0.002
1574714556.891834,172460.667,29752,3,AZ,1,100,0.012
1574714556.933867,172496.000,29752,3,AZ,1,100,-0.008
1574714556.975107,172530.667,29770,3,AZ,1,100,0.027
1574714557.016346,172565.333,29770,3,AZ,1,100,0.024
1574714557.057586,172600.000,29770,3,AZ,1,100,-0.014
1574714557.098429,172634.333,29788,3,AZ,1,100,0.000
1574714557.139272,172668.667,29788,3,AZ,1,100,-0.016
1574714557.180116,172703.000,29788,3,AZ,1,100,-0.022
1574714557.221752,172738.000,29804,3,AZ,1,100,-0.002
1574714557.263388,172773.000,29804,3,AZ,1,100,-0.008
1574714557.305024,172808.000,29804,3,AZ,1,100,-0.013
1574714557.343092,172840.000,29822,3,AZ,1,100,-0.030
1574714557.381159,172872.000,29822,3,AZ,1,100,-0.015
1574714557.419227,172904.000,29822,3,AZ,1,100,0.004
1574714557.457294,172936.000,29841,3,AZ,1,100,0.011
1574714557.495361,172968.000,29841,3,AZ,1,100,0.059
1574714557.533429,173000.000,29841,3,AZ,1,100,0.072
1574714557.575065,173035.000,29859,3,AZ,1,100,0.071
1574714557.616701,173070.000,29859,3,AZ,1,100,0.031
1574714557.658337,173105.000,29859,3,AZ,1,100,0.040
1574714557.697198,173137.667,29877,3,AZ,1,100,0.056
1574714557.736058,173170.333,29877,3,AZ,1,100,0.055
1574714557.774919,173203.000,29877,3,AZ,1,100,0.066
1574714557.815762,173237.333,29895,3,AZ,1,100,0.032
1574714557.856605,173271.667,29895,3,AZ,1,100,0.070
1574714557.897448,173306.000,29895,3,AZ,1,100,0.092
1574714557.942653,173344.000,29913,3,AZ,1,100,0.115
1574714557.987859,173382.000,29913,3,AZ,1,100,0.125
1574714558.033063,173420.000,29913,3,AZ,1,100,0.097
1574714558.075294,173455.500,29930,2,AZ,1,100,0.079
1574714558.117526,173491.000,29930,2,AZ,1,100,0.045
1574714558.155593,173523.000,29948,4,AZ,1,100,0.029
1574714558.193660,173555.000,29948,4,AZ,1,100,0.012
1574714558.231728,173587.000,29948,4,AZ,1,100,0.031
1574714558.269795,173619.000,29948,4,AZ,1,100,0.061
1574714558.308656,173651.667,29966,3,AZ,1,100,0.058
1574714558.347516,173684.333,29966,3,AZ,1,100,0.121
1574714558.386377,173717.000,29966,3,AZ,1,100,0.077
1574714558.426427,173750.667,29983,3,AZ,1,100,0.174
1574714558.466477,173784.333,29983,3,AZ,1,100,-0.129
1574714558.506527,173818.000,29983,3,AZ,1,100,-0.045
1574714558.547766,173852.667,30001,3,AZ,1,100,0.060
1574714558.589006,173887.333,30001,3,AZ,1,100,-0.063
1574714558.630246,173922.000,30001,3,AZ,1,100,-0.052
1574714558.672279,173957.333,30019,3,AZ,1,100,-0.215
1574714558.714311,173992.667,30019,3,AZ,1,100,0.154
1574714558.756344,174028.000,30019,3,AZ,1,100,-0.066
1574714558.797187,174062.333,30037,3,AZ,1,100,-0.008
1574714558.838031,174096.667,30037,3,AZ,1,100,0.040
1574714558.878874,174131.000,30037,3,AZ,1,100,0.050
1574714558.917734,174163.667,30055,3,AZ,1,100,0.048
1574714558.956595,174196.333,30055,3,AZ,1,100,0.098
1574714558.995455,174229.000,30055,3,AZ,1,100,0.179
1574714559.036298,174263.333,30073,3,AZ,1,100,0.139
1574714559.077141,174297.667,30073,3,AZ,1,100,-0.236
1574714559.117985,174332.000,30073,3,AZ,1,100,-0.386
1574714559.159621,174367.000,30091,2,AZ,1,100,0.218
1574714559.201257,174402.000,30091,2,AZ,1,100,0.028
1574714559.242893,174437.000,30108,3,AZ,1,100,-0.013
1574714559.284529,174472.000,30108,3,AZ,1,100,-0.042
1574714559.326166,174507.000,30108,3,AZ,1,100,-0.142
1574714559.365819,174540.333,30126,3,AZ,1,100,-0.229
1574714559.405473,174573.667,30126,3,AZ,1,100,-0.213
1574714559.445126,174607.000,30126,3,AZ,1,100,-0.007
1574714559.482896,174638.750,30145,4,AZ,1,100,0.153
1574714559.520666,174670.500,30145,4,AZ,1,100,0.260
1574714559.558436,174702.250,30145,4,AZ,1,100,0.260
1574714559.596206,174734.000,30145,4,AZ,1,100,0.145
1574714559.643196,174773.500,30161,2,AZ,1,100,-0.007
1574714559.690185,174813.000,30161,2,AZ,1,100,-0.200
1574714559.730632,174847.000,30179,3,AZ,1,100,0.002
1574714559.771079,174881.000,30179,3,AZ,1,100,-0.267
1574714559.811525,174915.000,30179,3,AZ,1,100,0.134
1574714559.852368,174949.333,30197,3,AZ,1,100,-0.042
1574714559.893211,174983.667,30197,3,AZ,1,100,0.000
1574714559.934055,175018.000,30197,3,AZ,1,100,-0.054
1574714559.974105,175051.667,30215,3,AZ,1,100,-0.061
1574714560.014155,175085.333,30215,3,AZ,1,100,-0.078
1574714560.054205,175119.000,30215,3,AZ,1,100,-0.099
1574714560.090686,175149.667,30233,3,AZ,1,100,-0.128
1574714560.127167,175180.333,30233,3,AZ,1,100,-0.168
1574714560.163649,175211.000,30233,3,AZ,1,100,-0.107
1574714560.203798,175244.750,30251,4,AZ,1,100,-0.054
1574714560.243947,175278.500,30251,4,AZ,1,100,0.046
1574714560.284096,175312.250,30251,4,AZ,1,100,0.094
1574714560.324245,175346.000,30251,4,AZ,1,100,0.052
1574714560.365287,175380.500,30269,2,AZ,1,100,0.018
1574714560.406328,175415.000,30269,2,AZ,1,100,-0.011
1574714560.451533,175453.000,30287,3,AZ,1,100,-0.005
1574714560.496738,175491.000,30287,3,AZ,1,100,-0.035
1574714560.541944,175529.000,30287,3,AZ,1,100,-0.024
1574714560.582390,175563.000,30305,3,AZ,1,100,-0.031
1574714560.622837,175597.000,30305,3,AZ,1,100,0.019
1574714560.663283,175631.000,30305,3,AZ,1,100,0.040
