EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1574867954.689287,341084.000,59803,2,RD,1,100,TL
1574867954.689287,341084.000,59803,2,RD,1,100,TU
1574867957.726450,343638.000,60699,2,RD,1,100,TL
1574867960.763613,346192.000,60699,2,RD,1,100,TU
1574867963.800777,348746.000,61595,2,RD,1,100,TL
1574867966.837940,351300.000,61595,2,RD,1,100,TU
1574867969.875104,353854.000,62491,2,RD,1,100,TL
1574867972.912267,356408.000,62491,2,RD,1,100,TU
1574867975.949431,358962.000,63390,2,RD,1,100,TL
1574867978.986594,361516.000,63390,2,RD,1,100,TU
1574867982.023758,364070.000,64286,2,RD,1,100,TL
1574867985.060921,366624.000,64286,2,RD,1,100,TU
1574867988.098085,369178.000,65183,2,RD,1,100,TL
1574867991.135248,371732.000,65183,2,RD,1,100,TU
1574867994.172411,374286.000,543,2,RD,1,100,TL
1574867997.209575,376840.000,543,2,RD,1,100,TU
1574868000.246738,379394.000,1439,2,RD,1,100,TL
1574868003.283902,381948.000,1439,2,RD,1,100,TU
1574868006.321065,384502.000,2337,2,RD,1,100,TL
1574868009.358229,387056.000,2337,2,RD,1,100,TU
1574868012.395392,389610.000,3233,2,RD,1,100,TL
1574868015.432556,392164.000,3233,2,RD,1,100,TU
1574868018.469719,394718.000,4129,2,RD,1,100,TL
1574868021.506883,397272.000,4129,2,RD,1,100,TU
1574868024.544046,399826.000,5025,2,RD,1,100,TL
1574868027.581210,402380.000,5025,2,RD,1,100,TU
1574868030.618373,404934.000,5922,2,RD,1,100,TL
1574868033.655536,407488.000,5922,2,RD,1,100,TU
1574868036.692700,410042.000,6820,2,RD,1,100,TL
1574868039.729863,412596.000,6820,2,RD,1,100,TU
1574868042.767027,415150.000,7716,2,RD,1,100,TL
1574868045.804190,417704.000,7716,2,RD,1,100,TU
1574868048.841354,420258.000,8612,2,RD,1,100,TL
1574868051.878517,422812.000,8612,2,RD,1,100,TU
1574868054.915681,425366.000,9509,2,RD,1,100,TL
1574868057.952844,427920.000,9509,2,RD,1,100,TU
1574868060.990008,430474.000,10405,2,RD,1,100,TL
1574868064.027171,433028.000,10405,2,RD,1,100,TU
1574868067.064335,435582.000,11301,2,RD,1,100,TL
1574868070.101498,438136.000,11301,2,RD,1,100,TU
1574868073.138661,440690.000,12197,2,RD,1,100,TL
1574868076.175825,443244.000,12197,2,RD,1,100,TU
1574868079.212988,445798.000,13093,2,RD,1,100,TL
1574868082.250152,448352.000,13093,2,RD,1,100,TU
1574868085.287315,450906.000,13989,2,RD,1,100,TL
1574868088.324479,453460.000,13989,2,RD,1,100,TU
1574868091.361642,456014.000,14886,2,RD,1,100,TL
1574868094.398806,458568.000,14886,2,RD,1,100,TU
1574868097.435969,461122.000,15782,2,RD,1,100,TL
1574868100.473133,463676.000,15782,2,RD,1,100,TU
1574868103.510296,466230.000,16678,2,RD,1,100,TL
1574868106.547460,468784.000,16678,2,RD,1,100,TU
1574868109.584623,471338.000,17574,2,RD,1,100,TL
1574868112.621786,473892.000,17574,2,RD,1,100,TU
1574868115.658950,476446.000,18470,2,RD,1,100,TL
1574868118.696113,479000.000,18470,2,RD,1,100,TU
1574868121.733277,481554.000,19367,2,RD,1,100,TL
1574868124.770440,484108.000,19367,2,RD,1,100,TU
1574868127.807604,486662.000,20264,2,RD,1,100,TL
1574868130.844767,489216.000,20264,2,RD,1,100,TU
1574868133.881931,491770.000,21160,2,RD,1,100,TL
1574868136.919094,494324.000,21160,2,RD,1,100,TU
1574868139.956258,496878.000,22058,2,RD,1,100,TL
1574868142.993421,499432.000,22058,2,RD,1,100,TU
1574868146.030585,501986.000,22954,2,RD,1,100,TL
1574868149.067748,504540.000,22954,2,RD,1,100,TU
1574868152.104911,507094.000,23851,2,RD,1,100,TL
1574868155.142075,509648.000,23851,2,RD,1,100,TU
1574868158.179238,512202.000,24747,2,RD,1,100,TL
1574868161.216402,514756.000,24747,2,RD,1,100,TU
1574868164.253565,517310.000,25643,2,RD,1,100,TL
1574868167.290729,519864.000,25643,2,RD,1,100,TU
1574868170.327892,522418.000,26541,2,RD,1,100,TL
1574868173.365056,524972.000,26541,2,RD,1,100,TU
1574868176.402219,527526.000,27437,2,RD,1,100,TL
1574868179.439383,530080.000,27437,2,RD,1,100,TU
1574868182.476546,532634.000,28346,2,RD,1,100,TL
1574868185.513709,535188.000,28346,2,RD,1,100,TU
1574868188.550873,537742.000,29242,2,RD,1,100,TL
1574868191.588036,540296.000,29242,2,RD,1,100,TU
1574868194.625200,542850.000,30138,2,RD,1,100,TL
1574868197.662363,545404.000,30138,2,RD,1,100,TU
1574868200.699527,547958.000,31034,2,RD,1,100,TL
1574868203.736690,550512.000,31034,2,RD,1,100,TU
1574868206.773854,553066.000,31931,2,RD,1,100,TL
1574868209.811017,555620.000,31931,2,RD,1,100,TU
1574868212.848181,558174.000,32828,2,RD,1,100,TL
1574868215.885344,560728.000,32828,2,RD,1,100,TU
1574868218.922508,563282.000,33724,2,RD,1,100,TL
