EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1574870695.981308,53224,8810,2,DC,1,100,ER
1574870695.981308,53224,8810,2,DC,1,100,EA
1574870697.171690,54227,8989,2,DC,1,100,ER
1574870697.171690,54227,8989,2,DC,1,100,EA
1574870698.436841,55293,9169,2,DC,1,100,ER
1574870698.436841,55293,9169,2,DC,1,100,EA
1574870699.565508,56244,9335,4,DC,1,100,ER
1574870699.565508,56244,9335,4,DC,1,100,EA
1574870699.565508,56244,9335,4,DC,1,100,ER
1574870699.565508,56244,9335,4,DC,1,100,EA
1574870700.685868,57188,9514,2,DC,1,100,ER
1574870700.685868,57188,9514,2,DC,1,100,EA
1574870714.077961,68472,11488,2,DC,1,100,ER
1574870714.077961,68472,11488,2,DC,1,100,EA
1574870725.359886,77978,13158,2,DC,1,100,ER
1574870725.359886,77978,13158,2,DC,1,100,EA
1574870727.746584,79989,13515,2,DC,1,100,ER
1574870727.746584,79989,13515,2,DC,1,100,EA
1574870735.889366,86850,14722,2,DC,1,100,ER
1574870735.889366,86850,14722,2,DC,1,100,EA
1574870738.292680,88875,15080,2,DC,1,100,ER
1574870738.292680,88875,15080,2,DC,1,100,EA
1574870746.806937,96049,16335,4,DC,1,100,ER
1574870746.806937,96049,16335,4,DC,1,100,EA
1574870746.806937,96049,16335,4,DC,1,100,ER
1574870746.806937,96049,16335,4,DC,1,100,EA
1574870747.951033,97013,16499,2,DC,1,100,ER
1574870747.951033,97013,16499,2,DC,1,100,EA
1574870748.017495,97069,16521,2,DC,1,100,ER
1574870748.017495,97069,16521,2,DC,1,100,EA
1574870749.216184,98079,16700,2,DC,1,100,ER
1574870749.216184,98079,16700,2,DC,1,100,EA
1574870751.620685,100105,17057,2,DC,1,100,ER
1574870751.620685,100105,17057,2,DC,1,100,EA
1574870751.688334,100162,17075,2,DC,1,100,ER
1574870751.688334,100162,17075,2,DC,1,100,EA
1574870752.884650,101170,17254,2,DC,1,100,ER
1574870752.884650,101170,17254,2,DC,1,100,EA
1574870753.887514,102015,17401,2,DC,1,100,ER
1574870753.887514,102015,17401,2,DC,1,100,EA
1574870754.078592,102176,17423,2,DC,1,100,ER
1574870754.078592,102176,17423,2,DC,1,100,EA
1574870755.292710,103199,17602,2,DC,1,100,ER
1574870755.292710,103199,17602,2,DC,1,100,EA
1574870907.672279,231592,39669,2,DC,1,100,ER
1574870907.672279,231592,39669,2,DC,1,100,EA
1574870940.543673,259289,44523,2,DC,1,100,ER
1574870940.543673,259289,44523,2,DC,1,100,EA
1574870975.318729,288590,49668,2,DC,1,100,ER
1574870975.318729,288590,49668,2,DC,1,100,EA
1574870977.666262,290568,50025,2,DC,1,100,ER
1574870977.666262,290568,50025,2,DC,1,100,EA
1574870995.354649,305472,52627,4,DC,1,100,ER
1574870995.354649,305472,52627,4,DC,1,100,EA
1574870995.354649,305472,52627,4,DC,1,100,ER
1574870995.354649,305472,52627,4,DC,1,100,EA
1574870996.471448,306413,52793,2,DC,1,100,ER
1574870996.471448,306413,52793,2,DC,1,100,EA
