EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1574868621.083563,47406.000,7887,3,EA,1,100,0.601265
1574868621.083563,47406.000,7887,3,EA,1,100,0.601213
1574868621.083563,47406.000,7887,3,EA,1,100,0.601049
1574868621.147709,47460.000,7906,2,EA,1,100,0.601126
1574868621.211855,47514.000,7906,2,EA,1,100,0.601215
1574868621.277189,47569.000,7922,2,EA,1,100,0.600872
1574868621.342523,47624.000,7922,2,EA,1,100,0.600738
1574868621.410233,47681.000,7940,2,EA,1,100,0.601025
1574868621.477942,47738.000,7940,2,EA,1,100,0.600753
1574868621.546840,47796.000,7958,1,EA,1,100,0.600861
1574868621.614549,47853.000,7976,2,EA,1,100,0.600668
1574868621.682259,47910.000,7976,2,EA,1,100,0.600662
1574868621.746405,47964.000,7994,2,EA,1,100,0.600644
1574868621.810551,48018.000,7994,2,EA,1,100,0.600502
1574868621.874697,48072.000,8012,2,EA,1,100,0.600602
1574868621.938843,48126.000,8012,2,EA,1,100,0.600409
1574868622.007740,48184.000,8030,2,EA,1,100,0.600489
1574868622.076638,48242.000,8030,2,EA,1,100,0.600047
1574868622.144347,48299.000,8049,1,EA,1,100,0.600191
1574868622.213245,48357.000,8066,2,EA,1,100,0.600155
1574868622.282142,48415.000,8066,2,EA,1,100,0.600294
1574868622.347476,48470.000,8084,2,EA,1,100,0.600512
1574868622.412810,48525.000,8084,2,EA,1,100,0.600299
1574868622.476956,48579.000,8100,2,EA,1,100,0.600352
1574868622.541102,48633.000,8100,2,EA,1,100,0.599914
1574868622.607624,48689.000,8118,2,EA,1,100,0.600139
1574868622.674145,48745.000,8118,2,EA,1,100,0.600026
1574868622.743043,48803.000,8136,1,EA,1,100,0.600021
1574868622.811940,48861.000,8154,2,EA,1,100,0.599926
1574868622.880838,48919.000,8154,2,EA,1,100,0.600069
1574868622.946766,48974.500,8172,2,EA,1,100,0.600245
1574868623.012693,49030.000,8172,2,EA,1,100,0.600003
1574868623.076246,49083.500,8190,2,EA,1,100,0.600398
1574868623.139797,49137.000,8190,2,EA,1,100,0.599740
1574868623.205725,49192.500,8209,2,EA,1,100,0.599963
1574868623.271653,49248.000,8209,2,EA,1,100,0.599664
