RD,TS_received,TS_sent,AK,RoundTrip,
52439,52446,2019-11-27_11-30-27-063000,52449,7,
57547,57555,2019-11-27_11-30-33-140382,57558,8,
62655,62662,2019-11-27_11-30-39-190474,62667,7,
67763,67769,2019-11-27_11-30-45-269526,67773,6,
72871,72877,2019-11-27_11-30-51-345686,72881,6,
77979,77987,2019-11-27_11-30-57-411902,77989,8,
83087,83096,2019-11-27_11-31-03-475913,83099,9,
88195,88201,2019-11-27_11-31-09-537269,88204,6,
93303,93309,2019-11-27_11-31-15-597496,93314,6,
98411,98417,2019-11-27_11-31-21-666753,98420,6,
103519,103608,2019-11-27_11-31-27-835985,103612,89,
108627,108671,2019-11-27_11-31-33-855084,108674,44,
113735,113742,2019-11-27_11-31-39-884319,113745,7,
118843,118850,2019-11-27_11-31-45-941655,118855,7,
123951,123958,2019-11-27_11-31-52-018940,123961,7,
129059,129065,2019-11-27_11-31-58-085988,129068,6,
134167,134174,2019-11-27_11-32-04-159096,134177,7,
139275,139281,2019-11-27_11-32-10-228257,139286,6,
144383,144390,2019-11-27_11-32-16-305344,144393,7,
149491,149514,2019-11-27_11-32-22-381368,149517,23,
154599,154605,2019-11-27_11-32-28-426297,154608,6,
159707,159714,2019-11-27_11-32-34-489989,159717,7,
164815,164821,2019-11-27_11-32-40-565251,164838,6,
169923,169947,2019-11-27_11-32-46-639357,169954,24,
175032,175041,2019-11-27_11-32-52-695493,175044,9,
180140,180308,2019-11-27_11-32-58-901768,180311,168,
185248,185277,2019-11-27_11-33-04-863639,185280,29,
190356,190363,2019-11-27_11-33-10-915514,190366,7,
195464,195471,2019-11-27_11-33-16-972113,195474,7,
200572,200577,2019-11-27_11-33-23-031667,200580,5,
205680,205701,2019-11-27_11-33-29-094890,205704,21,
210788,210804,2019-11-27_11-33-35-164727,210807,16,
215896,215901,2019-11-27_11-33-41-215058,215904,5,
221004,221012,2019-11-27_11-33-47-293567,221015,8,
226112,226196,2019-11-27_11-33-53-424811,226199,84,
231220,231225,2019-11-27_11-33-59-421828,231228,5,
236328,236386,2019-11-27_11-34-05-549074,236389,58,
241436,241440,2019-11-27_11-34-11-545216,241443,4,
246544,246551,2019-11-27_11-34-17-609418,246554,7,
251652,251658,2019-11-27_11-34-23-681049,251663,6,
256760,256835,2019-11-27_11-34-29-831182,256839,75,
261868,261886,2019-11-27_11-34-35-833510,261890,18,
266976,266985,2019-11-27_11-34-41-896090,266987,9,
272084,272090,2019-11-27_11-34-47-969412,272094,6,
277192,277200,2019-11-27_11-34-54-045042,277204,8,
282300,282306,2019-11-27_11-35-00-116698,282309,6,
287408,287416,2019-11-27_11-35-06-187408,287420,8,
292516,292523,2019-11-27_11-35-12-256214,292526,7,
297624,297630,2019-11-27_11-35-18-322233,297633,6,
302732,302744,2019-11-27_11-35-24-394395,302747,12,
307840,307848,2019-11-27_11-35-30-464515,307851,8,
312967,312981,2019-11-27_11-35-36-564054,312984,14,
318090,318099,2019-11-27_11-35-42-645619,318102,9,
323198,323365,2019-11-27_11-35-48-850104,323368,167,
328306,328593,2019-11-27_11-35-55-126598,328597,287,
333414,333420,2019-11-27_11-36-00-861642,333424,6,
338522,338530,2019-11-27_11-36-06-934768,338533,8,
343630,343637,2019-11-27_11-36-12-999958,343640,7,
348738,348745,2019-11-27_11-36-19-074523,348748,7,
353846,353856,2019-11-27_11-36-25-144373,353857,10,
358954,358959,2019-11-27_11-36-31-200976,358962,5,
364062,364067,2019-11-27_11-36-37-259022,364071,5,
369170,369184,2019-11-27_11-36-43-321383,369187,14,
374278,374283,2019-11-27_11-36-49-401027,374286,5,
379386,379392,2019-11-27_11-36-55-460258,379396,6,
384494,384501,2019-11-27_11-37-01-530110,384505,7,
389602,389609,2019-11-27_11-37-07-608696,389612,7,
394710,394717,2019-11-27_11-37-13-655216,394722,7,
399818,399981,2019-11-27_11-37-19-851017,399984,163,
404926,405023,2019-11-27_11-37-25-905360,405028,97,
410034,410052,2019-11-27_11-37-31-867018,410055,18,
415142,415149,2019-11-27_11-37-37-939534,415152,7,
420250,420257,2019-11-27_11-37-44-001691,420260,7,
425358,425365,2019-11-27_11-37-50-076761,425368,7,
430466,430473,2019-11-27_11-37-56-132375,430477,7,
435574,435580,2019-11-27_11-38-02-200208,435583,6,
440682,440688,2019-11-27_11-38-08-276421,440692,6,
445790,445801,2019-11-27_11-38-14-361719,445805,11,
450898,450905,2019-11-27_11-38-20-418841,450908,7,
