RD,TS_received,TS_sent,AK,RoundTrip,
38666,38678,2019-12-16_13-50-06-233621,38682,12,
43774,43786,2019-12-16_13-50-12-320198,43789,12,
48882,48889,2019-12-16_13-50-18-384944,48892,7,
53990,54146,2019-12-16_13-50-24-621884,54149,156,
59098,59126,2019-12-16_13-50-30-561217,59129,28,
64206,64221,2019-12-16_13-50-36-586117,64224,15,
69314,69321,2019-12-16_13-50-42-644165,69324,7,
74422,74428,2019-12-16_13-50-48-753667,74431,6,
79530,79537,2019-12-16_13-50-54-815865,79540,7,
84638,84645,2019-12-16_13-51-00-866225,84650,7,
89746,89766,2019-12-16_13-51-06-901283,89771,20,
94854,94863,2019-12-16_13-51-12-942849,94867,9,
99962,99971,2019-12-16_13-51-19-021584,99972,9,
105070,105077,2019-12-16_13-51-25-059710,105081,7,
110178,110186,2019-12-16_13-51-31-141200,110189,8,
115286,115303,2019-12-16_13-51-37-257422,115307,17,
120394,120400,2019-12-16_13-51-43-340083,120403,6,
125502,125510,2019-12-16_13-51-49-432920,125513,8,
130610,130767,2019-12-16_13-51-55-692646,130770,157,
135718,135726,2019-12-16_13-52-01-651740,135729,8,
140826,140833,2019-12-16_13-52-07-767798,140837,7,
145934,145941,2019-12-16_13-52-13-838095,145944,7,
151042,151051,2019-12-16_13-52-19-939405,151054,9,
156150,156157,2019-12-16_13-52-26-036097,156161,7,
161258,161264,2019-12-16_13-52-32-136819,161269,6,
166366,166373,2019-12-16_13-52-38-222165,166377,7,
171474,171479,2019-12-16_13-52-44-307249,171484,5,
176582,176590,2019-12-16_13-52-50-356447,176594,8,
181690,181696,2019-12-16_13-52-56-407811,181700,6,
186798,186965,2019-12-16_13-53-02-593195,186966,167,
191906,191969,2019-12-16_13-53-08-563840,191974,63,
197014,197057,2019-12-16_13-53-14-567789,197060,43,
202122,202131,2019-12-16_13-53-20-579617,202134,9,
207230,207239,2019-12-16_13-53-26-653240,207242,9,
212338,212348,2019-12-16_13-53-32-690712,212351,10,
217446,217456,2019-12-16_13-53-38-713915,217459,10,
222554,222560,2019-12-16_13-53-44-758627,222563,6,
227662,227668,2019-12-16_13-53-50-784275,227671,6,
232770,232776,2019-12-16_13-53-56-833040,232781,6,
237878,237885,2019-12-16_13-54-02-908024,237888,7,
242986,242994,2019-12-16_13-54-09-008129,242998,8,
248094,248102,2019-12-16_13-54-15-103761,248106,8,
253202,253209,2019-12-16_13-54-21-179469,253212,7,
258310,258317,2019-12-16_13-54-27-271190,258320,7,
263418,263425,2019-12-16_13-54-33-358126,263428,7,
268526,268628,2019-12-16_13-54-39-566370,268688,102,
273634,273655,2019-12-16_13-54-45-563975,273658,21,
278742,278750,2019-12-16_13-54-51-674653,278754,8,
283850,283886,2019-12-16_13-54-57-791547,283889,36,
288958,288962,2019-12-16_13-55-03-809374,288967,4,
294066,294085,2019-12-16_13-55-09-877531,294088,19,
299174,299179,2019-12-16_13-55-15-916522,299182,5,
304282,304290,2019-12-16_13-55-22-019249,304295,8,
309390,309396,2019-12-16_13-55-28-114293,309399,6,
314498,314504,2019-12-16_13-55-34-180243,314507,6,
319606,319614,2019-12-16_13-55-40-227782,319617,8,
324714,324721,2019-12-16_13-55-46-271960,324725,7,
329822,329828,2019-12-16_13-55-52-360283,329831,6,
334930,335087,2019-12-16_13-55-58-574390,335090,157,
340038,340117,2019-12-16_13-56-04-576391,340120,79,
345146,345185,2019-12-16_13-56-10-567498,345188,39,
350254,350261,2019-12-16_13-56-16-593184,350265,7,
355362,355374,2019-12-16_13-56-22-656785,355377,12,
360470,360478,2019-12-16_13-56-28-757611,360481,8,
365578,365585,2019-12-16_13-56-34-848358,365588,7,
370686,370693,2019-12-16_13-56-40-969758,370697,7,
375794,375874,2019-12-16_13-56-47-166544,375877,80,
380902,380909,2019-12-16_13-56-53-130644,380912,7,
386010,386015,2019-12-16_13-56-59-170408,386018,5,
391118,391127,2019-12-16_13-57-05-241126,391130,9,
