RD,TS_received,TS_sent,AK,RoundTrip,c2e,e2c
35617,35624,2019-05-24_14-38-31-315,35627,7,3,4,
40729,40737,2019-05-24_14-38-38-280,40740,8,3,5,
45850,45860,2019-05-24_14-38-45-261,45863,10,3,7,
50967,50979,2019-05-24_14-38-52-233,50982,12,3,9,
56088,56097,2019-05-24_14-38-59-202,56100,9,3,6,
61201,61210,2019-05-24_14-39-06-167,61213,9,3,6,
66315,66322,2019-05-24_14-39-13-129,66325,7,3,4,
71428,71436,2019-05-24_14-39-20-095,71439,8,3,5,
76541,76550,2019-05-24_14-39-27-060,76552,9,2,7,
81658,81665,2019-05-24_14-39-34-034,81669,7,4,3,
86775,86784,2019-05-24_14-39-41-002,86787,9,3,6,
91893,91901,2019-05-24_14-39-47-976,91904,8,3,5,
97010,97016,2019-05-24_14-39-54-941,97021,6,5,1,
102122,102131,2019-05-24_14-40-01-910,102134,9,3,6,
107236,107244,2019-05-24_14-40-08-874,107246,8,2,6,
112350,112358,2019-05-24_14-40-15-836,112361,8,3,5,
117471,117476,2019-05-24_14-40-22-815,117481,5,5,0,
122590,122597,2019-05-24_14-40-29-794,122601,7,4,3,
127709,127718,2019-05-24_14-40-36-761,127720,9,2,7,
132822,132831,2019-05-24_14-40-43-727,132834,9,3,6,
137938,137947,2019-05-24_14-40-50-704,137951,9,4,5,
143049,143057,2019-05-24_14-40-57-653,143060,8,3,5,
148161,148169,2019-05-24_14-41-04-616,148172,8,3,5,
153280,153296,2019-05-24_14-41-11-603,153304,16,8,8,
158400,158409,2019-05-24_14-41-18-574,158413,9,4,5,
163515,163520,2019-05-24_14-41-25-536,163523,5,3,2,
168632,168639,2019-05-24_14-41-32-503,168642,7,3,4,
173751,173763,2019-05-24_14-41-39-482,173766,12,3,9,
178871,178881,2019-05-24_14-41-46-458,178884,10,3,7,
183993,184004,2019-05-24_14-41-53-427,184005,11,1,10,
189107,189115,2019-05-24_14-42-00-396,189118,8,3,5,
194215,194223,2019-05-24_14-42-07-353,194227,8,4,4,
199331,199340,2019-05-24_14-42-14-321,199343,9,3,6,
204444,204456,2019-05-24_14-42-21-291,204462,12,6,6,
209562,209570,2019-05-24_14-42-28-257,209574,8,4,4,
214680,214686,2019-05-24_14-42-35-231,214689,6,3,3,
219788,219795,2019-05-24_14-42-42-188,219798,7,3,4,
224905,224915,2019-05-24_14-42-49-155,224918,10,3,7,
230026,230033,2019-05-24_14-42-56-133,230038,7,5,2,
235145,235152,2019-05-24_14-43-03-111,235155,7,3,4,
240258,240265,2019-05-24_14-43-10-073,240268,7,3,4,
245373,245383,2019-05-24_14-43-17-042,245387,10,4,6,
250496,250502,2019-05-24_14-43-24-021,250507,6,5,1,
255611,255620,2019-05-24_14-43-30-988,255627,9,7,2,
260738,260750,2019-05-24_14-43-37-966,260752,12,2,10,
265862,265869,2019-05-24_14-43-44-943,265873,7,4,3,
270982,270990,2019-05-24_14-43-51-926,270994,8,4,4,
276099,276109,2019-05-24_14-43-58-892,276112,10,3,7,
281215,281235,2019-05-24_14-44-05-870,281243,20,8,12,
286335,286343,2019-05-24_14-44-12-837,286346,8,3,5,
291454,291462,2019-05-24_14-44-19-813,291466,8,4,4,
296580,296585,2019-05-24_14-44-26-786,296588,5,3,2,
301695,301705,2019-05-24_14-44-33-761,301707,10,2,8,
306811,306818,2019-05-24_14-44-40-729,306821,7,3,4,
311930,311943,2019-05-24_14-44-47-703,311946,13,3,10,
317049,317058,2019-05-24_14-44-54-674,317061,9,3,6,
322166,322176,2019-05-24_14-45-01-646,322179,10,3,7,
327279,327294,2019-05-24_14-45-08-621,327297,15,3,12,
332396,332405,2019-05-24_14-45-15-577,332408,9,3,6,
337515,337527,2019-05-24_14-45-22-555,337530,12,3,9,
342633,342641,2019-05-24_14-45-29-527,342644,8,3,5,
347741,347749,2019-05-24_14-45-36-485,347752,8,3,5,
352854,352860,2019-05-24_14-45-43-454,352862,6,2,4,
357965,357973,2019-05-24_14-45-50-413,357976,8,3,5,
363077,363084,2019-05-24_14-45-57-376,363087,7,3,4,
368193,368199,2019-05-24_14-46-04-344,368202,6,3,3,
373313,373323,2019-05-24_14-46-11-317,373328,10,5,5,
378436,378443,2019-05-24_14-46-18-291,378446,7,3,4,
383555,383582,2019-05-24_14-46-25-263,383585,27,3,24,
388675,388683,2019-05-24_14-46-32-239,388687,8,4,4,
393794,393801,2019-05-24_14-46-39-211,393803,7,2,5,
398976,398989,2019-05-24_14-46-46-276,398992,13,3,10,
404178,404191,2019-05-24_14-46-53-366,404193,13,2,11,
409334,409341,2019-05-24_14-47-00-385,409343,7,2,5,
414455,414462,2019-05-24_14-47-07-359,414466,7,4,3,
419578,419585,2019-05-24_14-47-14-336,419588,7,3,4,
424706,424714,2019-05-24_14-47-21-325,424716,8,2,6,
429847,429855,2019-05-24_14-47-28-322,429858,8,3,5,
434970,434981,2019-05-24_14-47-35-303,434984,11,3,8,
