RD,TS_received,TS_sent,AK,RoundTrip,
81306,81314,2019-12-05_13-47-04-188292,81318,8,
86414,86599,2019-12-05_13-47-10-470833,86602,185,
91522,91705,2019-12-05_13-47-16-508992,91710,183,
96630,96876,2019-12-05_13-47-22-596475,96879,246,
101738,101826,2019-12-05_13-47-28-534408,101830,88,
106846,106856,2019-12-05_13-47-34-518488,106859,10,
111954,111971,2019-12-05_13-47-40-566900,111974,17,
117062,117075,2019-12-05_13-47-46-645437,117078,13,
122170,122178,2019-12-05_13-47-52-727798,122181,8,
127278,127285,2019-12-05_13-47-58-800011,127288,7,
132386,132395,2019-12-05_13-48-04-877600,132398,9,
137494,137504,2019-12-05_13-48-10-951936,137507,10,
142602,142615,2019-12-05_13-48-17-024357,142618,13,
147710,147738,2019-12-05_13-48-23-150229,147741,28,
152818,152826,2019-12-05_13-48-29-199160,152830,8,
157926,157935,2019-12-05_13-48-35-235584,157938,9,
163034,163200,2019-12-05_13-48-41-461379,163203,166,
168142,168234,2019-12-05_13-48-47-470370,168238,92,
173250,173292,2019-12-05_13-48-53-501850,173296,42,
178358,178366,2019-12-05_13-48-59-514799,178369,8,
183466,183473,2019-12-05_13-49-05-545394,183478,7,
188574,188581,2019-12-05_13-49-11-616188,188584,7,
193682,193689,2019-12-05_13-49-17-705288,193692,7,
198790,198799,2019-12-05_13-49-23-807342,198804,9,
203898,203911,2019-12-05_13-49-29-887769,203914,13,
209006,209014,2019-12-05_13-49-35-940559,209018,8,
214139,214175,2019-12-05_13-49-42-019422,214179,36,
219247,219256,2019-12-05_13-49-48-031546,219261,9,
224355,224361,2019-12-05_13-49-54-085531,224364,6,
229463,229471,2019-12-05_13-50-00-208119,229474,8,
234571,234823,2019-12-05_13-50-06-527359,234827,252,
239679,239749,2019-12-05_13-50-12-452515,239753,70,
244787,244802,2019-12-05_13-50-18-446462,244806,15,
249895,249917,2019-12-05_13-50-24-497309,249920,22,
255003,255015,2019-12-05_13-50-30-554445,255019,12,
260111,260119,2019-12-05_13-50-36-669268,260122,8,
265219,265224,2019-12-05_13-50-42-745726,265228,5,
270327,270333,2019-12-05_13-50-48-791468,270337,6,
275435,275461,2019-12-05_13-50-54-850269,275465,26,
280543,280550,2019-12-05_13-51-00-871883,280553,7,
285651,285662,2019-12-05_13-51-06-894752,285667,11,
290759,290769,2019-12-05_13-51-12-939157,290771,10,
295867,295873,2019-12-05_13-51-19-014472,295877,6,
300975,300982,2019-12-05_13-51-25-089587,300985,7,
306083,306093,2019-12-05_13-51-31-217124,306096,10,
311191,311356,2019-12-05_13-51-37-471812,311360,165,
316299,316455,2019-12-05_13-51-43-502235,316458,156,
321407,321672,2019-12-05_13-51-49-680503,321675,265,
326515,326523,2019-12-05_13-51-55-571780,326526,8,
331623,331689,2019-12-05_13-52-01-686923,331692,66,
336731,336740,2019-12-05_13-52-07-734903,336744,9,
341839,341846,2019-12-05_13-52-13-749666,341849,7,
346947,346960,2019-12-05_13-52-19-796459,346964,13,
352055,352085,2019-12-05_13-52-25-827425,352088,30,
357163,357170,2019-12-05_13-52-31-895921,357173,7,
362271,362284,2019-12-05_13-52-37-979260,362288,13,
367379,367388,2019-12-05_13-52-44-063918,367392,9,
372487,372511,2019-12-05_13-52-50-156726,372516,24,
377595,377604,2019-12-05_13-52-56-191224,377607,9,
382703,382951,2019-12-05_13-53-02-505375,382955,248,
387811,388010,2019-12-05_13-53-08-505453,388013,199,
