EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1575568018.215179,76296.000,12849,4,PI,1,100,187188
1575568018.215179,76296.000,12849,4,PI,1,100,185644
1575568018.215179,76296.000,12849,4,PI,1,100,185680
1575568018.215179,76296.000,12849,4,PI,1,100,185773
1575568018.255580,76330.000,12867,3,PI,1,100,185818
1575568018.295981,76364.000,12867,3,PI,1,100,185825
1575568018.336382,76398.000,12867,3,PI,1,100,185872
1575568018.377971,76433.000,12884,2,PI,1,100,185976
1575568018.419560,76468.000,12884,2,PI,1,100,186188
1575568018.460357,76502.333,12902,3,PI,1,100,186353
1575568018.501154,76536.667,12902,3,PI,1,100,186406
1575568018.541951,76571.000,12902,3,PI,1,100,186584
1575568018.579679,76602.750,12918,4,PI,1,100,186723
1575568018.617406,76634.500,12918,4,PI,1,100,186833
1575568018.655133,76666.250,12918,4,PI,1,100,186916
1575568018.692861,76698.000,12918,4,PI,1,100,187024
1575568018.734054,76732.667,12936,3,PI,1,100,187253
1575568018.775247,76767.333,12936,3,PI,1,100,187492
1575568018.816440,76802.000,12936,3,PI,1,100,187264
1575568018.856445,76835.667,12954,3,PI,1,100,185977
1575568018.896450,76869.333,12954,3,PI,1,100,185422
1575568018.936455,76903.000,12954,3,PI,1,100,185473
1575568018.977449,76937.500,12973,2,PI,1,100,185651
1575568019.018445,76972.000,12973,2,PI,1,100,185712
1575568019.059242,77006.333,12991,3,PI,1,100,185782
1575568019.100039,77040.667,12991,3,PI,1,100,185873
1575568019.140836,77075.000,12991,3,PI,1,100,185827
1575568019.182425,77110.000,13009,3,PI,1,100,185835
1575568019.224014,77145.000,13009,3,PI,1,100,185910
1575568019.265603,77180.000,13009,3,PI,1,100,186100
1575568019.303628,77212.000,13027,4,PI,1,100,186320
1575568019.341652,77244.000,13027,4,PI,1,100,186480
1575568019.379676,77276.000,13027,4,PI,1,100,186612
1575568019.417701,77308.000,13027,4,PI,1,100,186690
1575568019.456121,77340.333,13045,3,PI,1,100,186760
1575568019.494542,77372.667,13045,3,PI,1,100,186896
1575568019.532962,77405.000,13045,3,PI,1,100,187028
1575568019.573759,77439.333,13062,3,PI,1,100,186647
1575568019.614556,77473.667,13062,3,PI,1,100,185630
1575568019.655353,77508.000,13062,3,PI,1,100,185317
1575568019.696151,77542.333,13080,3,PI,1,100,185399
1575568019.736948,77576.667,13080,3,PI,1,100,185558
1575568019.777745,77611.000,13080,3,PI,1,100,185665
1575568019.819334,77646.000,13096,2,PI,1,100,185856
1575568019.860923,77681.000,13096,2,PI,1,100,185942
1575568019.899244,77713.250,13115,4,PI,1,100,185888
1575568019.937566,77745.500,13115,4,PI,1,100,185868
1575568019.975887,77777.750,13115,4,PI,1,100,186006
1575568020.014209,77810.000,13115,4,PI,1,100,186298
1575568020.052629,77842.333,13133,3,PI,1,100,186566
1575568020.091050,77874.667,13133,3,PI,1,100,186752
1575568020.129470,77907.000,13133,3,PI,1,100,186735
1575568020.170267,77941.333,13151,3,PI,1,100,186679
1575568020.211064,77975.667,13151,3,PI,1,100,186801
1575568020.251861,78010.000,13151,3,PI,1,100,187083
1575568020.293451,78045.000,13169,3,PI,1,100,187281
1575568020.335040,78080.000,13169,3,PI,1,100,186599
1575568020.376629,78115.000,13169,3,PI,1,100,185484
1575568020.418218,78150.000,13187,2,PI,1,100,185198
1575568020.459807,78185.000,13187,2,PI,1,100,185334
1575568020.498426,78217.500,13205,4,PI,1,100,185503
1575568020.537045,78250.000,13205,4,PI,1,100,185542
1575568020.575663,78282.500,13205,4,PI,1,100,185592
1575568020.614281,78315.000,13205,4,PI,1,100,185656
1575568020.651910,78346.667,13223,3,PI,1,100,185663
1575568020.689538,78378.333,13223,3,PI,1,100,185705
1575568020.727166,78410.000,13223,3,PI,1,100,185854
1575568020.767171,78443.667,13241,3,PI,1,100,186039
1575568020.807176,78477.333,13241,3,PI,1,100,186231
1575568020.847181,78511.000,13241,3,PI,1,100,186364
1575568020.889958,78547.000,13258,3,PI,1,100,186474
1575568020.932736,78583.000,13258,3,PI,1,100,186573
1575568020.975513,78619.000,13258,3,PI,1,100,186663
1575568021.016310,78653.333,13277,3,PI,1,100,186792
1575568021.057107,78687.667,13277,3,PI,1,100,186573
1575568021.097904,78722.000,13277,3,PI,1,100,185519
1575568021.135929,78754.000,13293,3,PI,1,100,185036
1575568021.173953,78786.000,13293,3,PI,1,100,184938
1575568021.211978,78818.000,13293,3,PI,1,100,184943
1575568021.249606,78849.667,13311,3,PI,1,100,184997
1575568021.287234,78881.333,13311,3,PI,1,100,185015
1575568021.324863,78913.000,13311,3,PI,1,100,185037
1575568021.365660,78947.333,13329,3,PI,1,100,185036
1575568021.406457,78981.667,13329,3,PI,1,100,185103
1575568021.447254,79016.000,13329,3,PI,1,100,185230
1575568021.488447,79050.667,13347,3,PI,1,100,185430
1575568021.529640,79085.333,13347,3,PI,1,100,185658
1575568021.570833,79120.000,13347,3,PI,1,100,185790
1575568021.611630,79154.333,13365,3,PI,1,100,185856
1575568021.652427,79188.667,13365,3,PI,1,100,185865
1575568021.693224,79223.000,13365,3,PI,1,100,185928
1575568021.732041,79255.667,13383,3,PI,1,100,186045
1575568021.770857,79288.333,13383,3,PI,1,100,185873
1575568021.809674,79321.000,13383,3,PI,1,100,185035
1575568021.848094,79353.333,13401,3,PI,1,100,184530
1575568021.886515,79385.667,13401,3,PI,1,100,184457
1575568021.924935,79418.000,13401,3,PI,1,100,184518
1575568021.964148,79451.000,13420,3,PI,1,100,184534
1575568022.003361,79484.000,13420,3,PI,1,100,184557
1575568022.042573,79517.000,13420,3,PI,1,100,184617
1575568022.083766,79551.667,13437,3,PI,1,100,184710
1575568022.124960,79586.333,13437,3,PI,1,100,184801
1575568022.166153,79621.000,13437,3,PI,1,100,184881
1575568022.206950,79655.333,13455,3,PI,1,100,184991
1575568022.247747,79689.667,13455,3,PI,1,100,185195
1575568022.288544,79724.000,13455,3,PI,1,100,185424
1575568022.328945,79758.000,13471,3,PI,1,100,185653
1575568022.369346,79792.000,13471,3,PI,1,100,185815
1575568022.409747,79826.000,13471,3,PI,1,100,185952
1575568022.448167,79858.333,13489,3,PI,1,100,186154
1575568022.486588,79890.667,13489,3,PI,1,100,186223
1575568022.525008,79923.000,13489,3,PI,1,100,185412
1575568022.564221,79956.000,13507,3,PI,1,100,184650
1575568022.603433,79989.000,13507,3,PI,1,100,184509
1575568022.642646,80022.000,13507,3,PI,1,100,184683
1575568022.683047,80056.000,13525,3,PI,1,100,184909
1575568022.723448,80090.000,13525,3,PI,1,100,185142
1575568022.763849,80124.000,13525,3,PI,1,100,185324
1575568022.804250,80158.000,13543,3,PI,1,100,185456
1575568022.844651,80192.000,13543,3,PI,1,100,185478
1575568022.885052,80226.000,13543,3,PI,1,100,185568
1575568022.926245,80260.667,13562,3,PI,1,100,185710
1575568022.967438,80295.333,13562,3,PI,1,100,185970
1575568023.008631,80330.000,13562,3,PI,1,100,186244
1575568023.046259,80361.667,13580,3,PI,1,100,186410
1575568023.083888,80393.333,13580,3,PI,1,100,186552
1575568023.121516,80425.000,13580,3,PI,1,100,186675
1575568023.163501,80460.333,13598,3,PI,1,100,186871
1575568023.205487,80495.667,13598,3,PI,1,100,186833
1575568023.247472,80531.000,13598,3,PI,1,100,186006
1575568023.287873,80565.000,13616,3,PI,1,100,185444
1575568023.328274,80599.000,13616,3,PI,1,100,185440
1575568023.368675,80633.000,13616,3,PI,1,100,185575
1575568023.409472,80667.333,13633,3,PI,1,100,185703
1575568023.450269,80701.667,13633,3,PI,1,100,185859
1575568023.491066,80736.000,13633,3,PI,1,100,186000
1575568023.533051,80771.333,13651,3,PI,1,100,186097
1575568023.575036,80806.667,13651,3,PI,1,100,186160
1575568023.617022,80842.000,13651,3,PI,1,100,186295
1575568023.654650,80873.667,13667,3,PI,1,100,186496
1575568023.692278,80905.333,13667,3,PI,1,100,186808
1575568023.729907,80937.000,13667,3,PI,1,100,187163
1575568023.768327,80969.333,13685,3,PI,1,100,187004
1575568023.806748,81001.667,13685,3,PI,1,100,186445
1575568023.845168,81034.000,13685,3,PI,1,100,187013
1575568023.885965,81068.333,13704,3,PI,1,100,187324
1575568023.926762,81102.667,13704,3,PI,1,100,187466
1575568023.967559,81137.000,13704,3,PI,1,100,186255
1575568024.008356,81171.333,13722,3,PI,1,100,185571
1575568024.049153,81205.667,13722,3,PI,1,100,185774
1575568024.089950,81240.000,13722,3,PI,1,100,185948
1575568024.129638,81273.400,13743,5,PI,1,100,185637
1575568024.169326,81306.800,13743,5,PI,1,100,186167
1575568024.209014,81340.200,13743,5,PI,1,100,186193
1575568024.248702,81373.600,13743,5,PI,1,100,186312
1575568024.288390,81407.000,13743,5,PI,1,100,186288
1575568024.323642,81436.667,13761,3,PI,1,100,186461
1575568024.358894,81466.333,13761,3,PI,1,100,186848
1575568024.394145,81496.000,13761,3,PI,1,100,186669
1575568024.435338,81530.667,13779,3,PI,1,100,187475
1575568024.476532,81565.333,13779,3,PI,1,100,187699
1575568024.517725,81600.000,13779,3,PI,1,100,187793
1575568024.558918,81634.667,13797,3,PI,1,100,187861
1575568024.600111,81669.333,13797,3,PI,1,100,187952
1575568024.641304,81704.000,13797,3,PI,1,100,187584
1575568024.682497,81738.667,13815,3,PI,1,100,186511
1575568024.723690,81773.333,13815,3,PI,1,100,186176
1575568024.764884,81808.000,13815,3,PI,1,100,186271
1575568024.805285,81842.000,13833,3,PI,1,100,186382
1575568024.845685,81876.000,13833,3,PI,1,100,186479
1575568024.886086,81910.000,13833,3,PI,1,100,186612
1575568024.924507,81942.333,13852,3,PI,1,100,186841
1575568024.962927,81974.667,13852,3,PI,1,100,186923
1575568025.001348,82007.000,13852,3,PI,1,100,186936
1575568025.040956,82040.333,13870,3,PI,1,100,187053
1575568025.080565,82073.667,13870,3,PI,1,100,187331
1575568025.120174,82107.000,13870,3,PI,1,100,187612
1575568025.159783,82140.333,13888,3,PI,1,100,187847
1575568025.199392,82173.667,13888,3,PI,1,100,188028
1575568025.239000,82207.000,13888,3,PI,1,100,188141
1575568025.279797,82241.333,13905,3,PI,1,100,188340
1575568025.320594,82275.667,13905,3,PI,1,100,188487
1575568025.361391,82310.000,13905,3,PI,1,100,188205
1575568025.395851,82339.000,13923,3,PI,1,100,186962
1575568025.430311,82368.000,13923,3,PI,1,100,186419
1575568025.464770,82397.000,13923,3,PI,1,100,186471
1575568025.505567,82431.333,13941,3,PI,1,100,186643
1575568025.546364,82465.667,13941,3,PI,1,100,186656
1575568025.587161,82500.000,13941,3,PI,1,100,186708
1575568025.628355,82534.667,13957,3,PI,1,100,186938
1575568025.669548,82569.333,13957,3,PI,1,100,187054
1575568025.710741,82604.000,13957,3,PI,1,100,187058
1575568025.752330,82639.000,13975,3,PI,1,100,187178
1575568025.793919,82674.000,13975,3,PI,1,100,187398
1575568025.835508,82709.000,13975,3,PI,1,100,187679
1575568025.875513,82742.667,13994,3,PI,1,100,187917
1575568025.915518,82776.333,13994,3,PI,1,100,188025
1575568025.955523,82810.000,13994,3,PI,1,100,188086
1575568025.993151,82841.667,14012,3,PI,1,100,188133
1575568026.030779,82873.333,14012,3,PI,1,100,188166
1575568026.068408,82905.000,14012,3,PI,1,100,188248
1575568026.108413,82938.667,14030,3,PI,1,100,187863
1575568026.148417,82972.333,14030,3,PI,1,100,186722
1575568026.188422,83006.000,14030,3,PI,1,100,186207
1575568026.233180,83043.667,14048,3,PI,1,100,186149
1575568026.277938,83081.333,14048,3,PI,1,100,186203
1575568026.322696,83119.000,14048,3,PI,1,100,186228
1575568026.360324,83150.667,14066,3,PI,1,100,186267
1575568026.397953,83182.333,14066,3,PI,1,100,186204
1575568026.435581,83214.000,14066,3,PI,1,100,186184
1575568026.476774,83248.667,14083,3,PI,1,100,186165
1575568026.517967,83283.333,14083,3,PI,1,100,186202
1575568026.559160,83318.000,14083,3,PI,1,100,186274
1575568026.600749,83353.000,14101,3,PI,1,100,186306
1575568026.642339,83388.000,14101,3,PI,1,100,186376
1575568026.683928,83423.000,14101,3,PI,1,100,186488
1575568026.722744,83455.667,14117,3,PI,1,100,186574
1575568026.761561,83488.333,14117,3,PI,1,100,186681
1575568026.800378,83521.000,14117,3,PI,1,100,186835
1575568026.838006,83552.667,14135,3,PI,1,100,186661
1575568026.875634,83584.333,14135,3,PI,1,100,185792
1575568026.913263,83616.000,14135,3,PI,1,100,185414
1575568026.952871,83649.333,14154,3,PI,1,100,185419
1575568026.992480,83682.667,14154,3,PI,1,100,185499
