EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1575568678.762161,32555.000,5136,10,AX,1,100,0.041
1575568678.762161,32555.000,5136,10,AX,1,100,0.045
1575568678.762161,32555.000,5136,10,AX,1,100,0.040
1575568678.762161,32555.000,5136,10,AX,1,100,0.045
1575568678.762161,32555.000,5136,10,AX,1,100,0.043
1575568678.762161,32555.000,5136,10,AX,1,100,0.044
1575568678.762161,32555.000,5136,10,AX,1,100,0.042
1575568678.762161,32555.000,5136,10,AX,1,100,0.043
1575568678.762161,32555.000,5136,10,AX,1,100,0.046
1575568678.762161,32555.000,5136,10,AX,1,100,0.045
1575568678.800819,32587.500,5153,2,AX,1,100,0.045
1575568678.839477,32620.000,5153,2,AX,1,100,0.041
1575568678.877540,32652.000,5172,4,AX,1,100,0.043
1575568678.915604,32684.000,5172,4,AX,1,100,0.043
1575568678.953667,32716.000,5172,4,AX,1,100,0.045
1575568678.991730,32748.000,5172,4,AX,1,100,0.043
1575568679.032173,32782.000,5188,2,AX,1,100,0.039
1575568679.072615,32816.000,5188,2,AX,1,100,0.040
1575568679.113851,32850.667,5206,3,AX,1,100,0.041
1575568679.155086,32885.333,5206,3,AX,1,100,0.041
1575568679.196321,32920.000,5206,3,AX,1,100,0.036
1575568679.237556,32954.667,5224,3,AX,1,100,0.041
1575568679.278792,32989.333,5224,3,AX,1,100,0.040
1575568679.320027,33024.000,5224,3,AX,1,100,0.043
1575568679.361263,33058.667,5242,3,AX,1,100,0.043
1575568679.402498,33093.333,5242,3,AX,1,100,0.041
1575568679.443733,33128.000,5242,3,AX,1,100,0.045
1575568679.484969,33162.667,5260,3,AX,1,100,0.040
1575568679.526204,33197.333,5260,3,AX,1,100,0.041
1575568679.567439,33232.000,5260,3,AX,1,100,0.043
1575568679.606692,33265.000,5278,3,AX,1,100,0.040
1575568679.645945,33298.000,5278,3,AX,1,100,0.040
1575568679.685198,33331.000,5278,3,AX,1,100,0.041
1575568679.726433,33365.667,5296,3,AX,1,100,0.040
1575568679.767668,33400.333,5296,3,AX,1,100,0.038
1575568679.808904,33435.000,5296,3,AX,1,100,0.036
