EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1575569742.955400,359076,62490,2,DC,1,100,ER
1575569742.955400,359076,62490,2,DC,1,100,EA
1575569743.020883,359131,62509,2,DC,1,100,ER
1575569743.020883,359131,62509,2,DC,1,100,EA
1575569743.154229,359243,62529,4,DC,1,100,ER
1575569743.154229,359243,62529,4,DC,1,100,EA
1575569743.154229,359243,62529,4,DC,1,100,ER
1575569743.154229,359243,62529,4,DC,1,100,EA
1575569743.289957,359357,62548,4,DC,1,100,ER
1575569743.289957,359357,62548,4,DC,1,100,EA
1575569743.289957,359357,62548,4,DC,1,100,ER
1575569743.289957,359357,62548,4,DC,1,100,EA
1575569743.432829,359477,62567,4,DC,1,100,ER
1575569743.432829,359477,62567,4,DC,1,100,EA
1575569743.432829,359477,62567,4,DC,1,100,ER
1575569743.432829,359477,62567,4,DC,1,100,EA
1575569846.220485,445810,12186,2,DC,1,100,ER
1575569846.220485,445810,12186,2,DC,1,100,EA
1575569846.288349,445867,12204,2,DC,1,100,ER
1575569846.288349,445867,12204,2,DC,1,100,EA
1575569846.426458,445983,12223,4,DC,1,100,ER
1575569846.426458,445983,12223,4,DC,1,100,EA
1575569846.426458,445983,12223,4,DC,1,100,ER
1575569846.426458,445983,12223,4,DC,1,100,EA
1575569846.558614,446094,12242,4,DC,1,100,ER
1575569846.558614,446094,12242,4,DC,1,100,EA
1575569846.558614,446094,12242,4,DC,1,100,ER
1575569846.558614,446094,12242,4,DC,1,100,EA
1575569846.621716,446147,12261,2,DC,1,100,ER
1575569846.621716,446147,12261,2,DC,1,100,EA
