EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1576771341.435113,618358.000,42313,2,AK,1,100,840
1576771341.435113,618358.000,42313,2,AK,1,100,RB
1576771344.470402,620917.000,43209,2,AK,1,100,43207
1576771347.505692,623476.000,43209,2,AK,1,100,RD
1576771347.602361,623557.500,43229,2,AK,1,100,43207
1576771347.699030,623639.000,43229,2,AK,1,100,RD
1576771350.631719,626111.500,44107,2,AK,1,100,44105
1576771353.564409,628584.000,44107,2,AK,1,100,RD
1576771353.665229,628669.000,44127,2,AK,1,100,44105
1576771353.766049,628754.000,44127,2,AK,1,100,RD
1576771356.694587,631223.000,45003,2,AK,1,100,45001
1576771359.623126,633692.000,45003,2,AK,1,100,RD
1576771359.719202,633773.000,45023,2,AK,1,100,45001
1576771359.815278,633854.000,45023,2,AK,1,100,RD
1576771362.747967,636326.500,45901,2,AK,1,100,45899
1576771365.680656,638799.000,45901,2,AK,1,100,RD
1576771365.828329,638923.500,45939,2,AK,1,100,45899
1576771365.976001,639048.000,45939,2,AK,1,100,RD
1576771368.858873,641478.500,46797,2,AK,1,100,46795
1576771371.741746,643909.000,46797,2,AK,1,100,RD
1576771371.908396,644049.500,46835,2,AK,1,100,46795
1576771372.075046,644190.000,46835,2,AK,1,100,RD
1576771374.937161,646603.000,47693,2,AK,1,100,47691
1576771377.799277,649016.000,47693,2,AK,1,100,RD
1576771377.904841,649105.000,47713,2,AK,1,100,47691
1576771378.010406,649194.000,47713,2,AK,1,100,RD
1576771381.029090,651739.000,48608,2,AK,1,100,48588
1576771384.047773,654284.000,48608,2,AK,1,100,RD
1576771384.051924,654287.500,48610,2,AK,1,100,48588
1576771384.056076,654291.000,48610,2,AK,1,100,RD
1576771387.079504,656840.000,49503,2,AK,1,100,49483
1576771390.102932,659389.000,49503,2,AK,1,100,RD
1576771390.107083,659392.500,49505,2,AK,1,100,49483
1576771390.111235,659396.000,49505,2,AK,1,100,RD
1576771393.135849,661946.000,50397,2,AK,1,100,50377
1576771396.160463,664496.000,50397,2,AK,1,100,RD
1576771396.165207,664500.000,50399,2,AK,1,100,50377
1576771396.169952,664504.000,50399,2,AK,1,100,RD
1576771399.128143,666998.000,51275,2,AK,1,100,51273
1576771402.086334,669492.000,51275,2,AK,1,100,RD
1576771402.155722,669550.500,51295,2,AK,1,100,51273
1576771402.225110,669609.000,51295,2,AK,1,100,RD
1576771405.196349,672114.000,52171,2,AK,1,100,52169
1576771408.167587,674619.000,52171,2,AK,1,100,RD
1576771408.235196,674676.000,52191,2,AK,1,100,52169
1576771408.302805,674733.000,52191,2,AK,1,100,RD
1576771411.227785,677199.000,53066,2,AK,1,100,53064
1576771414.152765,679665.000,53066,2,AK,1,100,RD
1576771414.250026,679747.000,53086,2,AK,1,100,53064
1576771414.347289,679829.000,53086,2,AK,1,100,RD
1576771417.279385,682301.000,53962,2,AK,1,100,53960
1576771420.211481,684773.000,53962,2,AK,1,100,RD
1576771420.305185,684852.000,53982,2,AK,1,100,53960
1576771420.398889,684931.000,53982,2,AK,1,100,RD
1576771423.333951,687405.500,54860,2,AK,1,100,54858
1576771426.269012,689880.000,54860,2,AK,1,100,RD
1576771426.363902,689960.000,54880,2,AK,1,100,54858
1576771426.458792,690040.000,54880,2,AK,1,100,RD
1576771429.392075,692513.000,55756,2,AK,1,100,55754
1576771432.325357,694986.000,55756,2,AK,1,100,RD
1576771432.421433,695067.000,55777,2,AK,1,100,55754
1576771432.517509,695148.000,55777,2,AK,1,100,RD
1576771435.460874,697629.500,56654,2,AK,1,100,56652
1576771438.404238,700111.000,56654,2,AK,1,100,RD
1576771438.490232,700183.500,56675,2,AK,1,100,56652
1576771438.576226,700256.000,56675,2,AK,1,100,RD
1576771441.510102,702729.500,57550,2,AK,1,100,57548
1576771444.443977,705203.000,57550,2,AK,1,100,RD
1576771444.541239,705285.000,57571,2,AK,1,100,57548
1576771444.638501,705367.000,57571,2,AK,1,100,RD
1576771447.570598,707839.000,58447,2,AK,1,100,58445
1576771450.502694,710311.000,58447,2,AK,1,100,RD
1576771450.599956,710393.000,58467,2,AK,1,100,58445
1576771450.697218,710475.000,58467,2,AK,1,100,RD
1576771453.645327,712960.500,59343,2,AK,1,100,59341
1576771456.593436,715446.000,59343,2,AK,1,100,RD
1576771456.676465,715516.000,59363,2,AK,1,100,59341
1576771456.759494,715586.000,59363,2,AK,1,100,RD
1576771459.689811,718056.500,60239,2,AK,1,100,60237
1576771462.620128,720527.000,60239,2,AK,1,100,RD
1576771462.720356,720611.500,60259,2,AK,1,100,60237
1576771462.820583,720696.000,60259,2,AK,1,100,RD
1576771465.752086,723167.500,61135,2,AK,1,100,61133
1576771468.683589,725639.000,61135,2,AK,1,100,RD
1576771468.906581,725827.000,61191,2,AK,1,100,61133
1576771469.129572,726015.000,61191,2,AK,1,100,RD
1576771471.938905,728383.500,62031,2,AK,1,100,62029
1576771474.748237,730752.000,62031,2,AK,1,100,RD
1576771474.888200,730870.000,62069,2,AK,1,100,62029
1576771475.028162,730988.000,62069,2,AK,1,100,RD
1576771477.915186,733422.000,62927,2,AK,1,100,62925
1576771480.802210,735856.000,62927,2,AK,1,100,RD
1576771480.894134,735933.500,62947,2,AK,1,100,62925
1576771480.986059,736011.000,62947,2,AK,1,100,RD
1576771483.974496,738530.500,63823,2,AK,1,100,63821
1576771486.962933,741050.000,63823,2,AK,1,100,RD
1576771487.008599,741088.500,63843,2,AK,1,100,63821
1576771487.054265,741127.000,63843,2,AK,1,100,RD
1576771490.080658,743678.500,64737,2,AK,1,100,64717
1576771493.107051,746230.000,64737,2,AK,1,100,RD
1576771496.083627,748739.500,77,2,AK,1,100,75
1576771499.060203,751249.000,77,2,AK,1,100,RD
1576771499.109427,751290.500,97,2,AK,1,100,75
1576771499.158651,751332.000,97,2,AK,1,100,RD
1576771502.095492,753808.000,973,2,AK,1,100,971
1576771505.032333,756284.000,973,2,AK,1,100,RD
1576771505.129002,756365.500,993,2,AK,1,100,971
1576771505.225671,756447.000,993,2,AK,1,100,RD
1576771508.160140,758921.000,1869,2,AK,1,100,1867
1576771511.094608,761395.000,1869,2,AK,1,100,RD
1576771511.190091,761475.500,1889,2,AK,1,100,1867
1576771511.285574,761556.000,1889,2,AK,1,100,RD
1576771514.217670,764028.000,2764,2,AK,1,100,2762
1576771517.149767,766500.000,2764,2,AK,1,100,RD
1576771517.248215,766583.000,2784,2,AK,1,100,2762
1576771517.346663,766666.000,2784,2,AK,1,100,RD
1576771520.278167,769137.500,3660,2,AK,1,100,3658
1576771523.209670,771609.000,3660,2,AK,1,100,RD
1576771523.305153,771689.500,3680,2,AK,1,100,3658
1576771523.400636,771770.000,3680,2,AK,1,100,RD
1576771526.333918,774243.000,4558,2,AK,1,100,4556
1576771529.267201,776716.000,4558,2,AK,1,100,RD
1576771529.363870,776797.500,4579,2,AK,1,100,4556
1576771529.460539,776879.000,4579,2,AK,1,100,RD
1576771532.392635,779351.000,5454,2,AK,1,100,5452
1576771535.324732,781823.000,5454,2,AK,1,100,RD
1576771535.420808,781904.000,5475,2,AK,1,100,5452
1576771535.516884,781985.000,5475,2,AK,1,100,RD
1576771538.448980,784457.000,6350,2,AK,1,100,6348
1576771541.381077,786929.000,6350,2,AK,1,100,RD
1576771541.480711,787013.000,6371,2,AK,1,100,6348
1576771541.580345,787097.000,6371,2,AK,1,100,RD
1576771545.066954,790036.500,6574,2,AK,1,100,6572
1576771548.553563,792976.000,6574,2,AK,1,100,RD
1576771551.699162,795628.000,6615,2,AK,1,100,6572
1576771554.844760,798280.000,6615,2,AK,1,100,RD
1576771554.853656,798287.500,6618,2,AK,1,100,6616
1576771554.862552,798295.000,6618,2,AK,1,100,RD
1576771555.634718,798946.000,6677,2,AK,1,100,6616
1576771556.406884,799597.000,6677,2,AK,1,100,RD
1576771558.766676,801586.500,7375,2,AK,1,100,7355
1576771561.126468,803576.000,7375,2,AK,1,100,RD
1576771561.130027,803579.000,7377,2,AK,1,100,7355
1576771561.133585,803582.000,7377,2,AK,1,100,RD
1576771564.097114,806080.500,8255,2,AK,1,100,8253
1576771567.060642,808579.000,8255,2,AK,1,100,RD
1576771567.128251,808636.000,8275,2,AK,1,100,8253
1576771567.195860,808693.000,8275,2,AK,1,100,RD
1576771570.128550,811165.500,9151,2,AK,1,100,9149
1576771573.061239,813638.000,9151,2,AK,1,100,RD
1576771573.154943,813717.000,9171,2,AK,1,100,9149
1576771573.248647,813796.000,9171,2,AK,1,100,RD
1576771576.209210,816292.000,10044,2,AK,1,100,10042
1576771579.169774,818788.000,10044,2,AK,1,100,RD
1576771579.239755,818847.000,10064,2,AK,1,100,10042
1576771579.309736,818906.000,10064,2,AK,1,100,RD
1576771582.245984,821381.500,10940,2,AK,1,100,10938
1576771585.182232,823857.000,10940,2,AK,1,100,RD
1576771585.279494,823939.000,10960,2,AK,1,100,10938
1576771585.376756,824021.000,10960,2,AK,1,100,RD
1576771588.309445,826493.500,11834,2,AK,1,100,11832
1576771591.242135,828966.000,11834,2,AK,1,100,RD
1576771591.335245,829044.500,11854,2,AK,1,100,11832
1576771591.428356,829123.000,11854,2,AK,1,100,RD
1576771594.364011,831598.000,12730,2,AK,1,100,12728
1576771597.299666,834073.000,12730,2,AK,1,100,RD
1576771597.395149,834153.500,12750,2,AK,1,100,12728
1576771597.490631,834234.000,12750,2,AK,1,100,RD
1576771600.424507,836707.500,13626,2,AK,1,100,13624
1576771603.358382,839181.000,13626,2,AK,1,100,RD
1576771603.453272,839261.000,13646,2,AK,1,100,13624
1576771603.548162,839341.000,13646,2,AK,1,100,RD
