EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1576771341.537120,618444.000,42320,1,T0,1,100,30.762
1576771341.671152,618557.000,42339,1,T0,1,100,30.698
1576771341.796881,618663.000,42357,1,T0,1,100,30.709
1576771341.926168,618772.000,42391,1,T0,1,100,30.751
1576771342.063759,618888.000,42409,1,T0,1,100,30.741
1576771342.197791,619001.000,42427,1,T0,1,100,30.714
1576771342.335381,619117.000,42445,1,T0,1,100,30.735
1576771342.459924,619222.000,42463,1,T0,1,100,30.773
1576771342.590397,619332.000,42482,1,T0,1,100,30.714
1576771342.730360,619450.000,42500,1,T0,1,100,30.714
1576771342.866764,619565.000,42517,1,T0,1,100,30.719
1576771342.998424,619676.000,42535,1,T0,1,100,30.730
1576771343.125339,619783.000,42569,1,T0,1,100,30.746
1576771343.258185,619895.000,42587,1,T0,1,100,30.676
1576771343.395775,620011.000,42605,1,T0,1,100,30.709
1576771343.534551,620128.000,42624,1,T0,1,100,30.709
1576771343.662653,620236.000,42642,1,T0,1,100,30.682
1576771343.789568,620343.000,42660,1,T0,1,100,30.730
1576771343.927158,620459.000,42678,1,T0,1,100,30.719
1576771344.060004,620571.000,42695,1,T0,1,100,30.692
1576771344.199966,620689.000,42729,1,T0,1,100,30.666
1576771344.325696,620795.000,42747,1,T0,1,100,30.660
1576771344.452611,620902.000,42766,1,T0,1,100,30.687
1576771344.590201,621018.000,42784,1,T0,1,100,30.671
1576771344.727791,621134.000,42802,1,T0,1,100,30.682
1576771344.861823,621247.000,42820,1,T0,1,100,30.687
1576771344.986366,621352.000,42838,1,T0,1,100,30.639
1576771345.118026,621463.000,42856,1,T0,1,100,30.660
1576771345.256802,621580.000,42874,1,T0,1,100,30.676
1576771345.393206,621695.000,42891,1,T0,1,100,30.692
1576771345.522494,621804.000,42926,1,T0,1,100,30.650
1576771345.647037,621909.000,42944,1,T0,1,100,30.692
1576771345.785813,622026.000,42962,1,T0,1,100,30.682
1576771345.919845,622139.000,42980,1,T0,1,100,30.666
1576771346.057435,622255.000,42998,1,T0,1,100,30.666
1576771346.180792,622359.000,43016,1,T0,1,100,30.730
1576771346.313638,622471.000,43034,1,T0,1,100,30.650
1576771346.438181,622576.000,43052,1,T0,1,100,30.687
1576771346.573399,622690.000,43071,1,T0,1,100,30.655
1576771346.709803,622805.000,43088,1,T0,1,100,30.633
1576771346.845021,622919.000,43122,1,T0,1,100,30.628
1576771346.975495,623029.000,43140,1,T0,1,100,30.617
1576771347.105968,623139.000,43158,1,T0,1,100,30.639
1576771347.232883,623246.000,43176,1,T0,1,100,30.644
1576771347.364543,623357.000,43194,1,T0,1,100,30.580
1576771347.499761,623471.000,43216,1,T0,1,100,30.607
1576771347.633793,623584.000,43236,1,T0,1,100,30.580
1576771347.767825,623697.000,43254,1,T0,1,100,30.628
1576771347.894740,623804.000,43272,1,T0,1,100,30.558
1576771348.027586,623916.000,43290,1,T0,1,100,30.564
1576771348.162804,624030.000,43308,1,T0,1,100,30.585
1576771348.303952,624149.000,43326,1,T0,1,100,30.580
1576771348.429682,624255.000,43344,1,T0,1,100,30.558
1576771348.555411,624361.000,43362,1,T0,1,100,30.601
1576771348.693001,624477.000,43380,1,T0,1,100,30.574
1576771348.829405,624592.000,43414,1,T0,1,100,30.564
1576771348.965809,624707.000,43432,1,T0,1,100,30.574
1576771349.091538,624813.000,43450,1,T0,1,100,30.553
1576771349.216081,624918.000,43468,1,T0,1,100,30.574
1576771349.353672,625034.000,43486,1,T0,1,100,30.574
1576771349.492448,625151.000,43505,1,T0,1,100,30.574
1576771349.627666,625265.000,43523,1,T0,1,100,30.585
1576771349.771187,625386.000,43540,1,T0,1,100,30.526
1576771349.909963,625503.000,43574,1,T0,1,100,30.585
1576771350.046367,625618.000,43592,1,T0,1,100,30.591
1576771350.187516,625737.000,43610,1,T0,1,100,30.574
1576771350.317990,625847.000,43628,1,T0,1,100,30.537
1576771350.454394,625962.000,43646,1,T0,1,100,30.510
1576771350.581309,626069.000,43665,1,T0,1,100,30.532
1576771350.712969,626180.000,43683,1,T0,1,100,30.548
1576771350.847000,626293.000,43700,1,T0,1,100,30.548
1576771350.986963,626411.000,43734,1,T0,1,100,30.542
1576771351.118623,626522.000,43752,1,T0,1,100,30.542
1576771351.240793,626625.000,43770,1,T0,1,100,30.537
1576771351.378384,626741.000,43788,1,T0,1,100,30.499
1576771351.514788,626856.000,43807,1,T0,1,100,30.553
1576771351.650006,626970.000,43825,1,T0,1,100,30.526
1576771351.776921,627077.000,43843,1,T0,1,100,30.532
1576771351.907395,627187.000,43861,1,T0,1,100,30.515
