EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1576770650.708005,36198.000,5805,3,ER,1,100,1.678601
1576770650.708005,36198.000,5805,3,ER,1,100,1.678239
1576770650.708005,36198.000,5805,3,ER,1,100,1.676506
1576770650.773273,36253.000,5823,1,ER,1,100,1.677513
1576770650.842695,36311.500,5841,2,ER,1,100,1.683274
1576770650.912117,36370.000,5841,2,ER,1,100,1.680575
1576770650.980351,36427.500,5859,2,ER,1,100,1.678037
1576770651.048586,36485.000,5859,2,ER,1,100,1.682025
1576770651.117415,36543.000,5877,2,ER,1,100,1.680857
1576770651.186243,36601.000,5877,2,ER,1,100,1.682670
1576770651.250325,36655.000,5895,1,ER,1,100,1.683516
1576770651.313813,36708.500,5914,2,ER,1,100,1.682186
1576770651.377301,36762.000,5914,2,ER,1,100,1.684724
1576770651.443756,36818.000,5931,2,ER,1,100,1.683878
1576770651.510211,36874.000,5931,2,ER,1,100,1.686295
1576770651.577853,36931.000,5949,2,ER,1,100,1.685087
1576770651.645495,36988.000,5949,2,ER,1,100,1.688309
1576770651.714916,37046.500,5965,2,ER,1,100,1.686778
1576770651.784338,37105.000,5965,2,ER,1,100,1.688632
1576770651.848420,37159.000,5983,2,ER,1,100,1.690283
1576770651.912501,37213.000,5983,2,ER,1,100,1.688390
1576770651.975396,37266.000,6001,1,ER,1,100,1.690485
1576770652.040664,37321.000,6019,2,ER,1,100,1.689437
1576770652.105933,37376.000,6019,2,ER,1,100,1.691572
1576770652.172981,37432.500,6037,2,ER,1,100,1.689719
1576770652.240029,37489.000,6037,2,ER,1,100,1.691572
1576770652.309451,37547.500,6055,2,ER,1,100,1.690323
1576770652.378873,37606.000,6055,2,ER,1,100,1.691854
1576770652.446515,37663.000,6074,1,ER,1,100,1.692499
1576770652.510003,37716.500,6092,2,ER,1,100,1.692378
1576770652.573491,37770.000,6092,2,ER,1,100,1.693425
1576770652.639946,37826.000,6110,2,ER,1,100,1.692418
1576770652.706401,37882.000,6110,2,ER,1,100,1.694634
1576770652.773449,37938.500,6127,2,ER,1,100,1.692579
1576770652.840498,37995.000,6127,2,ER,1,100,1.696285
1576770652.909326,38053.000,6145,2,ER,1,100,1.692942
1576770652.978154,38111.000,6145,2,ER,1,100,1.696044
1576770653.044016,38166.500,6161,2,ER,1,100,1.695520
1576770653.109878,38222.000,6161,2,ER,1,100,1.693909
1576770653.171586,38274.000,6179,1,ER,1,100,1.695560
1576770653.236261,38328.500,6197,2,ER,1,100,1.694956
1576770653.300936,38383.000,6197,2,ER,1,100,1.697655
1576770653.367984,38439.500,6216,2,ER,1,100,1.694755
1576770653.435032,38496.000,6216,2,ER,1,100,1.698622
1576770653.503268,38553.500,6234,2,ER,1,100,1.696769
1576770653.571502,38611.000,6234,2,ER,1,100,1.699025
1576770653.639144,38668.000,6252,2,ER,1,100,1.696930
1576770653.706786,38725.000,6252,2,ER,1,100,1.700314
1576770653.767307,38776.000,6270,1,ER,1,100,1.700435
1576770653.835542,38833.500,6287,2,ER,1,100,1.698098
1576770653.903777,38891.000,6287,2,ER,1,100,1.700676
1576770653.966079,38943.500,6305,2,ER,1,100,1.699307
1576770654.028380,38996.000,6305,2,ER,1,100,1.700555
1576770654.092462,39050.000,6323,2,ER,1,100,1.699468
1576770654.156544,39104.000,6323,2,ER,1,100,1.702006
1576770654.225965,39162.500,6340,2,ER,1,100,1.700072
1576770654.295387,39221.000,6340,2,ER,1,100,1.702731
1576770654.360656,39276.000,6358,1,ER,1,100,1.701925
1576770654.432451,39336.500,6376,2,ER,1,100,1.702006
1576770654.504246,39397.000,6376,2,ER,1,100,1.703496
1576770654.569514,39452.000,6394,2,ER,1,100,1.700757
1576770654.634782,39507.000,6394,2,ER,1,100,1.702126
1576770654.701831,39563.500,6412,2,ER,1,100,1.702247
1576770654.768879,39620.000,6412,2,ER,1,100,1.703697
1576770654.832367,39673.500,6430,2,ER,1,100,1.702167
1576770654.895855,39727.000,6430,2,ER,1,100,1.702972
1576770654.961717,39782.500,6448,2,ER,1,100,1.703254
1576770655.027579,39838.000,6448,2,ER,1,100,1.702811
1576770655.097594,39897.000,6466,1,ER,1,100,1.704946
1576770655.165236,39954.000,6483,2,ER,1,100,1.702690
1576770655.232877,40011.000,6483,2,ER,1,100,1.704423
1576770655.301705,40069.000,6501,2,ER,1,100,1.701965
